Room,Run,Rat_ID,Tailmark,Earclip,Sex,Genotype,CageNum,LEVER,EDEVDAY1,EDEVDAY2,MDEVDAY1,MDEVDAY2,LDEVDAY1,LDEVDAY2,FDEVDAY1,FDEVDAY2,FFDEV1,FFDEV2
A,1,F01,1,30,F,WT,1,L,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval
A,1,F02,2,3,F,WT,1,R,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued
A,1,F03,1,3,F,KO,2,L,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued
A,1,F04,2,10,F,KO,2,R,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval
A,1,M01,1,3,M,WT,1,L,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval
A,1,M02,2,10,M,KO,1,L,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued
A,1,M03,3,30,M,KO,1,R,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval
A,1,M04,1,10,M,WT,2,R,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued
B,1,F05,1,10,F,WT,3,R,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued
B,1,F06,3,1,F,KO,2,R,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval
B,1,F07,4,30,F,KO,2,L,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued
B,1,F08,1,4,F,WT,4,L,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval
B,1,M05,1,3,M,WT,3,R,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued
B,1,M06,2,1,M,KO,3,R,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval
B,1,M07,2,10,M,WT,4,L,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval
B,1,M08,3,30,M,KO,4,L,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued
A,2,F09,1,10,F,WT,5,R,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
A,2,F10,2,1,F,KO,5,R,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval
A,2,F11,3,30,F,KO,5,L,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
A,2,F12,4,11,F,WT,5,L,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval
A,2,M09,1,3,M,KO,5,R,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval
A,2,M10,2,10,M,KO,5,L,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
A,2,M11,1,30,M,WT,6,R,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
A,2,M12,2,40,M,WT,6,L,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval
B,2,F13,1,11,F,WT,6,L,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
B,2,F14,2,3,F,KO,6,L,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval
