 SessionNum, Group,Subject, Chamber, Vertical Counts, Ambulatory Distance, Start Date, Start Time, Block150s,Block5mins,Block10mins,Block15mins,Block30mins
1,Saline,1,1,5,543.1303879, 21/03/2013, 11:53:55,1,1,1,1,1
1,Saline,1,1,5,235.8882116, 21/03/2013, 11:53:55,2,1,1,1,1
1,Saline,1,1,9,540.8466063, 21/03/2013, 11:53:55,3,2,1,1,1
1,Saline,1,1,3,371.7461812, 21/03/2013, 11:53:55,4,2,1,1,1
1,Saline,1,1,0,20.10530891, 21/03/2013, 11:53:55,5,3,2,1,1
1,Saline,1,1,2,444.1949244, 21/03/2013, 11:53:55,6,3,2,1,1
1,Saline,1,1,2,263.1712215, 21/03/2013, 11:53:55,7,4,2,2,1
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,8,4,2,2,1
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,9,5,3,2,1
1,Saline,1,1,0,6.475754782, 21/03/2013, 11:53:55,10,5,3,2,1
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,11,6,3,2,1
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,12,6,3,2,1
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,13,7,4,3,2
1,Saline,1,1,6,544.0955961, 21/03/2013, 11:53:55,14,7,4,3,2
1,Saline,1,1,0,6.475754782, 21/03/2013, 11:53:55,15,8,4,3,2
1,Saline,1,1,2,133.1638568, 21/03/2013, 11:53:55,16,8,4,3,2
1,Saline,1,1,16,871.2393866, 21/03/2013, 11:53:55,17,9,5,3,2
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,18,9,5,3,2
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,19,10,5,4,2
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,20,10,5,4,2
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,21,11,6,4,2
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,22,11,6,4,2
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,23,12,6,4,2
1,Saline,1,1,0,0, 21/03/2013, 11:53:55,24,12,6,4,2
1,Muscimol,10,2,26,1267.731566, 21/03/2013, 15:18:25,1,1,1,1,1
1,Muscimol,10,2,28,626.2388758, 21/03/2013, 15:18:25,2,1,1,1,1
1,Muscimol,10,2,5,197.7307942, 21/03/2013, 15:18:25,3,2,1,1,1
1,Muscimol,10,2,14,168.1997201, 21/03/2013, 15:18:25,4,2,1,1,1
1,Muscimol,10,2,0,7.62, 21/03/2013, 15:18:25,5,3,2,1,1
1,Muscimol,10,2,10,418.3122232, 21/03/2013, 15:18:25,6,3,2,1,1
1,Muscimol,10,2,14,47.349901, 21/03/2013, 15:18:25,7,4,2,2,1
1,Muscimol,10,2,8,6.475754782, 21/03/2013, 15:18:25,8,4,2,2,1
1,Muscimol,10,2,10,142.2733323, 21/03/2013, 15:18:25,9,5,3,2,1
1,Muscimol,10,2,6,126.3962261, 21/03/2013, 15:18:25,10,5,3,2,1
1,Muscimol,10,2,1,23.02735903, 21/03/2013, 15:18:25,11,6,3,2,1
1,Muscimol,10,2,6,6.475754782, 21/03/2013, 15:18:25,12,6,3,2,1
1,Muscimol,10,2,0,0, 21/03/2013, 15:18:25,13,7,4,3,2
1,Muscimol,10,2,0,0, 21/03/2013, 15:18:25,14,7,4,3,2
1,Muscimol,10,2,15,360.6225662, 21/03/2013, 15:18:25,15,8,4,3,2
1,Muscimol,10,2,6,218.6094781, 21/03/2013, 15:18:25,16,8,4,3,2
1,Muscimol,10,2,22,7.405308906, 21/03/2013, 15:18:25,17,9,5,3,2
1,Muscimol,10,2,0,0, 21/03/2013, 15:18:25,18,9,5,3,2
1,Muscimol,10,2,0,0, 21/03/2013, 15:18:25,19,10,5,4,2
1,Muscimol,10,2,0,0, 21/03/2013, 15:18:25,20,10,5,4,2
