Subject,InfusionGroup,Block5mins,Distance,na.rm,Vertical Counts
1,Saline,1,389.50929974999997,TRUE,5
1,Saline,2,456.29639375,TRUE,6
1,Saline,3,232.150116655,TRUE,1
1,Saline,4,131.58561075,TRUE,1
1,Saline,5,3.237877391,TRUE,0
1,Saline,6,0,TRUE,0
1,Saline,7,272.04779805,TRUE,3
1,Saline,8,69.819805791,TRUE,1
1,Saline,9,435.6196933,TRUE,8
1,Saline,10,0,TRUE,0
1,Saline,11,0,TRUE,0
1,Saline,12,0,TRUE,0
2,Muscimol,1,523.9611498,TRUE,13
2,Muscimol,2,408.34013645000005,TRUE,12.5
2,Muscimol,3,6.594579655,TRUE,12
2,Muscimol,4,37.599533565,TRUE,3
2,Muscimol,5,174.763471915,TRUE,5
2,Muscimol,6,9.65075478,TRUE,0
2,Muscimol,7,0,TRUE,0
2,Muscimol,8,0,TRUE,0
2,Muscimol,9,74.6053155525,TRUE,7.5
2,Muscimol,10,51.39375725,TRUE,2
2,Muscimol,11,0,TRUE,0
2,Muscimol,12,0,TRUE,0
3,Muscimol,1,770.11553165,TRUE,15.5
3,Muscimol,2,844.1372143000001,TRUE,33
3,Muscimol,3,55.4366174,TRUE,5
3,Muscimol,4,0,TRUE,0
3,Muscimol,5,0,TRUE,0
3,Muscimol,6,413.6077462,TRUE,7.5
3,Muscimol,7,0,TRUE,0.5
3,Muscimol,8,3.4195796525,TRUE,0
3,Muscimol,9,292.1646748,TRUE,7.5
3,Muscimol,10,316.01026185,TRUE,6
3,Muscimol,11,3.237877391,TRUE,0
3,Muscimol,12,37.41450499,TRUE,0
4,Muscimol,1,871.6170325999999,TRUE,22.5
4,Muscimol,2,456.90691295,TRUE,15
4,Muscimol,3,520.55907645,TRUE,12
4,Muscimol,4,217.21711025,TRUE,9.5
4,Muscimol,5,0,TRUE,0
4,Muscimol,6,42.300270881,TRUE,0
4,Muscimol,7,274.8129181,TRUE,9.5
4,Muscimol,8,0,TRUE,0
4,Muscimol,9,0,TRUE,0
4,Muscimol,10,0,TRUE,0
4,Muscimol,11,60.474733,TRUE,0
4,Muscimol,12,237.793800815,TRUE,6
5,Saline,1,600.0731935,TRUE,15.5
5,Saline,2,102.91259673500001,TRUE,6
5,Saline,3,109.327495755,TRUE,3.5
5,Saline,4,3.237877391,TRUE,11
5,Saline,5,0,TRUE,2.5
5,Saline,6,3.4195796525,TRUE,2.5
5,Saline,7,200.00938485,TRUE,2.5
5,Saline,8,29.347234105,TRUE,1
5,Saline,9,0,TRUE,0
5,Saline,10,0,TRUE,0
5,Saline,11,0,TRUE,0
5,Saline,12,85.97635755,TRUE,1
6,Muscimol,1,605.91368115,TRUE,14
6,Muscimol,2,192.36751419,TRUE,16
6,Muscimol,3,6.47575478,TRUE,5.5
6,Muscimol,4,6.35,TRUE,0
6,Muscimol,5,0,TRUE,0
6,Muscimol,6,90.6218115,TRUE,6
6,Muscimol,7,231.22482503999998,TRUE,11
6,Muscimol,8,0,TRUE,0
6,Muscimol,9,0,TRUE,0
6,Muscimol,10,4.259709497,TRUE,0
6,Muscimol,11,3.4195796525,TRUE,0
6,Muscimol,12,0,TRUE,0
7,Saline,1,545.41099215,TRUE,12
7,Saline,2,425.6793427,TRUE,24
7,Saline,3,78.372124795,TRUE,3
7,Saline,4,6.41287739,TRUE,3
7,Saline,5,221.79731505,TRUE,4.5
7,Saline,6,6.839159305,TRUE,0
7,Saline,7,16.9931863,TRUE,0.5
7,Saline,8,3.4195796525,TRUE,0.5
7,Saline,9,0,TRUE,0
7,Saline,10,3.4195796525,TRUE,0
7,Saline,11,79.45424365,TRUE,2
7,Saline,12,252.62716445,TRUE,9
8,Saline,1,1364.74859305,TRUE,28.5
8,Saline,2,641.21642565,TRUE,17
8,Saline,3,414.35251601000004,TRUE,8
8,Saline,4,166.7555707,TRUE,5
8,Saline,5,23.64996527,TRUE,1
8,Saline,6,0,TRUE,0
8,Saline,7,184.58369925,TRUE,3
8,Saline,8,124.211752,TRUE,1
8,Saline,9,380.87030514099996,TRUE,13.5
8,Saline,10,287.847302805,TRUE,4.5
8,Saline,11,224.3333341,TRUE,1.5
8,Saline,12,71.14863138999999,TRUE,2
9,Muscimol,1,1076.2136326,TRUE,31
9,Muscimol,2,337.79255650000005,TRUE,6.5
9,Muscimol,3,22.622530525,TRUE,0.5
9,Muscimol,4,105.46745659999999,TRUE,1.5
9,Muscimol,5,106.28011225,TRUE,2.5
9,Muscimol,6,65.5819235,TRUE,2
9,Muscimol,7,9.65075478,TRUE,5
9,Muscimol,8,291.170017735,TRUE,5
9,Muscimol,9,9.895334436,TRUE,0.5
9,Muscimol,10,0,TRUE,0
9,Muscimol,11,57.3697383,TRUE,0.5
9,Muscimol,12,13.87671351,TRUE,0
10,Muscimol,1,946.9852209,TRUE,27
10,Muscimol,2,182.96525715,TRUE,9.5
10,Muscimol,3,212.9661116,TRUE,5
10,Muscimol,4,26.912827891000003,TRUE,11
10,Muscimol,5,134.3347792,TRUE,8
10,Muscimol,6,14.751556906,TRUE,3.5
10,Muscimol,7,0,TRUE,0
10,Muscimol,8,289.61602215,TRUE,10.5
10,Muscimol,9,3.702654453,TRUE,11
10,Muscimol,10,0,TRUE,0
10,Muscimol,11,3.237877391,TRUE,0
10,Muscimol,12,0,TRUE,0
11,Muscimol,1,1106.33143145,TRUE,37
11,Muscimol,2,635.1246231,TRUE,25.5
11,Muscimol,3,318.348826075,TRUE,13.5
11,Muscimol,4,254.52282105,TRUE,8.5
11,Muscimol,5,210.4251579,TRUE,9
11,Muscimol,6,0,TRUE,0
11,Muscimol,7,328.31879975000004,TRUE,9.5
11,Muscimol,8,3.4195796525,TRUE,0
11,Muscimol,9,37.189231115,TRUE,1.5
