Period,Time,UniqueID,DA,drug,Subj
Post,-5,SAL_M01007385,-0.294957914,SAL,M01007385
Post,-5,SAL_M01043741,0.354813518,SAL,M01043741
Post,-5,SAL_M01043743,-0.227615524,SAL,M01043743
Post,-5,SAL_M01059148,-0.426081093,SAL,M01059148
Post,-5,SAL_M1059151,1.021233539,SAL,M1059151
Post,-5,SAL_M1059153,-0.817577768,SAL,M1059153
Post,-5,LY_M01007386,0.485564361,LY,M01007386
Post,-5,LY_M01007391,-0.076054696,LY,M01007391
Post,-5,LY_M01043738,-0.603002352,LY,M01043738
Post,-5,LY_M01043742,-0.052499569,LY,M01043742
Post,-5,LY_M01059147,-0.260367864,LY,M01059147
Post,-5,LY_M1059152,0.143169037,LY,M1059152
Post,-4.9,SAL_M01007385,-0.341093898,SAL,M01007385
Post,-4.9,SAL_M01043741,0.099350005,SAL,M01043741
Post,-4.9,SAL_M01043743,-0.232489004,SAL,M01043743
Post,-4.9,SAL_M01059148,-0.407135704,SAL,M01059148
Post,-4.9,SAL_M1059151,-1.722428397,SAL,M1059151
Post,-4.9,SAL_M1059153,-0.932621427,SAL,M1059153
Post,-4.9,LY_M01007386,0.09059959,LY,M01007386
Post,-4.9,LY_M01007391,0.078232928,LY,M01007391
Post,-4.9,LY_M01043738,-0.569796787,LY,M01043738
Post,-4.9,LY_M01043742,-0.062141532,LY,M01043742
Post,-4.9,LY_M01059147,-0.240261723,LY,M01059147
Post,-4.9,LY_M1059152,0.094046379,LY,M1059152
Post,-4.8,SAL_M01007385,-0.41611468,SAL,M01007385
Post,-4.8,SAL_M01043741,-0.183682997,SAL,M01043741
Post,-4.8,SAL_M01043743,-0.232143616,SAL,M01043743
Post,-4.8,SAL_M01059148,-0.529358234,SAL,M01059148
Post,-4.8,SAL_M1059151,-2.243529097,SAL,M1059151
Post,-4.8,SAL_M1059153,-1.098291959,SAL,M1059153
Post,-4.8,LY_M01007386,0.14942752,LY,M01007386
Post,-4.8,LY_M01007391,0.211331586,LY,M01007391
Post,-4.8,LY_M01043738,-0.40209735,LY,M01043738
Post,-4.8,LY_M01043742,-0.099738213,LY,M01043742
Post,-4.8,LY_M01059147,-0.281206348,LY,M01059147
Post,-4.8,LY_M1059152,-0.037370719,LY,M1059152
Post,-4.7,SAL_M01007385,-0.454472827,SAL,M01007385
Post,-4.7,SAL_M01043741,0.291977363,SAL,M01043741
Post,-4.7,SAL_M01043743,-0.289448394,SAL,M01043743
Post,-4.7,SAL_M01059148,-0.449752356,SAL,M01059148
Post,-4.7,SAL_M1059151,-2.310236985,SAL,M1059151
Post,-4.7,SAL_M1059153,-0.994133527,SAL,M1059153
Post,-4.7,LY_M01007386,0.606663707,LY,M01007386
Post,-4.7,LY_M01007391,0.187575049,LY,M01007391
Post,-4.7,LY_M01043738,-0.287110167,LY,M01043738
Post,-4.7,LY_M01043742,-0.299372558,LY,M01043742
Post,-4.7,LY_M01059147,-0.301532177,LY,M01059147
Post,-4.7,LY_M1059152,-0.204006549,LY,M1059152
Post,-4.6,SAL_M01007385,-0.554309141,SAL,M01007385
Post,-4.6,SAL_M01043741,-0.071166254,SAL,M01043741
Post,-4.6,SAL_M01043743,-0.284250017,SAL,M01043743
Post,-4.6,SAL_M01059148,-0.309250567,SAL,M01059148
Post,-4.6,SAL_M1059151,-0.864655728,SAL,M1059151
Post,-4.6,SAL_M1059153,-0.789297728,SAL,M1059153
Post,-4.6,LY_M01007386,0.093154826,LY,M01007386
Post,-4.6,LY_M01007391,0.127222423,LY,M01007391
Post,-4.6,LY_M01043738,-0.223687993,LY,M01043738
Post,-4.6,LY_M01043742,-0.26635853,LY,M01043742
Post,-4.6,LY_M01059147,-0.31400927,LY,M01059147
Post,-4.6,LY_M1059152,-0.138306835,LY,M1059152
Post,-4.5,SAL_M01007385,-0.497162032,SAL,M01007385
Post,-4.5,SAL_M01043741,-0.495399113,SAL,M01043741
Post,-4.5,SAL_M01043743,-0.144138328,SAL,M01043743
Post,-4.5,SAL_M01059148,-0.313040365,SAL,M01059148
Post,-4.5,SAL_M1059151,-2.179847197,SAL,M1059151
Post,-4.5,SAL_M1059153,-0.614971138,SAL,M1059153
Post,-4.5,LY_M01007386,-0.114406532,LY,M01007386
