RewardMagnitude,Time,UniqueID,DA,Subj,Date,channel,drug
1,-4.9,R29_20130227_0_SAL,-0.017746752,R29,20130227,0,SAL
1,-4.9,R34_20130301_0_SAL,0.213648581,R34,20130301,0,SAL
1,-4.9,R52_20130911_0_SAL,-0.041680254,R52,20130911,0,SAL
1,-4.9,R54_20140619_0_SAL,0.115336183,R54,20140619,0,SAL
1,-4.9,R56_20140619_0_SAL,0.063513874,R56,20140619,0,SAL
1,-4.9,R57_20140618_0_SAL,-0.0494018,R57,20140618,0,SAL
1,-4.9,R58_20140620_0_SAL,0.089177613,R58,20140620,0,SAL
1,-4.9,R69_20141211_0_SAL,0.16929865,R69,20141211,0,SAL
1,-4.9,R72_20141212_0_SAL,0.255556726,R72,20141212,0,SAL
1,-4.9,R29_20130227_1_SAL,0.045057972,R29,20130227,1,SAL
1,-4.9,R32_20130301_1_SAL,-0.024750167,R32,20130301,1,SAL
1,-4.9,R34_20130301_1_SAL,0.015611814,R34,20130301,1,SAL
1,-4.9,R52_20130911_1_SAL,0.130248311,R52,20130911,1,SAL
1,-4.9,R54_20140619_1_SAL,0.029167518,R54,20140619,1,SAL
1,-4.9,R55_20140617_1_SAL,0.071372839,R55,20140617,1,SAL
1,-4.9,R57_20140618_1_SAL,0.131964197,R57,20140618,1,SAL
1,-4.9,R69_20141211_1_SAL,0.150212266,R69,20141211,1,SAL
1,-4.9,R72_20141212_1_SAL,0.127424447,R72,20141212,1,SAL
1,-4.9,R29_20130301_0_LY,-0.180103243,R29,20130301,0,LY
1,-4.9,R34_20130227_0_LY,0.021380611,R34,20130227,0,LY
1,-4.9,R52_20130913_0_LY,-0.128692899,R52,20130913,0,LY
1,-4.9,R54_20140617_0_LY,-0.149741808,R54,20140617,0,LY
1,-4.9,R56_20140617_0_LY,-0.008067161,R56,20140617,0,LY
1,-4.9,R57_20140620_0_LY,0.168083786,R57,20140620,0,LY
1,-4.9,R58_20140618_0_LY,-0.222233872,R58,20140618,0,LY
