subject,date,drug,channel,uniqueID,include,MagFrequency,Subj
29,20130227,SAL,0,29_20130227_0_SAL,TRUE,246,29_CH0
29,20130301,LY,0,29_20130301_0_LY,TRUE,100,29_CH0
32,20130227,LY,0,32_20130227_0_LY,FALSE,172,32_CH0
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,240,32_CH0
34,20130227,LY,0,34_20130227_0_LY,TRUE,228,34_CH0
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,113,34_CH0
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,176,52_CH0
52,20130913,LY,0,52_20130913_0_LY,TRUE,271,52_CH0
54,20140617,LY,0,54_20140617_0_LY,TRUE,178,54_CH0
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,194,54_CH0
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,151,55_CH0
55,20140619,LY,0,55_20140619_0_LY,FALSE,92,55_CH0
56,20140617,LY,0,56_20140617_0_LY,TRUE,159,56_CH0
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,154,56_CH0
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,200,57_CH0
57,20140620,LY,0,57_20140620_0_LY,TRUE,287,57_CH0
58,20140618,LY,0,58_20140618_0_LY,TRUE,175,58_CH0
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,249,58_CH0
69,20141209,LY,0,69_20141209_0_LY,TRUE,348,69_CH0
69,20141211,SAL,0,69_20141211_0_SAL,TRUE,153,69_CH0
71,20141212,SAL,0,71_20141212_0_SAL,FALSE,125,71_CH0
71,20141216,LY,0,71_20141216_0_LY,FALSE,194,71_CH0
72,20141210,LY,0,72_20141210_0_LY,TRUE,127,72_CH0
72,20141212,SAL,0,72_20141212_0_SAL,TRUE,138,72_CH0
29,20130227,SAL,1,29_20130227_1_SAL,TRUE,246,29_CH1
29,20130301,LY,1,29_20130301_1_LY,TRUE,100,29_CH1
32,20130227,LY,1,32_20130227_1_LY,TRUE,172,32_CH1
32,20130301,SAL,1,32_20130301_1_SAL,TRUE,240,32_CH1
34,20130227,LY,1,34_20130227_1_LY,TRUE,228,34_CH1
34,20130301,SAL,1,34_20130301_1_SAL,TRUE,113,34_CH1
52,20130911,SAL,1,52_20130911_1_SAL,TRUE,176,52_CH1
52,20130913,LY,1,52_20130913_1_LY,TRUE,271,52_CH1
54,20140617,LY,1,54_20140617_1_LY,TRUE,178,54_CH1
54,20140619,SAL,1,54_20140619_1_SAL,TRUE,194,54_CH1
55,20140617,SAL,1,55_20140617_1_SAL,TRUE,151,55_CH1
55,20140619,LY,1,55_20140619_1_LY,TRUE,92,55_CH1
56,20140617,LY,1,56_20140617_1_LY,FALSE,159,56_CH1
56,20140619,SAL,1,56_20140619_1_SAL,FALSE,154,56_CH1
57,20140618,SAL,1,57_20140618_1_SAL,TRUE,200,57_CH1
57,20140620,LY,1,57_20140620_1_LY,TRUE,287,57_CH1
58,20140618,LY,1,58_20140618_1_LY,FALSE,175,58_CH1
58,20140620,SAL,1,58_20140620_1_SAL,FALSE,249,58_CH1
69,20141209,LY,1,69_20141209_1_LY,TRUE,348,69_CH1
69,20141211,SAL,1,69_20141211_1_SAL,TRUE,153,69_CH1
71,20141212,SAL,1,71_20141212_1_SAL,FALSE,125,71_CH1
71,20141216,LY,1,71_20141216_1_LY,FALSE,194,71_CH1
72,20141210,LY,1,72_20141210_1_LY,TRUE,127,72_CH1
72,20141212,SAL,1,72_20141212_1_SAL,TRUE,138,72_CH1
