subject,date,drug,channel,uniqueID,include,rewardMagnitude,AUC,peak,latency2peak,Subj
29,20130227,SAL,0,29_20130227_0_SAL,TRUE,1,9.988760212,0.356521862,1.5,29_Ch0
29,20130227,SAL,0,29_20130227_0_SAL,TRUE,2,7.016823587,0.375134469,1.3,29_Ch0
29,20130227,SAL,0,29_20130227_0_SAL,TRUE,3,11.71630739,0.489366182,1.7,29_Ch0
29,20130301,LY,0,29_20130301_0_LY,TRUE,1,6.698534088,0.295670238,0.8,29_Ch0
29,20130301,LY,0,29_20130301_0_LY,TRUE,2,2.280188005,0.373997143,1.1,29_Ch0
29,20130301,LY,0,29_20130301_0_LY,TRUE,3,5.308873907,0.312619127,0.6,29_Ch0
32,20130227,LY,0,32_20130227_0_LY,FALSE,1,4.99718329,0.222890078,1.3,32_Ch0
32,20130227,LY,0,32_20130227_0_LY,FALSE,2,3.485780239,0.17246908,1.8,32_Ch0
32,20130227,LY,0,32_20130227_0_LY,FALSE,3,-0.579304234,0.13782989,0.9,32_Ch0
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,1,2.22505841,0.30278273,1.4,32_Ch0
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,2,-3.180114806,0.103202926,1,32_Ch0
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,3,-4.763872513,0.145271901,1.6,32_Ch0
34,20130227,LY,0,34_20130227_0_LY,TRUE,1,7.846702865,0.327476858,0.7,34_Ch0
34,20130227,LY,0,34_20130227_0_LY,TRUE,2,13.02786224,0.544126029,0.8,34_Ch0
34,20130227,LY,0,34_20130227_0_LY,TRUE,3,28.35546615,0.908637007,5,34_Ch0
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,1,1.14748262,0.243788824,0.8,34_Ch0
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,2,1.674231744,0.293888605,0.5,34_Ch0
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,3,4.453757223,0.493554437,3.8,34_Ch0
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,1,9.26033753,0.414477956,1.1,52_Ch0
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,2,11.12581343,0.465510054,1.1,52_Ch0
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,3,8.935666456,0.411871288,1.1,52_Ch0
52,20130913,LY,0,52_20130913_0_LY,TRUE,1,5.158215903,0.288021066,0.8,52_Ch0
52,20130913,LY,0,52_20130913_0_LY,TRUE,2,8.225514843,0.431419753,1.3,52_Ch0
52,20130913,LY,0,52_20130913_0_LY,TRUE,3,6.798057578,0.251700342,1.3,52_Ch0
54,20140617,LY,0,54_20140617_0_LY,TRUE,1,5.715133303,0.289464446,1.6,54_Ch0
54,20140617,LY,0,54_20140617_0_LY,TRUE,2,5.951746487,0.307133675,1.3,54_Ch0
54,20140617,LY,0,54_20140617_0_LY,TRUE,3,18.37648996,0.981576422,4.3,54_Ch0
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,1,1.987426722,0.296624172,1,54_Ch0
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,2,3.896533164,0.3792849,1,54_Ch0
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,3,0.282074933,0.301600691,1.1,54_Ch0
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,1,-16.08862336,0.280544111,0.9,55_Ch0
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,2,-14.23560117,0.175048675,1,55_Ch0
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,3,-16.12969971,0.07218642,0.6,55_Ch0
55,20140619,LY,0,55_20140619_0_LY,FALSE,1,7.761974793,0.344862488,0.9,55_Ch0
55,20140619,LY,0,55_20140619_0_LY,FALSE,2,8.896161568,0.376725144,1,55_Ch0
55,20140619,LY,0,55_20140619_0_LY,FALSE,3,7.571156391,0.304939076,1.1,55_Ch0
56,20140617,LY,0,56_20140617_0_LY,TRUE,1,0.554060623,0.216591329,1.3,56_Ch0
56,20140617,LY,0,56_20140617_0_LY,TRUE,2,-8.700696017,0.094413231,0.7,56_Ch0
56,20140617,LY,0,56_20140617_0_LY,TRUE,3,6.434330661,0.335709341,1.7,56_Ch0
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,1,6.654720721,0.303102752,1.4,56_Ch0
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,2,6.995485459,0.353319281,1.1,56_Ch0
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,3,11.84255161,0.351062282,1.2,56_Ch0
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,1,1.974363467,0.298219593,0.7,57_Ch0
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,2,6.425030896,0.308004547,2.3,57_Ch0
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,3,6.625383489,0.317717615,1.6,57_Ch0
57,20140620,LY,0,57_20140620_0_LY,TRUE,1,14.56942318,0.521328472,1.6,57_Ch0
57,20140620,LY,0,57_20140620_0_LY,TRUE,2,24.00073696,0.661334142,2.6,57_Ch0
57,20140620,LY,0,57_20140620_0_LY,TRUE,3,25.97014784,0.779045344,2.2,57_Ch0
58,20140618,LY,0,58_20140618_0_LY,TRUE,1,25.87339769,1.18796183,1.1,58_Ch0
58,20140618,LY,0,58_20140618_0_LY,TRUE,2,21.80601145,0.97789901,1.2,58_Ch0
58,20140618,LY,0,58_20140618_0_LY,TRUE,3,34.38794466,1.141362954,1.5,58_Ch0
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,1,2.624003427,0.442571073,0.8,58_Ch0
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,2,9.271835408,0.524709072,0.9,58_Ch0
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,3,4.275427464,0.354380298,0.6,58_Ch0
69,20141209,LY,0,69_20141209_0_LY,TRUE,1,25.07965712,0.993938783,1,69_Ch0
69,20141209,LY,0,69_20141209_0_LY,TRUE,2,39.83873617,1.269402015,0.9,69_Ch0
69,20141209,LY,0,69_20141209_0_LY,TRUE,3,58.21050406,1.514649095,1.4,69_Ch0
69,20141211,SAL,0,69_20141211_0_SAL,TRUE,1,8.623366862,0.652567124,0.9,69_Ch0
69,20141211,SAL,0,69_20141211_0_SAL,TRUE,2,24.95508609,0.655620344,1,69_Ch0
69,20141211,SAL,0,69_20141211_0_SAL,TRUE,3,29.67658971,0.907481859,5,69_Ch0
71,20141212,SAL,0,71_20141212_0_SAL,FALSE,1,14.50744787,0.557993266,1.2,71_Ch0
71,20141212,SAL,0,71_20141212_0_SAL,FALSE,2,29.74097302,0.894378205,1.1,71_Ch0
71,20141212,SAL,0,71_20141212_0_SAL,FALSE,3,28.5339098,0.920176649,1.7,71_Ch0
71,20141216,LY,0,71_20141216_0_LY,FALSE,1,12.16744792,0.506836413,3.4,71_Ch0
71,20141216,LY,0,71_20141216_0_LY,FALSE,2,11.8319078,0.6779476,2.1,71_Ch0
71,20141216,LY,0,71_20141216_0_LY,FALSE,3,40.69885534,1.059834331,3,71_Ch0
72,20141210,LY,0,72_20141210_0_LY,TRUE,1,15.6177863,0.627752174,1.1,72_Ch0
72,20141210,LY,0,72_20141210_0_LY,TRUE,2,16.83446883,0.632064253,1.1,72_Ch0
72,20141210,LY,0,72_20141210_0_LY,TRUE,3,32.0639525,1.041793681,4.5,72_Ch0
72,20141212,SAL,0,72_20141212_0_SAL,TRUE,1,5.006807824,0.25525309,1.4,72_Ch0
72,20141212,SAL,0,72_20141212_0_SAL,TRUE,2,6.99602177,0.345627869,2.7,72_Ch0
72,20141212,SAL,0,72_20141212_0_SAL,TRUE,3,10.97623008,0.501186137,4.5,72_Ch0
29,20130227,SAL,1,29_20130227_1_SAL,TRUE,1,9.883944207,0.300841356,2.1,29_Ch1
29,20130227,SAL,1,29_20130227_1_SAL,TRUE,2,9.528565796,0.366934305,1.5,29_Ch1
29,20130227,SAL,1,29_20130227_1_SAL,TRUE,3,16.86636311,0.552125125,1.8,29_Ch1
29,20130301,LY,1,29_20130301_1_LY,TRUE,1,11.17509758,0.362277224,2,29_Ch1
29,20130301,LY,1,29_20130301_1_LY,TRUE,2,12.97138192,0.436436593,1.9,29_Ch1
29,20130301,LY,1,29_20130301_1_LY,TRUE,3,18.47748454,0.473219205,3.8,29_Ch1
32,20130227,LY,1,32_20130227_1_LY,TRUE,1,14.76519159,0.585985188,1,32_Ch1
32,20130227,LY,1,32_20130227_1_LY,TRUE,2,19.74508474,0.56461571,1.7,32_Ch1
32,20130227,LY,1,32_20130227_1_LY,TRUE,3,36.76437362,1.312075956,4.3,32_Ch1
32,20130301,SAL,1,32_20130301_1_SAL,TRUE,1,7.325010535,0.439688134,1.4,32_Ch1
32,20130301,SAL,1,32_20130301_1_SAL,TRUE,2,6.331270017,0.391898778,1.2,32_Ch1
32,20130301,SAL,1,32_20130301_1_SAL,TRUE,3,12.18111781,0.369842801,1.7,32_Ch1
34,20130227,LY,1,34_20130227_1_LY,TRUE,1,12.94027845,0.588221493,0.7,34_Ch1
34,20130227,LY,1,34_20130227_1_LY,TRUE,2,18.45741854,0.647591197,1.1,34_Ch1
34,20130227,LY,1,34_20130227_1_LY,TRUE,3,31.75541677,0.90067836,2.3,34_Ch1
34,20130301,SAL,1,34_20130301_1_SAL,TRUE,1,13.07576823,0.491767488,0.7,34_Ch1
34,20130301,SAL,1,34_20130301_1_SAL,TRUE,2,14.54704511,0.538014571,1.1,34_Ch1
34,20130301,SAL,1,34_20130301_1_SAL,TRUE,3,23.12657893,0.790590436,3.8,34_Ch1
52,20130911,SAL,1,52_20130911_1_SAL,TRUE,1,-6.998779567,0.094141562,0.9,52_Ch1
52,20130911,SAL,1,52_20130911_1_SAL,TRUE,2,-11.78873527,0.04176168,0.8,52_Ch1
52,20130911,SAL,1,52_20130911_1_SAL,TRUE,3,0.374757812,0.289709772,0.9,52_Ch1
52,20130913,LY,1,52_20130913_1_LY,TRUE,1,3.630983377,0.170450021,1.9,52_Ch1
52,20130913,LY,1,52_20130913_1_LY,TRUE,2,1.804971538,0.109434752,0.5,52_Ch1
52,20130913,LY,1,52_20130913_1_LY,TRUE,3,5.379504483,0.176158778,1.6,52_Ch1
54,20140617,LY,1,54_20140617_1_LY,TRUE,1,2.678401137,0.508404809,0.8,54_Ch1
54,20140617,LY,1,54_20140617_1_LY,TRUE,2,2.062218205,0.537361649,0.7,54_Ch1
54,20140617,LY,1,54_20140617_1_LY,TRUE,3,13.76051749,0.639789611,0.8,54_Ch1
54,20140619,SAL,1,54_20140619_1_SAL,TRUE,1,19.00036733,0.728288635,1.5,54_Ch1
54,20140619,SAL,1,54_20140619_1_SAL,TRUE,2,11.910789,0.804707061,0.9,54_Ch1
