Subj,Drug,Accuracy,Latency_Sample,Latency_Choice
1.1,Veh_Veh,0.55,3.5,4
1.1,Amph_Veh,0.45,4,3
1.1,Amph_LY,0.6,5,3
1.2,Veh_Veh,0.9,3,2
1.2,Amph_Veh,0.6,11,6.5
1.2,Amph_LY,0.6,7,5
1.3,Veh_Veh,0.5,3,2
1.3,Amph_Veh,0.68,17,10
1.3,Amph_LY,0.55,5.5,5.5
1.4,Veh_Veh,0.95,3,2
1.4,Amph_Veh,0.55,4,3.5
1.4,Amph_LY,0.55,5,4
2.1,Veh_Veh,0.55,3,2
2.1,Amph_Veh,0.6,3,3
2.1,Amph_LY,0.65,4,3
2.2,Veh_Veh,0.95,3,2.5
2.2,Amph_Veh,0.85,4,3
2.2,Amph_LY,0.8,4,4
2.3,Veh_Veh,0.55,3,2
2.3,Amph_Veh,0.8,4,3
2.3,Amph_LY,0.6,8,5
2.4,Veh_Veh,0.7,3,4
2.4,Amph_Veh,0.8,3,3
2.4,Amph_LY,0.6,6.5,5.5
3.1,Veh_Veh,0.85,2,2
3.1,Amph_Veh,0.75,3,3
3.1,Amph_LY,0.55,8,6
3.2,Veh_Veh,0.8,3,2
3.2,Amph_Veh,0.8,3,2
3.2,Amph_LY,0.85,3,2
3.3,Veh_Veh,0.95,2,2
3.3,Amph_Veh,0.8,3,2.5
3.3,Amph_LY,0.85,4,3
3.4,Veh_Veh,0.95,3,2
3.4,Amph_Veh,0.65,4,2
3.4,Amph_LY,0.75,4,3
4.1,Veh_Veh,0.6,3,3
4.1,Amph_Veh,0.8,4,3
4.1,Amph_LY,0.65,6,4
4.2,Veh_Veh,0.8,3,2
4.2,Amph_Veh,0.8,3,3
4.2,Amph_LY,0.7,5,4
4.3,Veh_Veh,0.75,3.5,3
4.3,Amph_Veh,0.65,9.5,6.5
4.3,Amph_LY,0.65,8.5,6.5
4.4,Veh_Veh,0.75,2.5,2
4.4,Amph_Veh,0.7,3,3
4.4,Amph_LY,0.7,3,2.5
5.1,Veh_Veh,0.7,2,2
5.1,Amph_Veh,0.7,5,4
5.1,Amph_LY,0.7,8,5.5
5.2,Veh_Veh,0.85,3,2
5.2,Amph_Veh,0.7,3,2
5.2,Amph_LY,0.55,17.5,6
5.3,Veh_Veh,0.8,2.5,2
5.3,Amph_Veh,0.6,3,2.5
5.3,Amph_LY,0.6,6.5,5
5.4,Veh_Veh,1,3,2
5.4,Amph_Veh,0.6,4,4
5.4,Amph_LY,0.65,8,8
6.1,Veh_Veh,0.8,7,2
6.1,Amph_Veh,0.95,3,2
6.1,Amph_LY,0.85,6.5,4.5
6.2,Veh_Veh,0.55,3,3
6.2,Amph_Veh,0.8,4,3
6.2,Amph_LY,0.6,5,4
6.3,Veh_Veh,,,
6.3,Amph_Veh,,,
6.3,Amph_LY,,,
6.4,Veh_Veh,0.9,6.5,4
6.4,Amph_Veh,0.9,5,4
6.4,Amph_LY,0.75,7.5,6
7.1,Veh_Veh,0.95,3,2
7.1,Amph_Veh,1,3,3
7.1,Amph_LY,0.8,4,3
7.2,Veh_Veh,0.9,3,2
7.2,Amph_Veh,0.8,4,3
7.2,Amph_LY,0.75,12,5.5
7.3,Veh_Veh,0.85,3,2
7.3,Amph_Veh,0.7,3,2
7.3,Amph_LY,0.75,5.5,4
7.4,Veh_Veh,0.9,6.5,2.5
7.4,Amph_Veh,0.75,17.5,4.5
7.4,Amph_LY,0.55,8,4
