Voltage,drug,nA
-0.4,SAL,3.14059e-6
-0.4,LY,1.39479e-5
-0.396593186,SAL,2.86381e-5
-0.396593186,LY,1.2237e-4
-0.393186373,SAL,1.35507e-4
-0.393186373,LY,5.03802e-4
-0.389779559,SAL,4.37767e-4
-0.389779559,LY,0.001376477
-0.386372745,SAL,0.001067891
-0.386372745,LY,0.002954567
-0.382965932,SAL,0.002120787
-0.382965932,LY,0.00542393
-0.379559118,SAL,0.003667233
-0.379559118,LY,0.008826756
-0.376152305,SAL,0.005720113
-0.376152305,LY,0.013006951
-0.372745491,SAL,0.008115968
-0.372745491,LY,0.017701807
-0.369338677,SAL,0.010586347
-0.369338677,LY,0.02263972
-0.365931864,SAL,0.012894595
-0.365931864,LY,0.027648674
-0.36252505,SAL,0.014808803
-0.36252505,LY,0.032733826
-0.359118236,SAL,0.016209946
-0.359118236,LY,0.037972683
-0.355711423,SAL,0.017189782
-0.355711423,LY,0.043318979
-0.352304609,SAL,0.017854171
-0.352304609,LY,0.048530796
-0.348897796,SAL,0.018302231
-0.348897796,LY,0.053222839
-0.345490982,SAL,0.018686161
-0.345490982,LY,0.056892708
-0.342084168,SAL,0.018936501
-0.342084168,LY,0.058946452
-0.338677355,SAL,0.018695381
-0.338677355,LY,0.058806355
-0.335270541,SAL,0.017563297
-0.335270541,LY,0.056020245
-0.331863727,SAL,0.015135038
-0.331863727,LY,0.050382451
-0.328456914,SAL,0.011024352
-0.328456914,LY,0.0420387
-0.3250501,SAL,0.005037504
-0.3250501,LY,0.031367239
-0.321643287,SAL,-0.00275809
-0.321643287,LY,0.018786084
-0.318236473,SAL,-0.012008042
-0.318236473,LY,0.004796931
-0.314829659,SAL,-0.022090084
-0.314829659,LY,-0.00993371
-0.311422846,SAL,-0.032280012
-0.311422846,LY,-0.024684524
-0.308016032,SAL,-0.04188915
-0.308016032,LY,-0.038768358
-0.304609218,SAL,-0.050303206
-0.304609218,LY,-0.051538264
-0.301202405,SAL,-0.057028234
-0.301202405,LY,-0.062471605
-0.297795591,SAL,-0.061789225
-0.297795591,LY,-0.071198946
-0.294388778,SAL,-0.06458663
-0.294388778,LY,-0.077400993
-0.290981964,SAL,-0.065576316
-0.290981964,LY,-0.080765312
-0.28757515,SAL,-0.064938734
-0.28757515,LY,-0.080990085
-0.284168337,SAL,-0.062861064
-0.284168337,LY,-0.077806407
-0.280761523,SAL,-0.059432295
-0.280761523,LY,-0.071135587
-0.277354709,SAL,-0.054612439
-0.277354709,LY,-0.061270265
-0.273947896,SAL,-0.048427867
-0.273947896,LY,-0.048899436
-0.270541082,SAL,-0.040972516
-0.270541082,LY,-0.035001284
-0.267134269,SAL,-0.032349704
-0.267134269,LY,-0.020680368
-0.263727455,SAL,-0.022892616
-0.263727455,LY,-0.007000332
-0.260320641,SAL,-0.013146756
-0.260320641,LY,0.005104156
-0.256913828,SAL,-0.003622795
-0.256913828,LY,0.014855475
-0.253507014,SAL,0.005166227
-0.253507014,LY,0.021752882
-0.2501002,SAL,0.012714121
-0.2501002,LY,0.025668275
-0.246693387,SAL,0.018662912
-0.246693387,LY,0.026678093
-0.243286573,SAL,0.022713093
-0.243286573,LY,0.02487159
-0.23987976,SAL,0.024605075
-0.23987976,LY,0.020415408
-0.236472946,SAL,0.024262772
-0.236472946,LY,0.013624439
-0.233066132,SAL,0.021757355
-0.233066132,LY,0.004866287
-0.229659319,SAL,0.017235714
-0.229659319,LY,-0.005481022
-0.226252505,SAL,0.010941414
-0.226252505,LY,-0.016993457
-0.222845691,SAL,0.003196517
-0.222845691,LY,-0.029232973
-0.219438878,SAL,-0.00561937
-0.219438878,LY,-0.041732912
-0.216032064,SAL,-0.015079544
-0.216032064,LY,-0.053912043
-0.212625251,SAL,-0.024757500000000002
-0.212625251,LY,-0.065096408
-0.209218437,SAL,-0.034281445
-0.209218437,LY,-0.074590265
-0.205811623,SAL,-0.043351014
-0.205811623,LY,-0.081746915
-0.20240481,SAL,-0.051715979
-0.20240481,LY,-0.086156086
-0.198997996,SAL,-0.059255908
-0.198997996,LY,-0.087830741
-0.195591182,SAL,-0.066107747
-0.195591182,LY,-0.087221913
-0.192184369,SAL,-0.072531314
-0.192184369,LY,-0.085086844
-0.188777555,SAL,-0.078729084
-0.188777555,LY,-0.082267953
-0.185370741,SAL,-0.084889682
-0.185370741,LY,-0.079495626
-0.181963928,SAL,-0.091088642
-0.181963928,LY,-0.077360947
-0.178557114,SAL,-0.097180536
-0.178557114,LY,-0.076377066
-0.175150301,SAL,-0.103036099
-0.175150301,LY,-0.076897814
-0.171743487,SAL,-0.108641162
-0.171743487,LY,-0.07899285
-0.168336673,SAL,-0.114031655
-0.168336673,LY,-0.082571752
-0.16492986,SAL,-0.11947956
-0.16492986,LY,-0.087599592
-0.161523046,SAL,-0.125502267
-0.161523046,LY,-0.094111209
-0.158116232,SAL,-0.132604138
-0.158116232,LY,-0.102158358
-0.154709419,SAL,-0.141233849
-0.154709419,LY,-0.111804212
-0.151302605,SAL,-0.151760737
-0.151302605,LY,-0.123044327
-0.147895792,SAL,-0.164335197
-0.147895792,LY,-0.135737248
-0.144488978,SAL,-0.178870002
-0.144488978,LY,-0.149624796
-0.141082164,SAL,-0.195031978
-0.141082164,LY,-0.164231069
-0.137675351,SAL,-0.212255028
-0.137675351,LY,-0.178693918
-0.134268537,SAL,-0.229909603
-0.134268537,LY,-0.191846852
-0.130861723,SAL,-0.247428253
-0.130861723,LY,-0.202471485
-0.12745491,SAL,-0.264295312
-0.12745491,LY,-0.209528754
-0.124048096,SAL,-0.280041047
-0.124048096,LY,-0.212421193
-0.120641283,SAL,-0.294310811
-0.120641283,LY,-0.211196859
-0.117234469,SAL,-0.306934163
-0.117234469,LY,-0.206554001
-0.113827655,SAL,-0.317851085
-0.113827655,LY,-0.199676475
-0.110420842,SAL,-0.327004414
-0.110420842,LY,-0.191923492
-0.107014028,SAL,-0.334308966
-0.107014028,LY,-0.184500694
-0.103607214,SAL,-0.339546205
-0.103607214,LY,-0.178342411
-0.100200401,SAL,-0.34237431
-0.100200401,LY,-0.174158783
-0.096793587,SAL,-0.342570335
-0.096793587,LY,-0.172382766
-0.093386774,SAL,-0.34007424
-0.093386774,LY,-0.173063811
-0.08997996,SAL,-0.334950565
-0.08997996,LY,-0.175994671
-0.086573146,SAL,-0.327572603
-0.086573146,LY,-0.180960966
-0.083166333,SAL,-0.318580395
-0.083166333,LY,-0.187833619
-0.079759519,SAL,-0.30862636
-0.079759519,LY,-0.196571314
-0.076352705,SAL,-0.298360875
-0.076352705,LY,-0.207187384
-0.072945892,SAL,-0.288393903
-0.072945892,LY,-0.219629748
-0.069539078,SAL,-0.279190658
-0.069539078,LY,-0.233718864
-0.066132265,SAL,-0.27118366
-0.066132265,LY,-0.249163243
-0.062725451,SAL,-0.264773813
-0.062725451,LY,-0.265452661
-0.059318637,SAL,-0.260191578
-0.059318637,LY,-0.281751234
-0.055911824,SAL,-0.25756738
-0.055911824,LY,-0.297040326
-0.05250501,SAL,-0.256997232
-0.05250501,LY,-0.310330637
-0.049098196,SAL,-0.258470934
-0.049098196,LY,-0.32078417
-0.045691383,SAL,-0.261861137
-0.045691383,LY,-0.327870172
-0.042284569,SAL,-0.266946161
-0.042284569,LY,-0.331471977
-0.038877756,SAL,-0.273432703
-0.038877756,LY,-0.331849685
-0.035470942,SAL,-0.280983284
