Subj,Drug,time_mins,activity,bin5mins,bin10mins,bin15mins,bin20mins,bin30mins,bin60mins,Period,Amph,LY
1_1,Veh_Amph,1,124,-11,-5,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,2,119,-11,-5,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,3,99,-11,-5,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,4,114,-11,-5,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,5,58,-11,-5,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,6,56,-10,-5,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,7,49,-10,-5,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,8,46,-10,-5,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,9,5,-10,-5,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,10,42,-10,-5,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,11,74,-9,-4,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,12,85,-9,-4,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,13,48,-9,-4,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,14,17,-9,-4,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,15,17,-9,-4,-3,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,16,91,-8,-4,-2,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,17,87,-8,-4,-2,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,18,90,-8,-4,-2,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,19,46,-8,-4,-2,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,20,42,-8,-4,-2,-2,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,21,5,-7,-3,-2,-1,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,22,26,-7,-3,-2,-1,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,23,42,-7,-3,-2,-1,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,24,38,-7,-3,-2,-1,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,25,20,-7,-3,-2,-1,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,26,23,-6,-3,-2,-1,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,27,30,-6,-3,-2,-1,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,28,49,-6,-3,-2,-1,-1,0,habituation,Amph,Veh
1_1,Veh_Amph,29,50,-6,-3,-2,-1,-1,0,habituation,Amph,Veh
