Subj,Drug,time_mins,activity,bin5mins,bin10mins,bin15mins,bin20mins,bin30mins,bin60mins
1,Veh_LY,1,195,-11,-5,-3,-2,-1,0
1,Veh_LY,2,94,-11,-5,-3,-2,-1,0
1,Veh_LY,3,156,-11,-5,-3,-2,-1,0
1,Veh_LY,4,143,-11,-5,-3,-2,-1,0
1,Veh_LY,5,103,-11,-5,-3,-2,-1,0
1,Veh_LY,6,6,-10,-5,-3,-2,-1,0
1,Veh_LY,7,100,-10,-5,-3,-2,-1,0
1,Veh_LY,8,69,-10,-5,-3,-2,-1,0
1,Veh_LY,9,19,-10,-5,-3,-2,-1,0
1,Veh_LY,10,0,-10,-5,-3,-2,-1,0
1,Veh_LY,11,18,-9,-4,-3,-2,-1,0
1,Veh_LY,12,12,-9,-4,-3,-2,-1,0
1,Veh_LY,13,16,-9,-4,-3,-2,-1,0
1,Veh_LY,14,49,-9,-4,-3,-2,-1,0
1,Veh_LY,15,78,-9,-4,-3,-2,-1,0
1,Veh_LY,16,60,-8,-4,-2,-2,-1,0
1,Veh_LY,17,18,-8,-4,-2,-2,-1,0
1,Veh_LY,18,6,-8,-4,-2,-2,-1,0
1,Veh_LY,19,10,-8,-4,-2,-2,-1,0
1,Veh_LY,20,2,-8,-4,-2,-2,-1,0
1,Veh_LY,21,0,-7,-3,-2,-1,-1,0
1,Veh_LY,22,1,-7,-3,-2,-1,-1,0
1,Veh_LY,23,0,-7,-3,-2,-1,-1,0
1,Veh_LY,24,0,-7,-3,-2,-1,-1,0
1,Veh_LY,25,0,-7,-3,-2,-1,-1,0
1,Veh_LY,26,0,-6,-3,-2,-1,-1,0
1,Veh_LY,27,0,-6,-3,-2,-1,-1,0
1,Veh_LY,28,0,-6,-3,-2,-1,-1,0
1,Veh_LY,29,1,-6,-3,-2,-1,-1,0
1,Veh_LY,30,2,-6,-3,-2,-1,-1,0
1,Veh_LY,31,1,-5,-2,-1,-1,0,0
1,Veh_LY,32,1,-5,-2,-1,-1,0,0
1,Veh_LY,33,0,-5,-2,-1,-1,0,0
1,Veh_LY,34,0,-5,-2,-1,-1,0,0
1,Veh_LY,35,1,-5,-2,-1,-1,0,0
1,Veh_LY,36,0,-4,-2,-1,-1,0,0
1,Veh_LY,37,0,-4,-2,-1,-1,0,0
1,Veh_LY,38,1,-4,-2,-1,-1,0,0
1,Veh_LY,39,0,-4,-2,-1,-1,0,0
1,Veh_LY,40,9,-4,-2,-1,-1,0,0
1,Veh_LY,41,0,-3,-1,-1,0,0,0
1,Veh_LY,42,0,-3,-1,-1,0,0,0
