Subj,Amph,Feeding,Replicate,Time_hrs,nM
3,1,Food Dep,1,0.25,865.052
3,1,Food Dep,1,0.5,947.043
3,1,Food Dep,1,1,885.496
3,1,Food Dep,1,2,621.661
4,1,Food Dep,2,0.25,1299.44
4,1,Food Dep,2,0.5,1400.9
4,1,Food Dep,2,1,8743.5
4,1,Food Dep,2,2,3601.8
5,1,Food Dep,3,0.25,738.756
5,1,Food Dep,3,0.5,499.717
5,1,Food Dep,3,1,431.088
5,1,Food Dep,3,2,369.29
11,1,Ad Lib,4,0.25,5470.26
11,1,Ad Lib,4,0.5,4332.52
11,1,Ad Lib,4,1,2926.55
11,1,Ad Lib,4,2,1996.19
12,1,Ad Lib,5,0.25,755.046
12,1,Ad Lib,5,0.5,784.416
12,1,Ad Lib,5,1,774.097
12,1,Ad Lib,5,2,509.14
13,1,Ad Lib,6,0.25,896.093
13,1,Ad Lib,6,0.5,771.954
13,1,Ad Lib,6,1,714.509
13,1,Ad Lib,6,2,433.22
14,1,Ad Lib,7,0.25,705.765
14,1,Ad Lib,7,0.5,869.752
14,1,Ad Lib,7,1,506.633
14,1,Ad Lib,7,2,214.487
15,1,Ad Lib,8,0.25,1266.91
15,1,Ad Lib,8,0.5,1074.05
15,1,Ad Lib,8,1,1649.8
15,1,Ad Lib,8,2,10170.2
21,2.5,Food Dep,9,0.25,2026.79
21,2.5,Food Dep,9,0.5,1542.65
21,2.5,Food Dep,9,1,1233.79
21,2.5,Food Dep,9,2,699.66
22,2.5,Food Dep,10,0.25,3115.55
22,2.5,Food Dep,10,0.5,2870.5
22,2.5,Food Dep,10,1,2560.52
22,2.5,Food Dep,10,2,1395.18
23,2.5,Food Dep,11,0.25,2497.16
23,2.5,Food Dep,11,0.5,1625.35
23,2.5,Food Dep,11,1,1328.21
23,2.5,Food Dep,11,2,1345.91
24,2.5,Food Dep,12,0.25,1509.46
24,2.5,Food Dep,12,0.5,996.37
24,2.5,Food Dep,12,1,718.688
24,2.5,Food Dep,12,2,640.253
30,2.5,Ad Lib,13,0.25,2077.85
30,2.5,Ad Lib,13,0.5,1844.59
30,2.5,Ad Lib,13,1,1242.41
30,2.5,Ad Lib,13,2,570.488
31,2.5,Ad Lib,14,0.25,1881.85
31,2.5,Ad Lib,14,0.5,1364.01
31,2.5,Ad Lib,14,1,887.046
31,2.5,Ad Lib,14,2,516.02
32,2.5,Ad Lib,15,0.25,1978.24
32,2.5,Ad Lib,15,0.5,1572.69
32,2.5,Ad Lib,15,1,1211.36
32,2.5,Ad Lib,15,2,547.717
33,2.5,Ad Lib,16,0.25,2719.66
33,2.5,Ad Lib,16,0.5,2652.26
33,2.5,Ad Lib,16,1,8579.22
33,2.5,Ad Lib,16,2,3642.32
39,5,Food Dep,17,0.25,5577.87
39,5,Food Dep,17,0.5,5061.48
39,5,Food Dep,17,1,3427.05
39,5,Food Dep,17,2,2545.46
40,5,Food Dep,18,0.25,163.2
40,5,Food Dep,18,0.5,56.7825
40,5,Food Dep,18,1,31.2347
40,5,Food Dep,18,2,62.3791
41,5,Food Dep,19,0.25,5268.22
41,5,Food Dep,19,0.5,4799.37
41,5,Food Dep,19,1,3094.66
41,5,Food Dep,19,2,1211.36
42,5,Food Dep,20,0.25,5649.03
42,5,Food Dep,20,0.5,4757.67
42,5,Food Dep,20,1,5602.65
42,5,Food Dep,20,2,2276.05
43,5,Food Dep,21,0.25,5431.66
43,5,Food Dep,21,0.5,4248.05
43,5,Food Dep,21,1,3198.11
43,5,Food Dep,21,2,3673.94
49,5,Ad Lib,22,0.25,4171.52
49,5,Ad Lib,22,0.5,4059.09
49,5,Ad Lib,22,1,2724.8
49,5,Ad Lib,22,2,2464.26
50,5,Ad Lib,23,0.25,3825.78
50,5,Ad Lib,23,0.5,4074.53
50,5,Ad Lib,23,1,2672.62
50,5,Ad Lib,23,2,1615
51,5,Ad Lib,24,0.25,4573.72
51,5,Ad Lib,24,0.5,3684.29
51,5,Ad Lib,24,1,3253.07
51,5,Ad Lib,24,2,1496.87
