day,session,room,Subj,Feeding,Amph,bin5mins,activity,bin10mins,bin15mins,bin20mins,bin30mins,bin60mins
1,1,53,49,Ad Lib,0,-11,1785.26716,-5,-3,-2,-1,-0
1,1,53,49,Ad Lib,0,-10,1350.302362,-5,-3,-2,-1,-0
1,1,53,49,Ad Lib,0,-9,916.23709,-4,-3,-2,-1,-0
1,1,53,49,Ad Lib,0,-8,1194.026894,-4,-2,-2,-1,-0
1,1,53,49,Ad Lib,0,-7,904.449612,-3,-2,-1,-1,-0
1,1,53,49,Ad Lib,0,-6,740.264445,-3,-2,-1,-1,-0
1,1,53,49,Ad Lib,0,-5,174.676257,-2,-1,-1,-0,-0
1,1,53,49,Ad Lib,0,-4,225.569611,-2,-1,-1,-0,-0
1,1,53,49,Ad Lib,0,-3,469.933977,-1,-1,-0,-0,-0
1,1,53,49,Ad Lib,0,-2,569.15488,-1,-0,-0,-0,-0
1,1,53,49,Ad Lib,0,-1,1273.400513,-0,-0,-0,-0,-0
1,1,53,49,Ad Lib,0,0,1041.059341,0,0,0,0,0
1,1,53,49,Ad Lib,0,1,1268.371001,1,1,1,1,1
1,1,53,49,Ad Lib,0,2,960.320226,1,1,1,1,1
1,1,53,49,Ad Lib,0,3,838.492185,2,1,1,1,1
1,1,53,49,Ad Lib,0,4,735.465149,2,2,1,1,1
1,1,53,49,Ad Lib,0,5,326.460349,3,2,2,1,1
1,1,53,49,Ad Lib,0,6,303.988644,3,2,2,1,1
1,1,53,49,Ad Lib,0,7,245.780116,4,3,2,2,1
1,1,53,49,Ad Lib,0,8,382.197234,4,3,2,2,1
1,1,53,49,Ad Lib,0,9,342.725473,5,3,3,2,1
1,1,53,49,Ad Lib,0,10,230.607648,5,4,3,2,1
1,1,53,49,Ad Lib,0,11,238.830618,6,4,3,2,1
1,1,53,49,Ad Lib,0,12,206.650132,6,4,3,2,1
1,1,53,49,Ad Lib,0,13,196.233705,7,5,4,3,2
1,1,53,49,Ad Lib,0,14,241.854373,7,5,4,3,2
1,1,53,49,Ad Lib,0,15,375.249726,8,5,4,3,2
1,1,53,49,Ad Lib,0,16,342.555637,8,6,4,3,2
1,1,53,49,Ad Lib,0,17,307.846905,9,6,5,3,2
1,1,53,49,Ad Lib,0,18,302.820957,9,6,5,3,2
1,1,53,49,Ad Lib,0,19,346.792475,10,7,5,4,2
1,1,53,49,Ad Lib,0,20,240.887393,10,7,5,4,2
1,1,53,49,Ad Lib,0,21,223.933229,11,7,6,4,2
1,1,53,49,Ad Lib,0,22,217.664168,11,8,6,4,2
1,1,53,49,Ad Lib,0,23,356.065985,12,8,6,4,2
1,1,53,49,Ad Lib,0,24,272.853691,12,8,6,4,2
1,1,53,50,Ad Lib,0,-11,2200.131227,-5,-3,-2,-1,-0
1,1,53,50,Ad Lib,0,-10,1360.783435,-5,-3,-2,-1,-0
1,1,53,50,Ad Lib,0,-9,1215.020194,-4,-3,-2,-1,-0
1,1,53,50,Ad Lib,0,-8,1068.079735,-4,-2,-2,-1,-0
1,1,53,50,Ad Lib,0,-7,953.394576,-3,-2,-1,-1,-0
1,1,53,50,Ad Lib,0,-6,593.38098,-3,-2,-1,-1,-0
1,1,53,50,Ad Lib,0,-5,1091.445248,-2,-1,-1,-0,-0
1,1,53,50,Ad Lib,0,-4,997.757994,-2,-1,-1,-0,-0
1,1,53,50,Ad Lib,0,-3,820.430546,-1,-1,-0,-0,-0
1,1,53,50,Ad Lib,0,-2,694.435765,-1,-0,-0,-0,-0
1,1,53,50,Ad Lib,0,-1,316.615894,-0,-0,-0,-0,-0
1,1,53,50,Ad Lib,0,0,366.08538,0,0,0,0,0
1,1,53,50,Ad Lib,0,1,1403.056237,1,1,1,1,1
1,1,53,50,Ad Lib,0,2,585.370496,1,1,1,1,1
1,1,53,50,Ad Lib,0,3,199.647786,2,1,1,1,1
1,1,53,50,Ad Lib,0,4,199.848762,2,2,1,1,1
1,1,53,50,Ad Lib,0,5,205.544011,3,2,2,1,1
1,1,53,50,Ad Lib,0,6,169.084879,3,2,2,1,1
1,1,53,50,Ad Lib,0,7,246.533341,4,3,2,2,1
1,1,53,50,Ad Lib,0,8,292.02201,4,3,2,2,1
1,1,53,50,Ad Lib,0,9,278.514984,5,3,3,2,1
1,1,53,50,Ad Lib,0,10,806.949779,5,4,3,2,1
1,1,53,50,Ad Lib,0,11,287.917228,6,4,3,2,1
1,1,53,50,Ad Lib,0,12,373.615308,6,4,3,2,1
1,1,53,50,Ad Lib,0,13,429.579349,7,5,4,3,2
1,1,53,50,Ad Lib,0,14,539.424279,7,5,4,3,2
1,1,53,50,Ad Lib,0,15,465.666628,8,5,4,3,2
1,1,53,50,Ad Lib,0,16,394.441081,8,6,4,3,2
1,1,53,50,Ad Lib,0,17,206.004454,9,6,5,3,2
1,1,53,50,Ad Lib,0,18,286.302392,9,6,5,3,2
1,1,53,50,Ad Lib,0,19,256.913437,10,7,5,4,2
1,1,53,50,Ad Lib,0,20,284.712936,10,7,5,4,2
1,1,53,50,Ad Lib,0,21,462.660006,11,7,6,4,2
1,1,53,50,Ad Lib,0,22,840.863295,11,8,6,4,2
1,1,53,50,Ad Lib,0,23,613.20303,12,8,6,4,2
1,1,53,50,Ad Lib,0,24,1067.287749,12,8,6,4,2
1,1,53,51,Ad Lib,1,-11,2101.159373,-5,-3,-2,-1,-0
1,1,53,51,Ad Lib,1,-10,1424.850402,-5,-3,-2,-1,-0
1,1,53,51,Ad Lib,1,-9,828.172324,-4,-3,-2,-1,-0
1,1,53,51,Ad Lib,1,-8,714.029931,-4,-2,-2,-1,-0
1,1,53,51,Ad Lib,1,-7,200.992292,-3,-2,-1,-1,-0
1,1,53,51,Ad Lib,1,-6,157.809371,-3,-2,-1,-1,-0
1,1,53,51,Ad Lib,1,-5,195.067433,-2,-1,-1,-0,-0
1,1,53,51,Ad Lib,1,-4,186.172175,-2,-1,-1,-0,-0
1,1,53,51,Ad Lib,1,-3,656.447968,-1,-1,-0,-0,-0
1,1,53,51,Ad Lib,1,-2,1310.128997,-1,-0,-0,-0,-0
1,1,53,51,Ad Lib,1,-1,347.656044,-0,-0,-0,-0,-0
1,1,53,51,Ad Lib,1,0,236.543081,0,0,0,0,0
1,1,53,51,Ad Lib,1,1,828.922667,1,1,1,1,1
1,1,53,51,Ad Lib,1,2,499.770885,1,1,1,1,1
1,1,53,51,Ad Lib,1,3,179.794795,2,1,1,1,1
1,1,53,51,Ad Lib,1,4,159.723032,2,2,1,1,1
1,1,53,51,Ad Lib,1,5,294.223196,3,2,2,1,1
1,1,53,51,Ad Lib,1,6,275.974913,3,2,2,1,1
1,1,53,51,Ad Lib,1,7,210.167745,4,3,2,2,1
1,1,53,51,Ad Lib,1,8,245.533962,4,3,2,2,1
1,1,53,51,Ad Lib,1,9,687.749653,5,3,3,2,1
1,1,53,51,Ad Lib,1,10,626.710989,5,4,3,2,1
1,1,53,51,Ad Lib,1,11,1081.474024,6,4,3,2,1
1,1,53,51,Ad Lib,1,12,291.583846,6,4,3,2,1
1,1,53,51,Ad Lib,1,13,203.914398,7,5,4,3,2
1,1,53,51,Ad Lib,1,14,192.541059,7,5,4,3,2
1,1,53,51,Ad Lib,1,15,401.911136,8,5,4,3,2
1,1,53,51,Ad Lib,1,16,433.674919,8,6,4,3,2
1,1,53,51,Ad Lib,1,17,275.611385,9,6,5,3,2
1,1,53,51,Ad Lib,1,18,331.965023,9,6,5,3,2
1,1,53,51,Ad Lib,1,19,300.97862,10,7,5,4,2
1,1,53,51,Ad Lib,1,20,256.20134,10,7,5,4,2
1,1,53,51,Ad Lib,1,21,204.522394,11,7,6,4,2
1,1,53,51,Ad Lib,1,22,657.041636,11,8,6,4,2
1,1,53,51,Ad Lib,1,23,681.060889,12,8,6,4,2
1,1,53,51,Ad Lib,1,24,1334.648864,12,8,6,4,2
1,1,53,52,Ad Lib,1,-11,1874.155382,-5,-3,-2,-1,-0
1,1,53,52,Ad Lib,1,-10,1507.027526,-5,-3,-2,-1,-0
1,1,53,52,Ad Lib,1,-9,943.589154,-4,-3,-2,-1,-0
1,1,53,52,Ad Lib,1,-8,703.17427,-4,-2,-2,-1,-0
1,1,53,52,Ad Lib,1,-7,465.76938,-3,-2,-1,-1,-0
1,1,53,52,Ad Lib,1,-6,293.837977,-3,-2,-1,-1,-0
1,1,53,52,Ad Lib,1,-5,238.941138,-2,-1,-1,-0,-0
1,1,53,52,Ad Lib,1,-4,223.697299,-2,-1,-1,-0,-0
1,1,53,52,Ad Lib,1,-3,493.417471,-1,-1,-0,-0,-0
1,1,53,52,Ad Lib,1,-2,177.827473,-1,-0,-0,-0,-0
1,1,53,52,Ad Lib,1,-1,680.328035,-0,-0,-0,-0,-0
1,1,53,52,Ad Lib,1,0,1255.376794,0,0,0,0,0
1,1,53,52,Ad Lib,1,1,597.318946,1,1,1,1,1
1,1,53,52,Ad Lib,1,2,1049.500784,1,1,1,1,1
1,1,53,52,Ad Lib,1,3,1076.85315,2,1,1,1,1
1,1,53,52,Ad Lib,1,4,1106.053412,2,2,1,1,1
1,1,53,52,Ad Lib,1,5,1163.642281,3,2,2,1,1
1,1,53,52,Ad Lib,1,6,1265.903625,3,2,2,1,1
1,1,53,52,Ad Lib,1,7,1234.810182,4,3,2,2,1
1,1,53,52,Ad Lib,1,8,1372.382869,4,3,2,2,1
1,1,53,52,Ad Lib,1,9,1347.529655,5,3,3,2,1
1,1,53,52,Ad Lib,1,10,1201.614771,5,4,3,2,1
1,1,53,52,Ad Lib,1,11,1372.783216,6,4,3,2,1
1,1,53,52,Ad Lib,1,12,1384.726957,6,4,3,2,1
1,1,53,52,Ad Lib,1,13,1323.763147,7,5,4,3,2
1,1,53,52,Ad Lib,1,14,1069.513848,7,5,4,3,2
1,1,53,52,Ad Lib,1,15,734.352477,8,5,4,3,2
1,1,53,52,Ad Lib,1,16,998.054934,8,6,4,3,2
1,1,53,52,Ad Lib,1,17,971.144629,9,6,5,3,2
1,1,53,52,Ad Lib,1,18,905.44405,9,6,5,3,2
1,1,53,52,Ad Lib,1,19,860.054867,10,7,5,4,2
1,1,53,52,Ad Lib,1,20,837.123543,10,7,5,4,2
1,1,53,52,Ad Lib,1,21,499.839722,11,7,6,4,2
1,1,53,52,Ad Lib,1,22,381.467119,11,8,6,4,2
1,1,53,52,Ad Lib,1,23,341.872364,12,8,6,4,2
1,1,53,52,Ad Lib,1,24,210.006268,12,8,6,4,2
1,1,53,53,Ad Lib,2.5,-11,1817.630599,-5,-3,-2,-1,-0
1,1,53,53,Ad Lib,2.5,-10,1353.716135,-5,-3,-2,-1,-0
1,1,53,53,Ad Lib,2.5,-9,975.617428,-4,-3,-2,-1,-0
1,1,53,53,Ad Lib,2.5,-8,885.547585,-4,-2,-2,-1,-0
1,1,53,53,Ad Lib,2.5,-7,404.936465,-3,-2,-1,-1,-0
1,1,53,53,Ad Lib,2.5,-6,1065.5979,-3,-2,-1,-1,-0
1,1,53,53,Ad Lib,2.5,-5,512.284716,-2,-1,-1,-0,-0
1,1,53,53,Ad Lib,2.5,-4,731.720137,-2,-1,-1,-0,-0
1,1,53,53,Ad Lib,2.5,-3,206.567,-1,-1,-0,-0,-0
1,1,53,53,Ad Lib,2.5,-2,162.876804,-1,-0,-0,-0,-0
1,1,53,53,Ad Lib,2.5,-1,224.565978,-0,-0,-0,-0,-0
1,1,53,53,Ad Lib,2.5,0,462.419269,0,0,0,0,0
1,1,53,53,Ad Lib,2.5,1,1142.971105,1,1,1,1,1
1,1,53,53,Ad Lib,2.5,2,857.200345,1,1,1,1,1
1,1,53,53,Ad Lib,2.5,3,1059.252643,2,1,1,1,1
1,1,53,53,Ad Lib,2.5,4,1159.536169,2,2,1,1,1
