Voltage,drug,nA
-0.4,Sal,-1.10844e-6
-0.4,LY,4.43377e-6
-0.393172691,Sal,3.82736e-6
-0.393172691,LY,1.13599e-4
-0.386345382,Sal,5.81006e-5
-0.386345382,LY,6.67378e-4
-0.379518072,Sal,1.57112e-4
-0.379518072,LY,0.001489137
-0.372690763,Sal,3.6538e-4
-0.372690763,LY,0.002916589
-0.365863454,Sal,7.67788e-4
-0.365863454,LY,0.00519136
-0.359036145,Sal,0.001491163
-0.359036145,LY,0.008564541
-0.352208835,Sal,0.002691817
-0.352208835,LY,0.013260096
-0.345381526,Sal,0.004516655
-0.345381526,LY,0.019441438
-0.338554217,Sal,0.007055493
-0.338554217,LY,0.027183204
-0.331726908,Sal,0.010301902
-0.331726908,LY,0.036447573
-0.324899598,Sal,0.014137402
-0.324899598,LY,0.047074271
-0.318072289,Sal,0.018352188
-0.318072289,LY,0.058794597
-0.31124498,Sal,0.022701123
-0.31124498,LY,0.071259931
-0.304417671,Sal,0.026971086
-0.304417671,LY,0.084077052
-0.297590361,Sal,0.031022163
-0.297590361,LY,0.096855212
-0.290763052,Sal,0.034790374
-0.290763052,LY,0.109247956
-0.283935743,Sal,0.038271035
-0.283935743,LY,0.120968063
-0.277108434,Sal,0.041488206
-0.277108434,LY,0.131785145
-0.270281124,Sal,0.044447002
-0.270281124,LY,0.141512027
-0.263453815,Sal,0.04709147
-0.263453815,LY,0.149972033
-0.256626506,Sal,0.049290629
-0.256626506,LY,0.156969747
-0.249799197,Sal,0.050845086
-0.249799197,LY,0.162299159
-0.242971888,Sal,0.051503301
-0.242971888,LY,0.165778332
-0.236144578,Sal,0.05099823
-0.236144578,LY,0.167272338
-0.229317269,Sal,0.049107489
-0.229317269,LY,0.166704252
-0.22248996,Sal,0.045704567
-0.22248996,LY,0.164081128
-0.215662651,Sal,0.040776309
-0.215662651,LY,0.159518361
-0.208835341,Sal,0.034418972
-0.208835341,LY,0.15323738
-0.202008032,Sal,0.026810224
-0.202008032,LY,0.145563948
-0.195180723,Sal,0.018147166
-0.195180723,LY,0.136938796
-0.188353414,Sal,0.008593453
-0.188353414,LY,0.127912258
-0.181526104,Sal,-0.001722588
-0.181526104,LY,0.119125295
-0.174698795,Sal,-0.012676224
-0.174698795,LY,0.111285112
-0.167871486,Sal,-0.02410157
-0.167871486,LY,0.105111946
-0.161044177,Sal,-0.035744171
-0.161044177,LY,0.101261471
-0.154216867,Sal,-0.047248453
-0.154216867,LY,0.100253203
-0.147389558,Sal,-0.058198908
-0.147389558,LY,0.102411183
-0.140562249,Sal,-0.068175379
-0.140562249,LY,0.10782721
-0.13373494,Sal,-0.076791932
-0.13373494,LY,0.116368275
-0.126907631,Sal,-0.08373846
-0.126907631,LY,0.12771529
-0.120080321,Sal,-0.088827798
-0.120080321,LY,0.141404915
-0.113253012,Sal,-0.092016724
-0.113253012,LY,0.156867361
-0.106425703,Sal,-0.093398951
-0.106425703,LY,0.173449126
-0.099598394,Sal,-0.093183267
-0.099598394,LY,0.19041144
-0.092771084,Sal,-0.091643516
-0.092771084,LY,0.206932489
-0.085943775,Sal,-0.089053549
-0.085943775,LY,0.222145187
-0.079116466,Sal,-0.085654061
-0.079116466,LY,0.235202546
-0.072289157,Sal,-0.08165411
-0.072289157,LY,0.245352603
-0.065461847,Sal,-0.077235449
-0.065461847,LY,0.252016615
-0.058634538,Sal,-0.072553952
-0.058634538,LY,0.254842631
-0.051807229,Sal,-0.067738202
-0.051807229,LY,0.253703634
-0.04497992,Sal,-0.062873517
-0.04497992,LY,0.248666942
-0.038152610000000003,Sal,-0.057990185
-0.038152610000000003,LY,0.239971493
-0.031325301,Sal,-0.053089291
-0.031325301,LY,0.227998003
-0.024497992,Sal,-0.048195499
-0.024497992,LY,0.213232775
-0.017670683,Sal,-0.043401259
-0.017670683,LY,0.196257917
-0.010843373,Sal,-0.038883938
-0.010843373,LY,0.177748137
-0.004016064,Sal,-0.034890406
-0.004016064,LY,0.158434617
0.002811245,Sal,-0.031698077
0.002811245,LY,0.139055237
0.009638554,Sal,-0.02957281
0.009638554,LY,0.120326319
0.016465863,Sal,-0.028731323
0.016465863,LY,0.102932239
0.023293173,Sal,-0.029313871
0.023293173,LY,0.087506727
0.030120482,Sal,-0.031381696
0.030120482,LY,0.074597805
0.036947791,Sal,-0.034927188
0.036947791,LY,0.064633568
0.0437751,Sal,-0.039868785
0.0437751,LY,0.05789218
0.05060241,Sal,-0.046039962
0.05060241,LY,0.054465345
0.057429719,Sal,-0.053196189
0.057429719,LY,0.054238033
0.064257028,Sal,-0.061028221
0.064257028,LY,0.05692314
0.071084337,Sal,-0.069170899
0.071084337,LY,0.062140833
0.077911647,Sal,-0.077228508
0.077911647,LY,0.069494616
0.084738956,Sal,-0.08481788
0.084738956,LY,0.07861869
0.091566265,Sal,-0.091601359
0.091566265,LY,0.089197051
0.098393574,Sal,-0.097304912
0.098393574,LY,0.10094799
0.105220884,Sal,-0.101734419
0.105220884,LY,0.113571846
0.112048193,Sal,-0.104781325
0.112048193,LY,0.126697435
0.118875502,Sal,-0.106405947
0.118875502,LY,0.139876256
0.125702811,Sal,-0.106615473
0.125702811,LY,0.152625592
0.13253012,Sal,-0.105458665
0.13253012,LY,0.164484394
0.13935743,Sal,-0.103039083
0.13935743,LY,0.175073789
0.146184739,Sal,-0.099530902
0.146184739,LY,0.184162819
