Time,drug,nA
-2.1,Sal,-0.070095504
-2.1,LY,-0.050188987
-2,Sal,-0.188680421
-2,LY,-0.043401241
-1.9,Sal,-0.150365914
-1.9,LY,-0.04765953
-1.8,Sal,-0.203531388
-1.8,LY,-0.052280023
-1.7,Sal,-0.182742271
-1.7,LY,-0.043050649
-1.6,Sal,-0.143300781
-1.6,LY,-0.044844378
-1.5,Sal,-0.10486155
-1.5,LY,-0.040671432
-1.4,Sal,-0.105941073
-1.4,LY,-0.048155751
-1.3,Sal,-0.148364743
-1.3,LY,-0.053337669
-1.2,Sal,-0.095978594
-1.2,LY,-0.039217485
-1.1,Sal,-0.138078376
-1.1,LY,-0.035243369
-1,Sal,-0.115866804
-1,LY,-0.029180016
-0.9,Sal,-0.102425703
-0.9,LY,-0.005402483
-0.8,Sal,-0.028351064
-0.8,LY,0.027280571
-0.7,Sal,-0.022693256
-0.7,LY,0.063576707
-0.6,Sal,0.035663152
-0.6,LY,0.091260474
-0.5,Sal,0.100677554
-0.5,LY,0.14660236200000001
-0.4,Sal,-0.029004007
-0.4,LY,0.196164372
-0.3,Sal,-0.049133085
-0.3,LY,0.242586529
-0.2,Sal,-0.115649495
-0.2,LY,0.289326979
-0.1,Sal,-0.135182624
-0.1,LY,0.335146304
0,Sal,-0.15512431
0,LY,0.381820848
0.1,Sal,-0.153237267
0.1,LY,0.430274673
0.2,Sal,-0.023779756
0.2,LY,0.489580768
0.3,Sal,0.128100442
0.3,LY,0.563263842
0.4,Sal,0.351997392
0.4,LY,0.658102845
0.5,Sal,0.540906743
0.5,LY,0.732291823
0.6,Sal,0.664691364
0.6,LY,0.815245231
0.7,Sal,0.690068523
0.7,LY,0.889829489
0.8,Sal,0.764225105
0.8,LY,0.962387766
0.9,Sal,0.805134802
0.9,LY,1.039906204
1,Sal,0.874884698
1,LY,1.109317958
1.1,Sal,0.80471391
1.1,LY,1.183125188
1.2,Sal,0.617481898
1.2,LY,1.254827702
1.3,Sal,0.606465611
1.3,LY,1.336384732
1.4,Sal,0.454409914
1.4,LY,1.401194431
1.5,Sal,0.506205253
1.5,LY,1.467870992
1.6,Sal,0.677151769
1.6,LY,1.527731319
1.7,Sal,0.617440483
1.7,LY,1.574649175
1.8,Sal,0.666164012
1.8,LY,1.591264239
1.9,Sal,0.721935068
1.9,LY,1.600639735
2,Sal,0.656761064
2,LY,1.623818413
2.1,Sal,0.700090869
2.1,LY,1.651419566
2.2,Sal,0.715396221
2.2,LY,1.656487541
2.3,Sal,0.535737606
2.3,LY,1.650594576
