Subj,Delay,Drug,Accuracy,Latency_Sample,Latency_Choice
1_1,0,NoInj,1,2.5,2
1_1,0,Veh,0.9,3,2
1_1,0,1mgkg,0.7,3,3
1_1,0,10mgkg,0.5,3,2
1_1,40,NoInj,0.6,3,2
1_1,40,Veh,0.6,3,2
1_1,40,1mgkg,0.6,3,2
1_1,40,10mgkg,0.6,3,2.5
1_2,0,NoInj,0.9,3,3
1_2,0,Veh,1,3,4
1_2,0,1mgkg,0.7,3,3.5
1_2,0,10mgkg,0.7,3,4
1_2,40,NoInj,0.8,3,2
1_2,40,Veh,0.8,3,2
1_2,40,1mgkg,0.3,3,2
1_2,40,10mgkg,0.5,3,2
1_3,0,NoInj,0.6,3,2
1_3,0,Veh,0.8,3,3
1_3,0,1mgkg,0.9,3,2
1_3,0,10mgkg,0.6,4,3
1_3,40,NoInj,0.5,3,2
1_3,40,Veh,0.5,3,1.5
1_3,40,1mgkg,0.6,3,2
1_3,40,10mgkg,0.6,3,2
1_4,0,NoInj,0.6,3,2
1_4,0,Veh,0.7,3,2
1_4,0,1mgkg,0.5,3,3
1_4,0,10mgkg,0.9,3,2.5
1_4,40,NoInj,0.5,3,1
1_4,40,Veh,0.7,3,1.5
1_4,40,1mgkg,0.7,3,2
1_4,40,10mgkg,0.4,3,2
2_1,0,NoInj,0.5,3,2
2_1,0,Veh,0.8,3,2
2_1,0,1mgkg,0.6,3,2
2_1,0,10mgkg,0.5,3,3
2_1,40,NoInj,0.6,3,2
2_1,40,Veh,0.5,3,2
2_1,40,1mgkg,0.5,3,2
2_1,40,10mgkg,0.5,3,2
2_2,0,NoInj,0.8,3,3
2_2,0,Veh,0.7,3,2
2_2,0,1mgkg,0.9,3,2
2_2,0,10mgkg,0.3,4,3.5
2_2,40,NoInj,0.7,3,2
2_2,40,Veh,0.5,2.5,2
2_2,40,1mgkg,0.6,3,2
2_2,40,10mgkg,0.4,5,3
2_3,0,NoInj,0.7,2,2
2_3,0,Veh,0.6,3,2
2_3,0,1mgkg,0.7,3,3
2_3,0,10mgkg,0.6,3,2
2_3,40,NoInj,0.6,3,2
2_3,40,Veh,0.5,3,2
2_3,40,1mgkg,0.3,3,2
2_3,40,10mgkg,0.7,3,2
2_4,0,NoInj,0.4,3.5,3.5
2_4,0,Veh,0.8,2.5,3
2_4,0,1mgkg,0.6,3,2.5
2_4,0,10mgkg,0.7,4.5,4
2_4,40,NoInj,0.6,3,2
2_4,40,Veh,0.6,2.5,2
2_4,40,1mgkg,0.6,3,2
2_4,40,10mgkg,0.44,4.5,3
3_1,0,NoInj,0.9,2,2
3_1,0,Veh,0.9,3,3
3_1,0,1mgkg,0.7,2.5,2
3_1,0,10mgkg,0.8,2.5,2
3_1,40,NoInj,0.6,2,2
3_1,40,Veh,0.4,2.5,1.5
3_1,40,1mgkg,0.5,3,2
3_1,40,10mgkg,0.5,3,2
3_2,0,NoInj,0.8,3,2
3_2,0,Veh,0.7,3,2
3_2,0,1mgkg,0.7,3,2
3_2,0,10mgkg,0.9,3.5,3
3_2,40,NoInj,0.9,3,2
3_2,40,Veh,0.5,3,2
3_2,40,1mgkg,0.6,3,2
3_2,40,10mgkg,0.6,3,2
3_3,0,NoInj,0.9,3,2
3_3,0,Veh,0.8,3,2
3_3,0,1mgkg,0.8,3,2
3_3,0,10mgkg,0.9,3,2.5
3_3,40,NoInj,0.6,3,2
3_3,40,Veh,0.7,3,2
3_3,40,1mgkg,0.6,2.5,2
3_3,40,10mgkg,0.5,3,2
3_4,0,NoInj,0.7,3,2.5
