Subj,Amph,Feeding,Replicate,0.25,0.5,1,2
3,1,Food Dep,1,865.052,947.043,885.496,621.661
4,1,Food Dep,2,1299.44,1400.9,8743.5,3601.8
5,1,Food Dep,3,738.756,499.717,431.088,369.29
11,1,Ad Lib,4,5470.26,4332.52,2926.55,1996.19
12,1,Ad Lib,5,755.046,784.416,774.097,509.14
13,1,Ad Lib,6,896.093,771.954,714.509,433.22
14,1,Ad Lib,7,705.765,869.752,506.633,214.487
15,1,Ad Lib,8,1266.91,1074.05,1649.8,10170.2
21,2.5,Food Dep,9,2026.79,1542.65,1233.79,699.66
22,2.5,Food Dep,10,3115.55,2870.5,2560.52,1395.18
23,2.5,Food Dep,11,2497.16,1625.35,1328.21,1345.91
24,2.5,Food Dep,12,1509.46,996.37,718.688,640.253
30,2.5,Ad Lib,13,2077.85,1844.59,1242.41,570.488
31,2.5,Ad Lib,14,1881.85,1364.01,887.046,516.02
32,2.5,Ad Lib,15,1978.24,1572.69,1211.36,547.717
33,2.5,Ad Lib,16,2719.66,2652.26,8579.22,3642.32
39,5,Food Dep,17,5577.87,5061.48,3427.05,2545.46
40,5,Food Dep,18,163.2,56.7825,31.2347,62.3791
41,5,Food Dep,19,5268.22,4799.37,3094.66,1211.36
42,5,Food Dep,20,5649.03,4757.67,5602.65,2276.05
43,5,Food Dep,21,5431.66,4248.05,3198.11,3673.94
49,5,Ad Lib,22,4171.52,4059.09,2724.8,2464.26
50,5,Ad Lib,23,3825.78,4074.53,2672.62,1615
51,5,Ad Lib,24,4573.72,3684.29,3253.07,1496.87
