Subj,Drug,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1_1,Veh_Amph,124,119,99,114,58,56,49,46,5,42,74,85,48,17,17,91,87,90,46,42,5,26,42,38,20,23,30,49,50,3,0,0,7,79,81,69,5,16,0,21,1,6,12,2,19,24,81,44,74,15,11,22,0,6,12,31,9,13,3,2
1_2,LY_Amph,107,100,110,57,23,104,21,99,66,109,56,55,13,22,41,87,108,77,55,66,59,40,41,30,15,11,35,108,114,55,31,37,56,27,11,91,46,92,85,91,55,9,0,6,48,62,130,95,64,88,63,26,12,13,6,15,5,8,51,47
1_3,Veh_Veh,109,67,44,84,80,39,64,44,22,10,40,3,5,6,3,3,51,43,95,29,65,54,25,0,0,16,0,3,19,0,8,33,71,14,47,35,22,9,16,19,47,48,53,56,45,1,9,52,64,34,38,36,21,48,26,5,0,0,31,16
1_4,Veh_LY,108,82,54,104,28,69,71,30,27,21,42,77,53,44,23,6,19,21,65,77,76,23,4,1,6,5,26,12,13,5,18,23,42,6,4,50,77,24,15,15,18,41,4,1,2,1,0,2,2,17,23,21,53,32,19,23,21,17,21,48
2_1,Veh_Veh,142,135,23,143,99,87,103,75,23,42,56,79,70,97,70,87,87,77,95,72,112,95,40,48,38,13,47,78,68,86,88,84,111,76,73,78,36,0,41,77,66,78,81,60,94,62,44,36,47,89,19,73,89,54,18,20,0,9,85,50
2_2,Veh_LY,120,110,144,102,104,81,78,45,49,35,52,97,47,45,45,18,13,10,5,21,30,73,69,9,10,9,3,18,26,112,81,26,41,51,44,22,9,15,1,14,34,64,55,63,47,34,57,86,16,25,57,6,6,15,18,6,8,4,9,9
2_3,Veh_Amph,85,109,63,71,76,82,59,32,63,44,38,40,31,17,53,78,48,51,33,45,31,0,43,24,37,61,102,61,70,46,21,30,34,26,73,47,79,30,84,60,43,57,55,81,23,67,74,57,55,46,33,15,19,12,15,13,3,4,48,13
2_4,LY_Amph,113,79,87,80,46,10,20,89,78,24,26,2,1,35,52,86,104,61,22,57,15,59,19,30,8,3,38,7,6,1,18,26,12,13,14,17,0,8,39,63,70,31,31,90,49,83,29,64,46,53,19,15,7,8,38,10,12,16,18,17
3_1,Veh_Amph,149,118,94,114,31,84,79,23,105,37,42,40,44,57,23,17,35,57,51,76,81,49,6,40,7,7,21,40,98,36,25,13,27,23,22,39,36,32,14,71,100,26,12,14,47,10,10,11,6,4,2,23,3,7,1,1,15,18,22,20
3_2,Veh_LY,139,58,89,111,107,70,31,48,30,9,6,34,50,73,54,3,0,30,13,20,32,15,22,6,43,44,65,78,11,0,17,24,58,77,66,45,53,28,95,50,51,16,59,9,66,44,53,39,9,40,2,13,6,1,1,7,6,19,9,15
3_3,LY_Amph,87,103,109,48,120,56,58,108,115,117,60,9,0,29,139,91,89,45,40,41,66,88,64,45,59,71,36,77,80,85,90,119,42,53,10,5,56,37,56,117,116,78,82,40,57,125,103,69,67,51,47,103,76,22,6,13,33,80,73,90
