Subj,Drug,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,Veh_LY,195,94,156,143,103,6,100,69,19,0,18,12,16,49,78,60,18,6,10,2,0,1,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0
2,Veh_Amph,223,163,171,148,100,46,108,40,11,8,27,69,38,4,1,20,8,4,10,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
3,Veh_Veh,102,70,57,62,77,64,11,10,64,33,66,33,8,14,4,10,13,0,0,0,23,14,8,13,24,28,15,0,12,0,0,5,4,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,1,2,0,0,0,0
4,LY_Amph,219,127,133,88,99,98,41,26,10,23,24,56,14,10,42,55,32,11,67,7,1,27,47,56,0,51,61,8,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,100,2,5,3,3,0,0,2,0,2,1,0
5,LY_Amph,185,121,159,81,131,108,88,118,55,27,19,3,33,95,18,9,17,23,9,9,0,0,0,0,0,14,6,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,19,0,0,1
6,Veh_LY,193,92,85,109,86,116,56,48,25,63,93,3,0,23,7,9,59,44,81,9,0,10,0,16,18,12,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,2,5,0,0,0,0,0,0,0
7,Veh_Veh,156,147,47,109,56,101,41,110,85,27,34,14,71,32,16,11,14,65,59,74,8,79,24,17,0,13,64,4,21,0,1,6,60,48,10,5,1,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0
8,Veh_Amph,164,133,137,161,110,47,119,49,39,31,100,76,64,60,4,14,27,11,20,17,1,1,7,58,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,4,1,1,11,0,0,0,0
9,Veh_LY,219,133,115,117,33,59,14,21,2,0,20,8,0,3,0,0,49,78,30,24,5,0,0,0,0,0,4,0,13,0,1,0,9,1,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Veh_Veh,151,75,46,51,113,82,48,29,41,14,28,27,10,42,7,10,32,59,3,15,16,3,22,19,32,11,18,9,25,2,0,5,4,0,16,1,6,3,2,0,0,2,2,15,64,19,9,5,11,9,12,13,15,15,15,23,18,21,13,13
11,Veh_Amph,192,70,118,110,123,84,45,3,42,33,34,23,73,10,9,4,42,107,95,17,1,0,18,14,16,8,0,0,0,0,0,0,0,11,8,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,9
12,LY_Amph,228,107,95,54,48,19,11,99,62,16,17,11,4,3,7,13,9,15,4,11,25,14,7,19,75,84,8,18,5,0,0,0,0,0,2,0,0,0,5,5,0,1,0,0,2,3,1,10,1,0,0,6,0,0,0,0,0,0,0,0
13,Veh_Veh,184,139,131,92,56,54,121,90,71,43,54,9,24,12,7,20,23,91,45,49,89,123,104,72,17,72,58,55,94,25,12,39,28,20,2,3,0,0,0,1,0,0,0,1,1,0,1,0,1,7,2,0,0,0,0,0,0,0,0,2
14,Veh_Amph,212,172,143,146,62,94,69,79,113,41,37,56,2,16,17,50,85,77,38,19,17,20,3,0,13,3,6,3,0,14,0,0,0,1,2,0,5,0,0,1,18,0,0,0,0,0,1,0,0,0,0,0,0,8,2,1,2,0,1,1
15,Veh_LY,203,125,63,140,111,61,5,36,84,130,96,7,7,7,27,62,19,20,36,28,53,14,0,2,1,3,22,16,0,0,0,0,0,0,0,0,0,1,8,16,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,1,2,11,0,0
16,LY_Amph,145,105,135,145,53,92,58,0,4,0,13,37,94,64,6,9,0,0,4,5,7,0,1,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Veh_Amph,247,144,97,32,15,118,83,27,22,87,65,12,0,10,19,8,19,1,5,8,0,0,0,0,38,19,69,35,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,29,0,0,0,3,0,0,0,0,1,0,12
