Voltage,Sal,LY
-0.4,-1.10844E-06,4.43377E-06
-0.393172691,3.82736E-06,0.000113599
-0.386345382,5.81006E-05,0.000667378
-0.379518072,0.000157112,0.001489137
-0.372690763,0.00036538,0.002916589
-0.365863454,0.000767788,0.00519136
-0.359036145,0.001491163,0.008564541
-0.352208835,0.002691817,0.013260096
-0.345381526,0.004516655,0.019441438
-0.338554217,0.007055493,0.027183204
-0.331726908,0.010301902,0.036447573
-0.324899598,0.014137402,0.047074271
-0.318072289,0.018352188,0.058794597
-0.31124498,0.022701123,0.071259931
-0.304417671,0.026971086,0.084077052
-0.297590361,0.031022163,0.096855212
-0.290763052,0.034790374,0.109247956
-0.283935743,0.038271035,0.120968063
-0.277108434,0.041488206,0.131785145
-0.270281124,0.044447002,0.141512027
-0.263453815,0.04709147,0.149972033
-0.256626506,0.049290629,0.156969747
-0.249799197,0.050845086,0.162299159
-0.242971888,0.051503301,0.165778332
-0.236144578,0.05099823,0.167272338
-0.229317269,0.049107489,0.166704252
-0.22248996,0.045704567,0.164081128
-0.215662651,0.040776309,0.159518361
-0.208835341,0.034418972,0.15323738
-0.202008032,0.026810224,0.145563948
-0.195180723,0.018147166,0.136938796
-0.188353414,0.008593453,0.127912258
-0.181526104,-0.001722588,0.119125295
-0.174698795,-0.012676224,0.111285112
-0.167871486,-0.02410157,0.105111946
-0.161044177,-0.035744171,0.101261471
-0.154216867,-0.047248453,0.100253203
-0.147389558,-0.058198908,0.102411183
-0.140562249,-0.068175379,0.10782721
-0.13373494,-0.076791932,0.116368275
-0.126907631,-0.08373846,0.12771529
-0.120080321,-0.088827798,0.141404915
-0.113253012,-0.092016724,0.156867361
-0.106425703,-0.093398951,0.173449126
-0.099598394,-0.093183267,0.19041144
-0.092771084,-0.091643516,0.206932489
-0.085943775,-0.089053549,0.222145187
-0.079116466,-0.085654061,0.235202546
-0.072289157,-0.08165411,0.245352603
-0.065461847,-0.077235449,0.252016615
-0.058634538,-0.072553952,0.254842631
-0.051807229,-0.067738202,0.253703634
-0.04497992,-0.062873517,0.248666942
-0.03815261,-0.057990185,0.239971493
-0.031325301,-0.053089291,0.227998003
-0.024497992,-0.048195499,0.213232775
-0.017670683,-0.043401259,0.196257917
-0.010843373,-0.038883938,0.177748137
-0.004016064,-0.034890406,0.158434617
0.002811245,-0.031698077,0.139055237
0.009638554,-0.02957281,0.120326319
0.016465863,-0.028731323,0.102932239
0.023293173,-0.029313871,0.087506727
0.030120482,-0.031381696,0.074597805
0.036947791,-0.034927188,0.064633568
0.0437751,-0.039868785,0.05789218
0.05060241,-0.046039962,0.054465345
0.057429719,-0.053196189,0.054238033
0.064257028,-0.061028221,0.05692314
0.071084337,-0.069170899,0.062140833
0.077911647,-0.077228508,0.069494616
0.084738956,-0.08481788,0.07861869
0.091566265,-0.091601359,0.089197051
0.098393574,-0.097304912,0.10094799
0.105220884,-0.101734419,0.113571846
0.112048193,-0.104781325,0.126697435
0.118875502,-0.106405947,0.139876256
0.125702811,-0.106615473,0.152625592
0.13253012,-0.105458665,0.164484394
