Time,Sal,LY
-2.1,-0.070095504,-0.050188987
-2,-0.188680421,-0.043401241
-1.9,-0.150365914,-0.04765953
-1.8,-0.203531388,-0.052280023
-1.7,-0.182742271,-0.043050649
-1.6,-0.143300781,-0.044844378
-1.5,-0.10486155,-0.040671432
-1.4,-0.105941073,-0.048155751
-1.3,-0.148364743,-0.053337669
-1.2,-0.095978594,-0.039217485
-1.1,-0.138078376,-0.035243369
-1,-0.115866804,-0.029180016
-0.9,-0.102425703,-0.005402483
-0.8,-0.028351064,0.027280571
-0.7,-0.022693256,0.063576707
-0.6,0.035663152,0.091260474
-0.5,0.100677554,0.146602362
-0.4,-0.029004007,0.196164372
-0.3,-0.049133085,0.242586529
-0.2,-0.115649495,0.289326979
-0.1,-0.135182624,0.335146304
0,-0.15512431,0.381820848
0.1,-0.153237267,0.430274673
0.2,-0.023779756,0.489580768
0.3,0.128100442,0.563263842
0.4,0.351997392,0.658102845
0.5,0.540906743,0.732291823
0.6,0.664691364,0.815245231
0.7,0.690068523,0.889829489
0.8,0.764225105,0.962387766
0.9,0.805134802,1.039906204
1,0.874884698,1.109317958
1.1,0.80471391,1.183125188
1.2,0.617481898,1.254827702
1.3,0.606465611,1.336384732
1.4,0.454409914,1.401194431
1.5,0.506205253,1.467870992
1.6,0.677151769,1.527731319
1.7,0.617440483,1.574649175
1.8,0.666164012,1.591264239
1.9,0.721935068,1.600639735
2,0.656761064,1.623818413
2.1,0.700090869,1.651419566
2.2,0.715396221,1.656487541
2.3,0.535737606,1.650594576
2.4,0.589664787,1.651380681
2.5,0.646320688,1.636646531
2.6,0.601391222,1.630765535
2.7,0.675222853,1.599727436
2.8,0.556097904,1.565278768
2.9,0.396225111,1.531504227
3,0.405313875,1.483493859
3.1,0.457688062,1.430153411
3.2,0.458610706,1.389769726
3.3,0.464640715,1.340790904
3.4,0.529621965,1.296597333
3.5,0.535315338,1.25907962
3.6,0.560657302,1.208277828
3.7,0.668236594,1.171911069
3.8,0.568001903,1.135573768
3.9,0.596641818,1.105600387
4,0.60018769,1.071547623
4.1,0.519309884,1.04480952
4.2,0.454603925,1.008157046
4.3,0.408980932,0.97635339
4.4,0.352375627,0.946748385
4.5,0.49164763,0.940904564
4.6,0.481066445,0.932952907
4.7,0.422170718,0.89803197
4.8,0.455304195,0.87049362
4.9,0.315226884,0.83251854
5,0.392323479,0.803638416
5.1,0.41333722,0.780500552
5.2,0.473537898,0.767927965
5.3,0.522861451,0.760878646
5.4,0.501729419,0.765226491
5.5,0.387941352,0.776894108
5.6,0.267657029,0.771032619
5.7,0.061560451,0.75281896
5.8,0.067106275,0.733140352
5.9,0.177261186,0.729862806
6,0.033953724,0.73943502
6.1,0.110079672,0.747582868
6.2,-0.143401448,0.746018877
6.3,-0.422479994,0.755843311
6.4,-0.22796463,0.75556153
6.5,-0.177009792,0.763689228
6.6,-0.000587128,0.745892627
6.7,0.178267839,0.740476333
6.8,0.028570592,0.727098413
6.9,-0.155510329,0.717177264
7,-0.173337265,0.710818499
7.1,-0.079871726,0.705313831
7.2,-0.054173485,0.691192079
7.3,0.084628376,0.677096473
7.4,0.149466112,0.682120684
7.5,-0.048376011,0.677915757
7.6,-0.147699286,0.679143799
7.7,-0.128945387,0.668324348
7.8,-0.211886154,0.659674919
7.9,-0.177293021,0.656572005
8,-0.441555595,0.638432868
8.1,-0.612181684,0.635741189
8.2,-0.714572367,0.649986073
8.3,-0.82246644,0.646713408
8.4,-0.568751409,0.634779643
8.5,-0.467474242,0.630834934
8.6,-0.419062879,0.605802353
8.7,-0.293120908,0.588013372
8.8,-0.266627621,0.564186424
8.9,-0.324387642,0.553101975
9,-0.295281985,0.53586598
9.1,-0.433721858,0.525265384
9.2,-0.435947145,0.501419591
9.3,-0.534116759,0.490532419
9.4,-0.602932003,0.479628977
9.5,-0.440558852,0.477422782
9.6,-0.450177568,0.471310825
9.7,-0.420103475,0.460861779
9.8,-0.436079392,0.459889421
9.9,-0.545986319,0.449441317
