Period,Time,SAL_M01007385,SAL_M01043741,SAL_M01043743,SAL_M01059148,SAL_M1059151,SAL_M1059153,LY_M01007386,LY_M01007391,LY_M01043738,LY_M01043742,LY_M01059147,LY_M1059152
Post,0,-0.294957914,0.354813518,-0.227615524,-0.426081093,1.021233539,-0.817577768,0.485564361,-0.076054696,-0.603002352,-0.052499569,-0.260367864,0.143169037
Post,0.1,-0.341093898,0.099350005,-0.232489004,-0.407135704,-1.722428397,-0.932621427,0.09059959,0.078232928,-0.569796787,-0.062141532,-0.240261723,0.094046379
Post,0.2,-0.41611468,-0.183682997,-0.232143616,-0.529358234,-2.243529097,-1.098291959,0.14942752,0.211331586,-0.40209735,-0.099738213,-0.281206348,-0.037370719
Post,0.3,-0.454472827,0.291977363,-0.289448394,-0.449752356,-2.310236985,-0.994133527,0.606663707,0.187575049,-0.287110167,-0.299372558,-0.301532177,-0.204006549
Post,0.4,-0.554309141,-0.071166254,-0.284250017,-0.309250567,-0.864655728,-0.789297728,0.093154826,0.127222423,-0.223687993,-0.26635853,-0.31400927,-0.138306835
Post,0.5,-0.497162032,-0.495399113,-0.144138328,-0.313040365,-2.179847197,-0.614971138,-0.114406532,-0.00719793,-0.233117515,-0.398963403,-0.350724278,-0.060340544
Post,0.6,-0.408976827,-0.035659505,-0.133971757,-0.365338181,-1.600273625,-0.580586461,0.280308435,-0.035634886,-0.314857587,-0.353980599,-0.319168179,0.076761327
Post,0.7,-0.341679282,0.441015944,-0.287220633,-0.403854347,0.497208278,-0.637070523,0.103769633,-0.044336927,-0.26194775,-0.527248762,-0.20688266,0.084731243
Post,0.8,-0.287739932,0.466114381,-0.280754668,-0.426714015,-1.499199159,-0.907212757,0.189829958,0.047892868,-0.365938126,-0.387130511,-0.152229045,-0.196280997
Post,0.9,-0.335887899,0.105850495,-0.295159428,-0.422219957,0.472405197,-1.054382294,-0.102152405,0.059969306,-0.439480414,-0.302134265,-0.137375479,-0.241215091
Post,1,-0.462859578,-0.164461865,-0.304639554,-0.382553535,-0.854663209,-1.110454024,0.457406401,0.22042657,-0.400907297,-0.301015106,-0.393797992,-0.196230462
Post,1.1,-0.38401919,-0.351725848,-0.408681595,-0.377782934,-0.767283123,-0.891650955,0.319828407,0.054841495,-0.310712584,-0.211037959,-0.562960416,-0.227231193
Post,1.2,-0.434768796,0.465102095,-0.353265344,-0.390540578,0.042491442,-0.667539323,0.673706172,-0.174840007,-0.276133493,-0.075455098,-0.693504306,-0.10189038
Post,1.3,-0.333631208,0.087519982,-0.226097973,-0.410171756,0.848932433,-0.654857614,0.432934793,-0.028741827,-0.216589353,-0.034115201,-0.647500392,0.000424808
Post,1.4,-0.30434074,0.310181822,-0.08061819,-0.47258641,-0.684521239,-0.701643583,0.850914719,-0.109533739,-0.252042166,0.006315461,-0.549113892,0.065405429
Post,1.5,-0.397719879,0.485165207,-0.115724272,-0.46073767,-2.209712827,-0.601028415,0.372843385,0.112821518,-0.269216085,0.030383361,-0.431965189,0.127099346
Post,1.6,-0.429417737,-0.31780023,-0.131002993,-0.48402229,-0.420369578,-0.727508036,-0.338422148,0.26684434,-0.283768657,0.08691235,-0.382028371,0.036805437
Post,1.7,-0.516089701,0.056085398,-0.177691618,-0.381111338,-0.382016639,-0.757246036,-0.52283229,0.211703923,-0.286234648,0.081997927,-0.217179213,-0.065434456
Post,1.8,-0.559629675,-0.20826058,-0.243605092,-0.362817221,-1.126090914,-0.863529942,-0.485819625,-0.125953279,-0.328091652,0.159868749,-0.258446288,-0.110760587
Post,1.9,-0.549861205,-0.357952498,-0.268193816,-0.277978964,-0.776805127,-0.822179458,0.120343535,-0.322779759,-0.467886613,0.148844988,-0.119538299,0.000344203
Post,2,-0.357278758,0.057190317,-0.227315111,-0.244389164,-0.50051319,-0.950317738,0.476506928,-0.299518552,-0.396578636,0.120017916,0.003941489,0.076971503
Post,2.1,-0.368405752,0.28245039,-0.142327674,-0.349492677,-2.260223264,-1.087353601,0.193759843,-0.075491547,-0.379297771,0.034512219,-0.035272637,-0.042181175
Post,2.2,-0.361919361,0.06385156,-0.167635682,-0.331465841,-0.230307366,-1.053338315,0.427322736,0.118103384,-0.479164214,-0.177554496,-0.214646763,-0.178247295
Post,2.3,-0.359430702,-0.036812724,-0.172461036,-0.44988624,0.310268224,-0.965655956,0.849077927,-0.047126965,-0.593344504,-0.131463304,-0.269050228,-0.218754504
Post,2.4,-0.402776403,0.389967787,-0.207244872,-0.271297961,-1.326244866,-0.85860412,0.009349198,-0.01806515,-0.684225917,-0.212343448,-0.289115501,-0.197075226
Post,2.5,-0.408739123,-0.373788016,-0.219368035,-0.335719072,1.62755005,-0.763777992,0.443231765,-0.152465662,-0.627955766,-0.393716276,-0.241794514,-0.037274199
Post,2.6,-0.344231123,-0.198670503,-0.30730197,-0.361089915,-0.46338044,-0.70575046,-0.000408564,-0.031044133,-0.481190316,-0.534125965,-0.267807729,-0.204860086
Post,2.7,-0.333229202,-0.049418802,-0.526242851,-0.496584707,0.334290759,-0.551499739,0.137193461,0.193212141,-0.415435312,-0.113250094,-0.185947932,-0.170723371
Post,2.8,-0.333100105,0.023684031,-0.600492991,-0.370004443,-0.141384253,-0.541116419,-0.362095895,0.203815542,-0.277186344,0.312290843,-0.289493514,-0.245601634
Post,2.9,-0.327190646,0.012985774,-0.72208635,-0.361588315,-0.629140999,-0.703901629,0.011821613,0.178641895,-0.250034601,0.223298686,-0.394223593,-0.322207111
Post,3,-0.352702075,0.078877275,-0.608943563,-0.306686967,-1.349171712,-0.677933117,-0.139015176,0.173093825,-0.281050851,0.125984814,-0.246283747,-0.202719944
Post,3.1,-0.411432716,0.17335302,-0.386101151,-0.298868328,-1.199225718,-0.95501677,0.328323515,0.097069782,-0.276483994,-0.205696282,-0.114843214,-0.061438745
Post,3.2,-0.335052652,-0.02552112,-0.28996666,-0.346089733,-1.791558614,-1.113316382,0.406560745,-0.006260645,-0.410013005,-0.174230898,-0.237958382,-0.180258877
Post,3.3,-0.30285165,-0.439637896,-0.104799581,-0.398474275,-0.09223295,-1.104358092,0.684944989,-0.110552635,-0.336576334,0.114331147,-0.30834299,-0.295957691
