RewardMagnitude,Time,R29_20130227_0_SAL,R34_20130301_0_SAL,R52_20130911_0_SAL,R54_20140619_0_SAL,R56_20140619_0_SAL,R57_20140618_0_SAL,R58_20140620_0_SAL,R69_20141211_0_SAL,R72_20141212_0_SAL,R29_20130227_1_SAL,R32_20130301_1_SAL,R34_20130301_1_SAL,R52_20130911_1_SAL,R54_20140619_1_SAL,R55_20140617_1_SAL,R57_20140618_1_SAL,R69_20141211_1_SAL,R72_20141212_1_SAL,R29_20130301_0_LY,R34_20130227_0_LY,R52_20130913_0_LY,R54_20140617_0_LY,R56_20140617_0_LY,R57_20140620_0_LY,R58_20140618_0_LY,R69_20141209_0_LY,R72_20141210_0_LY,R29_20130301_1_LY,R32_20130227_1_LY,R34_20130227_1_LY,R52_20130913_1_LY,R54_20140617_1_LY,R55_20140619_1_LY,R57_20140620_1_LY,R69_20141209_1_LY,R72_20141210_1_LY
1,0.1,-0.017746752,0.213648581,-0.041680254,0.115336183,0.063513874,-0.0494018,0.089177613,0.16929865,0.255556726,0.045057972,-0.024750167,0.015611814,0.130248311,0.029167518,0.071372839,0.131964197,0.150212266,0.127424447,-0.180103243,0.021380611,-0.128692899,-0.149741808,-0.008067161,0.168083786,-0.222233872,-0.236745202,-0.060804622,-0.094970768,-0.190103577,-0.083074667,-0.064130572,-0.309099931,0.073816168,0.376104807,-0.008885791,-0.210156575
1,0.2,-0.103400639,0.153481931,-0.1213531,0.090847389,0.042887367,-0.065180826,0.065686348,0.161337213,0.107185027,-0.015991356,-0.068935792,0.04493871,0.17146059,-0.045120149,0.042868992,0.091674482,0.144341553,-0.023562502,-0.087599398,0.049522207,-0.034728514,-0.086705734,-0.010317025,0.175326882,-0.194149159,-0.212849897,-0.062026824,-0.037858583,-0.126114528,-0.077179906,-0.046996486,-0.239914021,0.053410212,0.384707374,0.012005202,-0.225344017
1,0.3,-0.089520867,0.155501222,-0.143174297,0.093295224,0.034095681,-0.032289376,-0.019406963,0.155466341,0.070227081,-0.004264258,-0.099586648,0.05253562,0.182906024,-0.071413268,0.121772571,0.104652439,0.131009252,-0.048002775,-0.075051882,0.04071176,-0.048965021,-0.094582771,-0.022672059,0.141324895,-0.179200466,-0.172242843,-0.025850499,-0.026305646,-0.135155947,-0.059661813,-0.03471951,-0.206403296,0.062874683,0.370933036,0.004242429,-0.182664834
1,0.4,-0.102660324,0.145541944,-0.164755662,0.094197472,0.016019811,-0.023046151,-0.047115906,0.138379191,0.057752865,-0.012355532,-0.134334936,0.064747703,0.204289076,-0.093884696,0.13257488,0.088153662,0.141529739,-0.055920925,-0.043744848,0.03880685,-0.043789294,-0.08720748,-0.019127698,0.145703345,-0.155723889,-0.140746649,-0.003956771,-0.009051806,-0.12911526,-0.049916631,-0.024634172,-0.181314161,0.067899221,0.386399602,-0.003738321,-0.167744604
1,0.5,-0.09667871,0.131060053,-0.130500154,0.103796683,0.011693656,-0.015504674,-0.109655576,0.121238682,0.092995263,-0.000547787,-0.141839262,0.048978568,0.210301639,-0.097099838,0.147150629,0.073024639,0.122916063,-0.011252988,-0.014230871,0.038512656,-0.053274383,-0.099761542,-0.018981142,0.1402738,-0.1699678,-0.130735802,0.003134389,0.032478647,-0.154729329,-0.055448644,-0.020883373,-0.159534409,0.090811107,0.382526898,-0.002013478,-0.147194135
1,0.6,-0.075423007,0.151980736,-0.163682859,0.09936819,0.005877722,-0.0261524,-0.137618623,0.114007939,0.084438649,-0.001376423,-0.150076225,0.051813693,0.20965009,-0.095367445,0.172632033,0.077546776,0.131740122,-0.000851291,-0.025831288,0.032254579,-0.076391049,-0.101353156,-0.026864389,0.115989359,-0.181346577,-0.136668797,0.014043148,0.048266431,-0.168269544,-0.063294138,-0.00529621,-0.175551323,0.102770607,0.365097696,-0.015255769,-0.139578601
1,0.7,-0.067827812,0.15711979,-0.159991101,0.100574524,0.006674565,-0.038396832,-0.15940593,0.113795018,0.112856545,-0.030761144,-0.137386309,0.046566553,0.182006065,-0.092242319,0.164928163,0.089359575,0.137201982,0.043114269,-0.042967612,0.043043276,-0.064579607,-0.081661875,-0.014308652,0.101595772,-0.202864542,-0.133412027,0.001556503,0.043361323,-0.15625164,-0.06816687,0.002273063,-0.189721935,0.133942629,0.343399601,-0.018587171,-0.140707687
1,0.8,-0.085316736,0.128953204,-0.136308631,0.097421383,-0.016369348,-0.060252632,-0.148306205,0.113491581,0.138328245,-0.049088344,-0.12295787,0.038745981,0.18711984,-0.109484217,0.13507132,0.086357258,0.150523932,0.061196603,-0.033579319,0.059591669,-0.070853758,-0.056745979,-0.022491451,0.06844133,-0.23045785,-0.137352276,0.008198668,0.049021846,-0.140771884,-0.090538662,0.005077301,-0.182423813,0.126814858,0.315028083,-0.009742246,-0.150681446
1,0.9,-0.100458888,0.140301776,-0.135912886,0.08293012,-0.023265416,-0.087034215,-0.164737133,0.12863363,0.106602474,-0.058132581,-0.11676384,0.051258083,0.162092793,-0.116169484,0.131945934,0.077022157,0.137302659,0.032225105,-0.030120457,0.090614876,-0.058852588,-0.040271416,-0.030690576,0.046428962,-0.207676604,-0.134007541,0.008248126,0.069420173,-0.135963736,-0.088913151,0.011509899,-0.18988363,0.105639398,0.262912751,-0.00458004,-0.154729591
1,1,-0.083943171,0.161612353,-0.156834981,0.058689182,-0.034810732,-0.107924728,-0.128721533,0.107546239,0.074283571,-0.070090587,-0.102692047,0.057429671,0.166802337,-0.129444055,0.154843274,0.066481858,0.142930292,0.002837859,-0.059167474,0.118868952,-0.064880999,-0.042333938,-0.030521409,0.026930674,-0.180782756,-0.131882739,0.033356086,0.040237104,-0.134486973,-0.065529306,0.013012909,-0.19752411,0.083636835,0.242038396,-0.01812817,-0.141248162
