Condition,SubjID,Drug,RewardSize,TotalTrials,prop_Slever,prop_Llever,prop_Mag,prop_Other,Slever,Llever,Mag,Other
Saline_Small,13,Saline,Small,13,0.0769,0,0,0.9231,1,0,0,12
Saline_Small,14,Saline,Small,5,0.6,0,0,0.4,3,0,0,2
Saline_Small,15,Saline,Small,8,0,0.5,0.375,0.125,0,4,3,1
Saline_Small,16,Saline,Small,24,0.0833,0.0417,0.0417,0.8333,2,1,1,20
Saline_Small,17,Saline,Small,7,1,0,0,0,7,0,0,0
Saline_Small,19,Saline,Small,9,0,0,0.8889,0.1111,0,0,8,1
Saline_Small,20,Saline,Small,13,0.1538,0.3077,0.3846,0.1538,2,4,5,2
Saline_Small,21,Saline,Small,9,0.5556,0,0.4444,0,5,0,4,0
Saline_Small,22,Saline,Small,7,0,0.4286,0.1429,0.4286,0,3,1,3
Saline_Small,23,Saline,Small,3,0.6667,0,0,0.3333,2,0,0,1
Saline_Small,25,Saline,Small,6,0,0.6667,0.1667,0.1667,0,4,1,1
Saline_Small,26,Saline,Small,8,0.125,0.25,0.5,0.125,1,2,4,1
Saline_Large,13,Saline,Large,16,0,0,0,1,0,0,0,16
Saline_Large,14,Saline,Large,7,0,0.1429,0,0.8571,0,1,0,6
Saline_Large,15,Saline,Large,10,0,0,0.3,0.7,0,0,3,7
Saline_Large,16,Saline,Large,14,0,0,0,1,0,0,0,14
Saline_Large,17,Saline,Large,,,,,,0,0,0,0
Saline_Large,19,Saline,Large,8,0,0,0.75,0.25,0,0,6,2
Saline_Large,20,Saline,Large,8,0.25,0.125,0.5,0.125,2,1,4,1
Saline_Large,21,Saline,Large,9,0.2222,0.4444,0.3333,0,2,4,3,0
Saline_Large,22,Saline,Large,3,0,0,0,1,0,0,0,3
Saline_Large,23,Saline,Large,1,0,0,0,1,0,0,0,1
Saline_Large,25,Saline,Large,6,0.1667,0.1667,0.6667,0,1,1,4,0
Saline_Large,26,Saline,Large,16,0,0.1875,0.8125,0,0,3,13,0
SKF_Small,13,SKF,Small,23,0.0435,0.0435,0,0.913,1,1,0,21
SKF_Small,14,SKF,Small,11,0.3636,0.3636,0,0.2727,4,4,0,3
SKF_Small,15,SKF,Small,7,0.2857,0.2857,0.2857,0.1429,2,2,2,1
SKF_Small,16,SKF,Small,27,0.2963,0,0,0.7037,8,0,0,19
SKF_Small,17,SKF,Small,,,,,,0,0,0,0
SKF_Small,19,SKF,Small,6,0,0.1667,0.6667,0.1667,0,1,4,1
SKF_Small,20,SKF,Small,29,0.1724,0.3448,0.3103,0.1724,5,10,9,5
SKF_Small,21,SKF,Small,28,0.5,0.0357,0.2143,0.25,14,1,6,7
SKF_Small,22,SKF,Small,10,0.1,0.3,0,0.6,1,3,0,6
SKF_Small,23,SKF,Small,1,1,0,0,0,1,0,0,0
SKF_Small,25,SKF,Small,9,0.1111,0.3333,0.3333,0.2222,1,3,3,2
SKF_Small,26,SKF,Small,3,0,0,0.3333,0.6667,0,0,1,2
SKF_Large,13,SKF,Large,33,0.0303,0,0,0.9697,1,0,0,32
SKF_Large,14,SKF,Large,12,0.0833,0.6667,0,0.25,1,8,0,3
SKF_Large,15,SKF,Large,9,0,0,0.7778,0.2222,0,0,7,2
SKF_Large,16,SKF,Large,21,0.0476,0,0.0476,0.9048,1,0,1,19
SKF_Large,17,SKF,Large,,,,,,0,0,0,0
SKF_Large,19,SKF,Large,9,0.1111,0.3333,0.3333,0.2222,1,3,3,2
SKF_Large,20,SKF,Large,30,0.2333,0.4,0.2,0.1667,7,12,6,5
SKF_Large,21,SKF,Large,19,0.1579,0.2105,0.2105,0.4211,3,4,4,8
SKF_Large,22,SKF,Large,,,,,,0,0,0,0
SKF_Large,23,SKF,Large,9,0,0,0.2222,0.7778,0,0,2,7
SKF_Large,25,SKF,Large,13,0,0.1538,0.6154,0.2308,0,2,8,3
SKF_Large,26,SKF,Large,5,0,0,1,0,0,0,5,0
