Day,subject,CSPair,Period,MagEntries,MagDuration
15,1_____,CXDY,CS,0.5,0.0099999999999909
15,1_____,CYDX,CS,0.5,0.160000000000025
15,2_____,CXDY,CS,0,0.1000000000000225
15,2_____,CYDX,CS,0.5,0.2899999999999635
15,26____,CXDY,CS,1.5,3.3100000000000023
15,26____,CYDX,CS,1,0.650000000000091
15,27____,CXDY,CS,0.5,0.4399999999999976
15,27____,CYDX,CS,0,0
15,28____,CXDY,CS,0,0
15,28____,CYDX,CS,0,0
15,29____,CXDY,CS,0,0
15,29____,CYDX,CS,0.5,0.6200000000000045
15,3_____,CXDY,CS,0.5,1.3300000000000405
15,3_____,CYDX,CS,4,2.490000000000009
15,30____,CXDY,CS,0,0
15,30____,CYDX,CS,0,0
15,31____,CXDY,CS,0.5,0.1999999999999885
15,31____,CYDX,CS,0.5,0.400000000000034
15,32____,CXDY,CS,0,0
15,32____,CYDX,CS,0.5,0.39999999999997715
15,33____,CXDY,CS,0,0
15,33____,CYDX,CS,0,0
15,4_____,CXDY,CS,0.5,0.13000000000002376
15,4_____,CYDX,CS,1,1
15,5_____,CXDY,CS,0.5,1.3600000000000134
15,5_____,CYDX,CS,1,1.8499999999999945
15,6_____,CXDY,CS,0,0.12000000000000452
15,6_____,CYDX,CS,0.5,0.230000000000018
15,7_____,CXDY,CS,0,0
15,7_____,CYDX,CS,0.5,0.16999999999995932
15,8_____,CXDY,CS,0,0
15,8_____,CYDX,CS,1,2.2799999999999727
