Day,counterbalancing,Pavlovian_cbx,Instrumental_cbx,timebins,subject,Stimulus,LPFreq,LPDur,Reinforcer
Day1,A,X,A,1,17____,Flash,16,6.49999999999994,5
Day1,A,X,A,1,17____,Steady,2,3.52,0
Day1,A,X,A,1,21____,Flash,0,0,0
Day1,A,X,A,1,21____,Steady,3,1.06,1
Day1,A,X,A,1,23____,Flash,14,6.54000000000011,4
Day1,A,X,A,1,23____,Steady,7,15.48,2
Day1,A,X,A,1,44____,Flash,5,0.560000000000031,1
Day1,A,X,A,1,44____,Steady,11,2.13999999999993,4
Day1,A,X,A,2,17____,Flash,34,6.98000000000002,5
Day1,A,X,A,2,17____,Steady,0,0,0
Day1,A,X,A,2,21____,Flash,1,0.200000000000045,0
Day1,A,X,A,2,21____,Steady,0,0,0
Day1,A,X,A,2,23____,Flash,40,6.73999999999978,6
Day1,A,X,A,2,23____,Steady,13,39.1200000000001,5
Day1,A,X,A,2,44____,Flash,2,0.279999999999973,1
Day1,A,X,A,2,44____,Steady,4,0.299999999999955,2
Day1,A,X,A,3,17____,Flash,4,7.54000000000008,2
Day1,A,X,A,3,17____,Steady,1,1.38,0
Day1,A,X,A,3,21____,Flash,0,0,0
Day1,A,X,A,3,21____,Steady,1,0.700000000000045,1
Day1,A,X,A,3,23____,Flash,18,6.14000000000101,4
Day1,A,X,A,3,23____,Steady,18,40.9800000000002,7
Day1,A,X,A,3,44____,Flash,4,0.740000000000009,1
Day1,A,X,A,3,44____,Steady,1,1.01999999999998,0
Day1,A,X,A,4,17____,Flash,23,14.8799999999999,6
Day1,A,X,A,4,17____,Steady,1,1.87999999999988,0
Day1,A,X,A,4,21____,Flash,0,0,0
Day1,A,X,A,4,21____,Steady,0,0,0
Day1,A,X,A,4,23____,Flash,15,10.1199999999994,5
Day1,A,X,A,4,23____,Steady,1,2.75999999999999,0
Day1,A,X,A,4,44____,Flash,5,2.86000000000013,2
Day1,A,X,A,4,44____,Steady,10,2.46000000000004,2
Day1,A,Y,A,1,19____,Flash,2,0.0999999999999872,0
Day1,A,Y,A,1,19____,Steady,4,4.94000000000003,2
Day1,A,Y,A,1,42____,Flash,9,7.74,3
Day1,A,Y,A,1,42____,Steady,7,4.27999999999999,3
Day1,A,Y,A,2,19____,Flash,12,6.36000000000013,3
Day1,A,Y,A,2,19____,Steady,10,16.7400000000001,3
Day1,A,Y,A,2,42____,Flash,9,4.38000000000011,2
