Day,counterbalancing,Pavlovian_cbx,DevaluedOutcome1,DevaluedStimulus,DevaluedLever,timebins,subject,LPFreq_Flash,LPDur_Flash,LPFreq_Steady,LPDur_Steady,Reinforcer_Flash,Reinforcer_Steady,Stimulus,LPFreq,LPDur,Reinforcer
1,A,X,Banana,Steady,Right,1,17____,31,8.19999999999976,2,3.52,7,0,Devalued,2,3.52,0
1,A,X,Banana,Steady,Right,1,17____,31,8.19999999999976,2,3.52,7,0,NonDevalued,31,8.19999999999976,7
1,A,X,Banana,Steady,Right,2,17____,21,10.1000000000003,1,1.38,4,0,Devalued,1,1.38,0
1,A,X,Banana,Steady,Right,2,17____,21,10.1000000000003,1,1.38,4,0,NonDevalued,21,10.1000000000003,4
1,A,X,Banana,Steady,Right,3,17____,26,17.5599999999999,1,1.87999999999988,7,0,Devalued,1,1.87999999999988,0
1,A,X,Banana,Steady,Right,3,17____,26,17.5599999999999,1,1.87999999999988,7,0,NonDevalued,26,17.5599999999999,7
1,A,X,Chocolate,Flash,Left,1,21____,0,0,3,1.06,0,1,Devalued,0,0,0
1,A,X,Chocolate,Flash,Left,1,21____,0,0,3,1.06,0,1,NonDevalued,3,1.06,1
1,A,X,Chocolate,Flash,Left,1,23____,17,7.71999999999994,15,48.5800000000001,4,5,Devalued,17,7.71999999999994,4
1,A,X,Chocolate,Flash,Left,1,23____,17,7.71999999999994,15,48.5800000000001,4,5,NonDevalued,15,48.5800000000001,5
1,A,X,Chocolate,Flash,Left,1,44____,5,0.560000000000031,15,2.43999999999988,1,6,Devalued,5,0.560000000000031,1
1,A,X,Chocolate,Flash,Left,1,44____,5,0.560000000000031,15,2.43999999999988,1,6,NonDevalued,15,2.43999999999988,6
1,A,X,Chocolate,Flash,Left,2,21____,1,0.200000000000045,1,0.700000000000046,0,1,Devalued,1,0.200000000000045,0
1,A,X,Chocolate,Flash,Left,2,21____,1,0.200000000000045,1,0.700000000000046,0,1,NonDevalued,1,0.700000000000046,1
1,A,X,Chocolate,Flash,Left,2,23____,42,8.74000000000024,23,47.0000000000002,7,9,Devalued,42,8.74000000000024,7
1,A,X,Chocolate,Flash,Left,2,23____,42,8.74000000000024,23,47.0000000000002,7,9,NonDevalued,23,47.0000000000002,9
1,A,X,Chocolate,Flash,Left,2,44____,5,0.819999999999936,1,1.01999999999998,2,0,Devalued,5,0.819999999999936,2
1,A,X,Chocolate,Flash,Left,2,44____,5,0.819999999999936,1,1.01999999999998,2,0,NonDevalued,1,1.01999999999998,0
1,A,X,Chocolate,Flash,Left,3,21____,0,0,0,0,0,0,Devalued,0,0,0
1,A,X,Chocolate,Flash,Left,3,21____,0,0,0,0,0,0,NonDevalued,0,0,0
1,A,X,Chocolate,Flash,Left,3,23____,28,13.0800000000002,1,2.75999999999999,8,0,Devalued,28,13.0800000000002,8
1,A,X,Chocolate,Flash,Left,3,23____,28,13.0800000000002,1,2.75999999999999,8,0,NonDevalued,1,2.75999999999999,0
1,A,X,Chocolate,Flash,Left,3,44____,6,3.06000000000017,10,2.46000000000004,2,2,Devalued,6,3.06000000000017,2
1,A,X,Chocolate,Flash,Left,3,44____,6,3.06000000000017,10,2.46000000000004,2,2,NonDevalued,10,2.46000000000004,2
1,A,Y,Banana,Flash,Left,1,42____,10,8.12,10,8.12,3,6,Devalued,10,8.12,3
1,A,Y,Banana,Flash,Left,1,42____,10,8.12,10,8.12,3,6,NonDevalued,10,8.12,6
1,A,Y,Banana,Flash,Left,2,42____,9,4.88,9,4.88,2,1,Devalued,9,4.88,2
1,A,Y,Banana,Flash,Left,2,42____,9,4.88,9,4.88,2,1,NonDevalued,9,4.88,1
1,A,Y,Banana,Flash,Left,3,42____,3,7.51999999999998,3,7.51999999999998,3,1,Devalued,3,7.51999999999998,3
1,A,Y,Banana,Flash,Left,3,42____,3,7.51999999999998,3,7.51999999999998,3,1,NonDevalued,3,7.51999999999998,1
1,A,Y,Chocolate,Steady,Left,1,19____,4,4.78000000000005,4,4.78000000000005,0,3,Devalued,4,4.78000000000005,3
1,A,Y,Chocolate,Steady,Left,1,19____,4,4.78000000000005,4,4.78000000000005,0,3,NonDevalued,4,4.78000000000005,0
1,A,Y,Chocolate,Steady,Left,2,19____,10,1.68000000000006,10,1.68000000000006,3,6,Devalued,10,1.68000000000006,6
1,A,Y,Chocolate,Steady,Left,2,19____,10,1.68000000000006,10,1.68000000000006,3,6,NonDevalued,10,1.68000000000006,3
1,A,Y,Chocolate,Steady,Left,3,19____,1,0.159999999999854,1,0.159999999999854,0,4,Devalued,1,0.159999999999854,4
1,A,Y,Chocolate,Steady,Left,3,19____,1,0.159999999999854,1,0.159999999999854,0,4,NonDevalued,1,0.159999999999854,0
1,B,X,Banana,Steady,Right,1,22____,23,14.9999999999999,23,14.9999999999999,9,0,Devalued,23,14.9999999999999,0
1,B,X,Banana,Steady,Right,1,22____,23,14.9999999999999,23,14.9999999999999,9,0,NonDevalued,23,14.9999999999999,9
1,B,X,Banana,Steady,Right,2,22____,1,1.25999999999999,1,1.25999999999999,0,0,Devalued,1,1.25999999999999,0
1,B,X,Banana,Steady,Right,2,22____,1,1.25999999999999,1,1.25999999999999,0,0,NonDevalued,1,1.25999999999999,0
1,B,X,Banana,Steady,Right,3,22____,3,2.34000000000015,3,2.34000000000015,1,0,Devalued,3,2.34000000000015,0
1,B,X,Banana,Steady,Right,3,22____,3,2.34000000000015,3,2.34000000000015,1,0,NonDevalued,3,2.34000000000015,1
1,B,X,Chocolate,Flash,Right,1,18____,2,0.579999999999984,2,0.579999999999984,2,0,Devalued,2,0.579999999999984,2
1,B,X,Chocolate,Flash,Right,1,18____,2,0.579999999999984,2,0.579999999999984,2,0,NonDevalued,2,0.579999999999984,0
1,B,X,Chocolate,Flash,Right,2,18____,0,0,0,0,0,0,Devalued,0,0,0
1,B,X,Chocolate,Flash,Right,2,18____,0,0,0,0,0,0,NonDevalued,0,0,0
1,B,X,Chocolate,Flash,Right,3,18____,0,0,0,0,0,0,Devalued,0,0,0
1,B,X,Chocolate,Flash,Right,3,18____,0,0,0,0,0,0,NonDevalued,0,0,0
1,B,Y,Banana,Flash,Right,1,20____,0,0,7,8.16000000000005,0,2,Devalued,0,0,0
1,B,Y,Banana,Flash,Right,1,20____,0,0,7,8.16000000000005,0,2,NonDevalued,7,8.16000000000005,2
1,B,Y,Banana,Flash,Right,2,20____,1,0.759999999999991,7,1.90000000000009,1,3,Devalued,1,0.759999999999991,1
1,B,Y,Banana,Flash,Right,2,20____,1,0.759999999999991,7,1.90000000000009,1,3,NonDevalued,7,1.90000000000009,3
1,B,Y,Banana,Flash,Right,3,20____,0,0,6,5.88000000000034,0,3,Devalued,0,0,0
1,B,Y,Banana,Flash,Right,3,20____,0,0,6,5.88000000000034,0,3,NonDevalued,6,5.88000000000034,3
1,B,Y,Chocolate,Steady,Left,1,24____,6,1.96000000000004,2,0.340000000000032,2,1,Devalued,2,0.340000000000032,1
1,B,Y,Chocolate,Steady,Left,1,24____,6,1.96000000000004,2,0.340000000000032,2,1,NonDevalued,6,1.96000000000004,2
1,B,Y,Chocolate,Steady,Left,1,25____,13,11.1399999999998,3,2.32000000000005,4,1,Devalued,3,2.32000000000005,1
1,B,Y,Chocolate,Steady,Left,1,25____,13,11.1399999999998,3,2.32000000000005,4,1,NonDevalued,13,11.1399999999998,4
1,B,Y,Chocolate,Steady,Left,1,43____,65,11.02,23,5.11999999999985,14,4,Devalued,23,5.11999999999985,4
1,B,Y,Chocolate,Steady,Left,1,43____,65,11.02,23,5.11999999999985,14,4,NonDevalued,65,11.02,14
1,B,Y,Chocolate,Steady,Left,2,24____,17,15.4400000000006,4,2.53999999999996,7,2,Devalued,4,2.53999999999996,2
1,B,Y,Chocolate,Steady,Left,2,24____,17,15.4400000000006,4,2.53999999999996,7,2,NonDevalued,17,15.4400000000006,7
1,B,Y,Chocolate,Steady,Left,2,25____,8,6.49999999999989,11,5.19999999999993,2,3,Devalued,11,5.19999999999993,3
1,B,Y,Chocolate,Steady,Left,2,25____,8,6.49999999999989,11,5.19999999999993,2,3,NonDevalued,8,6.49999999999989,2
1,B,Y,Chocolate,Steady,Left,2,43____,40,9.58000000000004,36,40.2399999999996,10,8,Devalued,36,40.2399999999996,8
1,B,Y,Chocolate,Steady,Left,2,43____,40,9.58000000000004,36,40.2399999999996,10,8,NonDevalued,40,9.58000000000004,10
1,B,Y,Chocolate,Steady,Left,3,24____,15,13.3799999999997,5,2.02000000000021,7,1,Devalued,5,2.02000000000021,1
1,B,Y,Chocolate,Steady,Left,3,24____,15,13.3799999999997,5,2.02000000000021,7,1,NonDevalued,15,13.3799999999997,7
1,B,Y,Chocolate,Steady,Left,3,25____,4,7.58000000000016,9,6.49999999999977,1,4,Devalued,9,6.49999999999977,4
1,B,Y,Chocolate,Steady,Left,3,25____,4,7.58000000000016,9,6.49999999999977,1,4,NonDevalued,4,7.58000000000016,1
1,B,Y,Chocolate,Steady,Left,3,43____,13,7.82000000000016,0,0,3,0,Devalued,0,0,0
1,B,Y,Chocolate,Steady,Left,3,43____,13,7.82000000000016,0,0,3,0,NonDevalued,13,7.82000000000016,3
2,A,X,Banana,Steady,Right,1,17____,15,5.53999999999974,4,2.45999999999997,5,0,Devalued,4,2.45999999999997,0
2,A,X,Banana,Steady,Right,1,17____,15,5.53999999999974,4,2.45999999999997,5,0,NonDevalued,15,5.53999999999974,5
2,A,X,Banana,Steady,Right,2,17____,21,10.0399999999998,3,14.64,7,0,Devalued,3,14.64,0
2,A,X,Banana,Steady,Right,2,17____,21,10.0399999999998,3,14.64,7,0,NonDevalued,21,10.0399999999998,7
2,A,X,Banana,Steady,Right,3,17____,17,7.41999999999962,0,0,5,0,Devalued,0,0,0
2,A,X,Banana,Steady,Right,3,17____,17,7.41999999999962,0,0,5,0,NonDevalued,17,7.41999999999962,5
2,A,X,Chocolate,Flash,Left,1,21____,1,0.399999999999999,1,3.02,1,0,Devalued,1,0.399999999999999,1
2,A,X,Chocolate,Flash,Left,1,21____,1,0.399999999999999,1,3.02,1,0,NonDevalued,1,3.02,0
2,A,X,Chocolate,Flash,Left,1,23____,15,10.16,6,29.58,5,3,Devalued,15,10.16,5
2,A,X,Chocolate,Flash,Left,1,23____,15,10.16,6,29.58,5,3,NonDevalued,6,29.58,3
2,A,X,Chocolate,Flash,Left,1,44____,3,0.199999999999996,12,1.5799999999999499,2,4,Devalued,3,0.199999999999996,2
2,A,X,Chocolate,Flash,Left,1,44____,3,0.199999999999996,12,1.5799999999999499,2,4,NonDevalued,12,1.5799999999999499,4
2,A,X,Chocolate,Flash,Left,2,21____,0,0,0,0,0,0,Devalued,0,0,0
2,A,X,Chocolate,Flash,Left,2,21____,0,0,0,0,0,0,NonDevalued,0,0,0
2,A,X,Chocolate,Flash,Left,2,23____,31,25.5799999999998,9,67.26,10,4,Devalued,31,25.5799999999998,10
2,A,X,Chocolate,Flash,Left,2,23____,31,25.5799999999998,9,67.26,10,4,NonDevalued,9,67.26,4
2,A,X,Chocolate,Flash,Left,2,44____,7,4.10000000000014,4,1.50000000000011,2,1,Devalued,7,4.10000000000014,2
2,A,X,Chocolate,Flash,Left,2,44____,7,4.10000000000014,4,1.50000000000011,2,1,NonDevalued,4,1.50000000000011,1
2,A,X,Chocolate,Flash,Left,3,21____,0,0,1,0.0600000000001728,0,1,Devalued,0,0,0
2,A,X,Chocolate,Flash,Left,3,21____,0,0,1,0.0600000000001728,0,1,NonDevalued,1,0.0600000000001728,1
2,A,X,Chocolate,Flash,Left,3,23____,13,13.1199999999999,21,18.1000000000001,3,6,Devalued,13,13.1199999999999,3
2,A,X,Chocolate,Flash,Left,3,23____,13,13.1199999999999,21,18.1000000000001,3,6,NonDevalued,21,18.1000000000001,6
2,A,X,Chocolate,Flash,Left,3,44____,7,12.2200000000003,2,0.0999999999999091,3,1,Devalued,7,12.2200000000003,3
2,A,X,Chocolate,Flash,Left,3,44____,7,12.2200000000003,2,0.0999999999999091,3,1,NonDevalued,2,0.0999999999999091,1
2,A,Y,Banana,Flash,Left,1,42____,8,9.90000000000008,8,9.90000000000008,4,2,Devalued,8,9.90000000000008,4
2,A,Y,Banana,Flash,Left,1,42____,8,9.90000000000008,8,9.90000000000008,4,2,NonDevalued,8,9.90000000000008,2
2,A,Y,Banana,Flash,Left,2,42____,5,20.62,5,20.62,3,0,Devalued,5,20.62,3
2,A,Y,Banana,Flash,Left,2,42____,5,20.62,5,20.62,3,0,NonDevalued,5,20.62,0
2,A,Y,Banana,Flash,Left,3,42____,0,0,0,0,0,0,Devalued,0,0,0
2,A,Y,Banana,Flash,Left,3,42____,0,0,0,0,0,0,NonDevalued,0,0,0
2,A,Y,Chocolate,Steady,Left,1,19____,15,2.93999999999993,15,2.93999999999993,6,13,Devalued,15,2.93999999999993,13
2,A,Y,Chocolate,Steady,Left,1,19____,15,2.93999999999993,15,2.93999999999993,6,13,NonDevalued,15,2.93999999999993,6
2,A,Y,Chocolate,Steady,Left,2,19____,4,15.0799999999999,4,15.0799999999999,0,4,Devalued,4,15.0799999999999,4
2,A,Y,Chocolate,Steady,Left,2,19____,4,15.0799999999999,4,15.0799999999999,0,4,NonDevalued,4,15.0799999999999,0
2,A,Y,Chocolate,Steady,Left,3,19____,22,17.1199999999999,22,17.1199999999999,6,1,Devalued,22,17.1199999999999,1
2,A,Y,Chocolate,Steady,Left,3,19____,22,17.1199999999999,22,17.1199999999999,6,1,NonDevalued,22,17.1199999999999,6
2,B,X,Banana,Steady,Right,1,22____,15,4.96000000000014,15,4.96000000000014,7,0,Devalued,15,4.96000000000014,0
2,B,X,Banana,Steady,Right,1,22____,15,4.96000000000014,15,4.96000000000014,7,0,NonDevalued,15,4.96000000000014,7
2,B,X,Banana,Steady,Right,2,22____,7,4.15999999999997,7,4.15999999999997,4,0,Devalued,7,4.15999999999997,0
2,B,X,Banana,Steady,Right,2,22____,7,4.15999999999997,7,4.15999999999997,4,0,NonDevalued,7,4.15999999999997,4
2,B,X,Banana,Steady,Right,3,22____,5,3.22000000000048,5,3.22000000000048,3,6,Devalued,5,3.22000000000048,6
2,B,X,Banana,Steady,Right,3,22____,5,3.22000000000048,5,3.22000000000048,3,6,NonDevalued,5,3.22000000000048,3
2,B,X,Chocolate,Flash,Right,1,18____,1,2.61999999999995,1,2.61999999999995,0,1,Devalued,1,2.61999999999995,0
2,B,X,Chocolate,Flash,Right,1,18____,1,2.61999999999995,1,2.61999999999995,0,1,NonDevalued,1,2.61999999999995,1
2,B,X,Chocolate,Flash,Right,2,18____,1,2.1400000000001,1,2.1400000000001,0,1,Devalued,1,2.1400000000001,0
2,B,X,Chocolate,Flash,Right,2,18____,1,2.1400000000001,1,2.1400000000001,0,1,NonDevalued,1,2.1400000000001,1
2,B,X,Chocolate,Flash,Right,3,18____,0,0,0,0,0,0,Devalued,0,0,0
2,B,X,Chocolate,Flash,Right,3,18____,0,0,0,0,0,0,NonDevalued,0,0,0
2,B,Y,Banana,Flash,Right,1,20____,0,0,5,6.90000000000003,0,3,Devalued,0,0,0
2,B,Y,Banana,Flash,Right,1,20____,0,0,5,6.90000000000003,0,3,NonDevalued,5,6.90000000000003,3
2,B,Y,Banana,Flash,Right,2,20____,0,0,2,1.86000000000001,0,1,Devalued,0,0,0
2,B,Y,Banana,Flash,Right,2,20____,0,0,2,1.86000000000001,0,1,NonDevalued,2,1.86000000000001,1
2,B,Y,Banana,Flash,Right,3,20____,0,0,0,0,0,0,Devalued,0,0,0
2,B,Y,Banana,Flash,Right,3,20____,0,0,0,0,0,0,NonDevalued,0,0,0
2,B,Y,Chocolate,Steady,Left,1,24____,20,9.99999999999983,1,0.319999999999993,6,0,Devalued,1,0.319999999999993,0
2,B,Y,Chocolate,Steady,Left,1,24____,20,9.99999999999983,1,0.319999999999993,6,0,NonDevalued,20,9.99999999999983,6
2,B,Y,Chocolate,Steady,Left,1,25____,5,3.5800000000001,11,9.62000000000002,2,5,Devalued,11,9.62000000000002,5
2,B,Y,Chocolate,Steady,Left,1,25____,5,3.5800000000001,11,9.62000000000002,2,5,NonDevalued,5,3.5800000000001,2
2,B,Y,Chocolate,Steady,Left,1,43____,32,16.52,8,5.4,6,4,Devalued,8,5.4,4
2,B,Y,Chocolate,Steady,Left,1,43____,32,16.52,8,5.4,6,4,NonDevalued,32,16.52,6
2,B,Y,Chocolate,Steady,Left,2,24____,34,20.2600000000001,0,0,11,0,Devalued,0,0,0
2,B,Y,Chocolate,Steady,Left,2,24____,34,20.2600000000001,0,0,11,0,NonDevalued,34,20.2600000000001,11
2,B,Y,Chocolate,Steady,Left,2,25____,8,6.60000000000002,5,4.7199999999998,3,1,Devalued,5,4.7199999999998,1
2,B,Y,Chocolate,Steady,Left,2,25____,8,6.60000000000002,5,4.7199999999998,3,1,NonDevalued,8,6.60000000000002,3
2,B,Y,Chocolate,Steady,Left,2,43____,4,4.57999999999981,0,0,2,0,Devalued,0,0,0
2,B,Y,Chocolate,Steady,Left,2,43____,4,4.57999999999981,0,0,2,0,NonDevalued,4,4.57999999999981,2
2,B,Y,Chocolate,Steady,Left,3,24____,22,11.0399999999997,11,6.13999999999942,7,3,Devalued,11,6.13999999999942,3
2,B,Y,Chocolate,Steady,Left,3,24____,22,11.0399999999997,11,6.13999999999942,7,3,NonDevalued,22,11.0399999999997,7
2,B,Y,Chocolate,Steady,Left,3,25____,4,1.74000000000001,2,2.90000000000009,1,0,Devalued,2,2.90000000000009,0
2,B,Y,Chocolate,Steady,Left,3,25____,4,1.74000000000001,2,2.90000000000009,1,0,NonDevalued,4,1.74000000000001,1
2,B,Y,Chocolate,Steady,Left,3,43____,0,0,2,5.18000000000006,0,1,Devalued,2,5.18000000000006,1
2,B,Y,Chocolate,Steady,Left,3,43____,0,0,2,5.18000000000006,0,1,NonDevalued,0,0,0
3,A,X,Banana,Steady,Right,1,17____,15,4.80000000000015,3,187.46,6,0,Devalued,3,187.46,0
3,A,X,Banana,Steady,Right,1,17____,15,4.80000000000015,3,187.46,6,0,NonDevalued,15,4.80000000000015,6
3,A,X,Banana,Steady,Right,2,17____,7,1.82000000000028,1,4.07999999999993,4,0,Devalued,1,4.07999999999993,0
3,A,X,Banana,Steady,Right,2,17____,7,1.82000000000028,1,4.07999999999993,4,0,NonDevalued,7,1.82000000000028,4
3,A,X,Banana,Steady,Right,3,17____,7,2.09999999999991,0,0,3,0,Devalued,0,0,0
3,A,X,Banana,Steady,Right,3,17____,7,2.09999999999991,0,0,3,0,NonDevalued,7,2.09999999999991,3
3,A,X,Chocolate,Flash,Left,1,21____,0,0,0,0,0,0,Devalued,0,0,0
3,A,X,Chocolate,Flash,Left,1,21____,0,0,0,0,0,0,NonDevalued,0,0,0
3,A,X,Chocolate,Flash,Left,1,23____,5,2.22000000000003,14,105.32,1,9,Devalued,5,2.22000000000003,1
3,A,X,Chocolate,Flash,Left,1,23____,5,2.22000000000003,14,105.32,1,9,NonDevalued,14,105.32,9
3,A,X,Chocolate,Flash,Left,1,44____,2,0.520000000000039,11,1.03999999999995,1,3,Devalued,2,0.520000000000039,1
3,A,X,Chocolate,Flash,Left,1,44____,2,0.520000000000039,11,1.03999999999995,1,3,NonDevalued,11,1.03999999999995,3
3,A,X,Chocolate,Flash,Left,2,21____,0,0,2,0.839999999999918,0,1,Devalued,0,0,0
3,A,X,Chocolate,Flash,Left,2,21____,0,0,2,0.839999999999918,0,1,NonDevalued,2,0.839999999999918,1
3,A,X,Chocolate,Flash,Left,2,23____,17,6.97999999999991,13,153.54,6,3,Devalued,17,6.97999999999991,6
3,A,X,Chocolate,Flash,Left,2,23____,17,6.97999999999991,13,153.54,6,3,NonDevalued,13,153.54,3
3,A,X,Chocolate,Flash,Left,2,44____,5,1,4,0.7800000000002,2,1,Devalued,5,1,2
3,A,X,Chocolate,Flash,Left,2,44____,5,1,4,0.7800000000002,2,1,NonDevalued,4,0.7800000000002,1
3,A,X,Chocolate,Flash,Left,3,21____,1,0.159999999999854,1,2,1,0,Devalued,1,0.159999999999854,1
3,A,X,Chocolate,Flash,Left,3,21____,1,0.159999999999854,1,2,1,0,NonDevalued,1,2,0
3,A,X,Chocolate,Flash,Left,3,23____,2,9.15999999999985,0,0,0,0,Devalued,2,9.15999999999985,0
3,A,X,Chocolate,Flash,Left,3,23____,2,9.15999999999985,0,0,0,0,NonDevalued,0,0,0
3,A,X,Chocolate,Flash,Left,3,44____,3,3.01999999999998,5,0.339999999999691,1,1,Devalued,3,3.01999999999998,1
3,A,X,Chocolate,Flash,Left,3,44____,3,3.01999999999998,5,0.339999999999691,1,1,NonDevalued,5,0.339999999999691,1
3,A,Y,Banana,Flash,Left,1,42____,1,0.68,1,0.68,1,1,Devalued,1,0.68,1
