Day,subject,sex,CS_name,Period,MagEntries,MagDuration
5,1_____,F,A_O1,CS,7.25,5.244999999999981
5,1_____,F,A_O1,Post,1.5,4.3900000000001
5,1_____,F,A_O1,Pre,1.5,1.069999999999972
5,1_____,F,A_O1,CSPre,5.75,4.175000000000009
5,1_____,F,AX_,CS,1.75,0.8374999999999917
5,1_____,F,AX_,Post,1.625,1.7724999999998872
5,1_____,F,AX_,Pre,0.125,0.2000000000000029
5,1_____,F,AX_,CSPre,1.625,0.6374999999999889
5,1_____,F,B_O2,CS,2.75,3.505000000000024
5,1_____,F,B_O2,Post,4.5,5.215000000000089
5,1_____,F,B_O2,Pre,0.5,0.4199999999999592
5,1_____,F,B_O2,CSPre,2.25,3.085000000000065
5,1_____,F,BY_,CS,0.125,0.07999999999998413
5,1_____,F,BY_,Post,1.125,0.8849999999999769
5,1_____,F,BY_,Pre,0.625,0.24250000000001407
5,1_____,F,BY_,CSPre,-0.5,-0.16250000000002995
5,2_____,F,A_O1,CS,3,3.5950000000000557
5,2_____,F,A_O1,Post,2.25,3.4950000000001182
5,2_____,F,A_O1,Pre,1.5,2.1300000000000523
5,2_____,F,A_O1,CSPre,1.5,1.4650000000000034
5,2_____,F,AX_,CS,0.375,0.4300000000000068
5,2_____,F,AX_,Post,1.625,2.3424999999999443
5,2_____,F,AX_,Pre,0.25,0.8325000000000387
5,2_____,F,AX_,CSPre,0.125,-0.40250000000003183
5,2_____,F,B_O2,CS,2.75,3.52500000000009
5,2_____,F,B_O2,Post,1.5,3.3550000000000466
5,2_____,F,B_O2,Pre,1,0.8400000000000178
5,2_____,F,B_O2,CSPre,1.75,2.6850000000000724
5,2_____,F,BY_,CS,0.375,0.42250000000001386
5,2_____,F,BY_,Post,1,1.042500000000011
5,2_____,F,BY_,Pre,0.5,0.7325000000000158
5,2_____,F,BY_,CSPre,-0.125,-0.31000000000000194
5,26____,M,A_O1,CS,3.25,5.169999999999759
5,26____,M,A_O1,Post,2,4.71000000000015
5,26____,M,A_O1,Pre,0.5,0.8199999999999931
5,26____,M,A_O1,CSPre,2.75,4.349999999999766
5,26____,M,AX_,CS,0.75,0.9949999999999904
5,26____,M,AX_,Post,3,3.9425000000001234
5,26____,M,AX_,Pre,1.5,1.9950000000001042
5,26____,M,AX_,CSPre,-0.75,-1.0000000000001137
5,26____,M,B_O2,CS,3.25,5.835000000000065
5,26____,M,B_O2,Post,5.75,5.805000000000064
5,26____,M,B_O2,Pre,1,1.575000000000017
5,26____,M,B_O2,CSPre,2.25,4.260000000000048
5,26____,M,BY_,CS,0.375,0.3500000000000226
5,26____,M,BY_,Post,1.5,0.9100000000001245
5,26____,M,BY_,Pre,0.375,0.43000000000000693
5,26____,M,BY_,CSPre,0,-0.0799999999999843
5,27____,M,A_O1,CS,2,3.535000000000068
5,27____,M,A_O1,Post,2.25,3.919999999999917
5,27____,M,A_O1,Pre,0,0
5,27____,M,A_O1,CSPre,2,3.535000000000068
5,27____,M,AX_,CS,0.5,0.6499999999999773
