TestCondition,Day,subject,ExcludeSubject,Value,Probability,measure,Freq
P100_HighVsLow,Day13,11____,Keep,High,P100,CS,11
P100_HighVsLow,Day13,11____,Keep,Low,P100,CS,4
P100_HighVsLow,Day13,11____,Keep,High,P100,LP,24
P100_HighVsLow,Day13,11____,Keep,Low,P100,LP,13
P100_HighVsLow,Day13,11____,Keep,Diff,P100,CS,7
P100_HighVsLow,Day13,11____,Keep,Diff,P100,LP,11
P100_HighVsLow,Day13,11____,Keep,PercDiff,P100,LP,29.72972972972973
P100_HighVsLow,Day13,14____,Exclude,High,P100,CS,0
P100_HighVsLow,Day13,14____,Exclude,Low,P100,CS,0
P100_HighVsLow,Day13,14____,Exclude,High,P100,LP,0
P100_HighVsLow,Day13,14____,Exclude,Low,P100,LP,0
P100_HighVsLow,Day13,14____,Exclude,Diff,P100,CS,0
P100_HighVsLow,Day13,14____,Exclude,Diff,P100,LP,0
P100_HighVsLow,Day13,14____,Exclude,PercDiff,P100,LP,NA
P100_HighVsLow,Day13,16____,Exclude,High,P100,CS,7
P100_HighVsLow,Day13,16____,Exclude,Low,P100,CS,0
P100_HighVsLow,Day13,16____,Exclude,High,P100,LP,19
P100_HighVsLow,Day13,16____,Exclude,Low,P100,LP,2
P100_HighVsLow,Day13,16____,Exclude,Diff,P100,CS,7
P100_HighVsLow,Day13,16____,Exclude,Diff,P100,LP,17
P100_HighVsLow,Day13,16____,Exclude,PercDiff,P100,LP,80.95238095238095
P100_HighVsLow,Day13,34____,Exclude,High,P100,CS,10
P100_HighVsLow,Day13,34____,Exclude,Low,P100,CS,0
P100_HighVsLow,Day13,34____,Exclude,High,P100,LP,24
P100_HighVsLow,Day13,34____,Exclude,Low,P100,LP,0
P100_HighVsLow,Day13,34____,Exclude,Diff,P100,CS,10
P100_HighVsLow,Day13,34____,Exclude,Diff,P100,LP,24
P100_HighVsLow,Day13,34____,Exclude,PercDiff,P100,LP,100
P100_HighVsLow,Day13,36____,Exclude,High,P100,CS,0
P100_HighVsLow,Day13,36____,Exclude,Low,P100,CS,0
P100_HighVsLow,Day13,36____,Exclude,High,P100,LP,0
P100_HighVsLow,Day13,36____,Exclude,Low,P100,LP,0
P100_HighVsLow,Day13,36____,Exclude,Diff,P100,CS,0
P100_HighVsLow,Day13,36____,Exclude,Diff,P100,LP,0
P100_HighVsLow,Day13,36____,Exclude,PercDiff,P100,LP,NA
P100_HighVsLow,Day13,38____,Keep,High,P100,CS,3
P100_HighVsLow,Day13,38____,Keep,Low,P100,CS,17
P100_HighVsLow,Day13,38____,Keep,High,P100,LP,7
P100_HighVsLow,Day13,38____,Keep,Low,P100,LP,40
P100_HighVsLow,Day13,38____,Keep,Diff,P100,CS,-14
P100_HighVsLow,Day13,38____,Keep,Diff,P100,LP,-33
P100_HighVsLow,Day13,38____,Keep,PercDiff,P100,LP,-70.2127659574468
P100_HighVsLow,Day13,40____,Keep,High,P100,CS,10
P100_HighVsLow,Day13,40____,Keep,Low,P100,CS,34
P100_HighVsLow,Day13,40____,Keep,High,P100,LP,25
P100_HighVsLow,Day13,40____,Keep,Low,P100,LP,91
P100_HighVsLow,Day13,40____,Keep,Diff,P100,CS,-24
P100_HighVsLow,Day13,40____,Keep,Diff,P100,LP,-66
P100_HighVsLow,Day13,40____,Keep,PercDiff,P100,LP,-56.89655172413793
P100_HighVsLow,Day13,9_____,Keep,High,P100,CS,29
P100_HighVsLow,Day13,9_____,Keep,Low,P100,CS,2
P100_HighVsLow,Day13,9_____,Keep,High,P100,LP,97
P100_HighVsLow,Day13,9_____,Keep,Low,P100,LP,9
P100_HighVsLow,Day13,9_____,Keep,Diff,P100,CS,27
P100_HighVsLow,Day13,9_____,Keep,Diff,P100,LP,88
P100_HighVsLow,Day13,9_____,Keep,PercDiff,P100,LP,83.01886792452831
P100_HighVsLow,Day16,10____,Exclude,High,P100,CS,0
P100_HighVsLow,Day16,10____,Exclude,Low,P100,CS,1
P100_HighVsLow,Day16,10____,Exclude,High,P100,LP,0
P100_HighVsLow,Day16,10____,Exclude,Low,P100,LP,2
P100_HighVsLow,Day16,10____,Exclude,Diff,P100,CS,-1
P100_HighVsLow,Day16,10____,Exclude,Diff,P100,LP,-2
P100_HighVsLow,Day16,10____,Exclude,PercDiff,P100,LP,-100
P100_HighVsLow,Day16,12____,Exclude,High,P100,CS,0
