Stage,Day,subject,probability,magnitude,sex,CS_name,Period,MagEntries,MagDuration
1.Acquisition,1,10____,50,High,F,A++--,CS,2,2.5049999999999386
1.Acquisition,1,10____,50,High,F,A++--,Post,1,3.9600000000000075
1.Acquisition,1,10____,50,High,F,A++--,Pre,0.5,0.875000000000057
1.Acquisition,1,10____,50,High,F,A++--,CSPre,1.5,1.6299999999998818
1.Acquisition,1,10____,50,Low,F,B+-,CS,1.5,2.61500000000018
1.Acquisition,1,10____,50,Low,F,B+-,Post,0.75,0.5849999999999794
1.Acquisition,1,10____,50,Low,F,B+-,Pre,1.25,1.1250000000000857
1.Acquisition,1,10____,50,Low,F,B+-,CSPre,0.25,1.4900000000000944
1.Acquisition,1,10____,100,High,F,C++,CS,2,2.500000000000057
1.Acquisition,1,10____,100,High,F,C++,Post,0.75,4.77000000000001
1.Acquisition,1,10____,100,High,F,C++,Pre,1,0.37000000000011823
1.Acquisition,1,10____,100,High,F,C++,CSPre,1,2.1299999999999386
1.Acquisition,1,10____,100,Low,F,D+,CS,0.5,0.9199999999999591
1.Acquisition,1,10____,100,Low,F,D+,Post,0,0.16500000000002046
1.Acquisition,1,10____,100,Low,F,D+,Pre,2.5,2.54000000000002
1.Acquisition,1,10____,100,Low,F,D+,CSPre,-2,-1.620000000000061
1.Acquisition,1,11____,50,High,F,A++--,CS,0.5,1.3850000000000193
1.Acquisition,1,11____,50,High,F,A++--,Post,1.75,6.539999999999964
1.Acquisition,1,11____,50,High,F,A++--,Pre,2.5,2.4350000000000023
1.Acquisition,1,11____,50,High,F,A++--,CSPre,-2,-1.049999999999983
1.Acquisition,1,11____,50,Low,F,B+-,CS,1,4.32000000000005
1.Acquisition,1,11____,50,Low,F,B+-,Post,0.75,6.275000000000148
1.Acquisition,1,11____,50,Low,F,B+-,Pre,0.75,2.794999999999959
1.Acquisition,1,11____,50,Low,F,B+-,CSPre,0.25,1.525000000000091
1.Acquisition,1,11____,100,High,F,C++,CS,0.75,5.039999999999964
1.Acquisition,1,11____,100,High,F,C++,Post,0.75,9.370000000000005
