Stage,Day,subject,probability,magnitude,sex,CS_name,Period,MagEntries,MagDuration
1.Acquisition,1,10____,50,High,F,A++--,CS,1.5,0.9800000000000181
1.Acquisition,1,10____,50,High,F,A++--,Post,0.5,1.3150000000000828
1.Acquisition,1,10____,50,High,F,A++--,Pre,0.5,0.1550000000000297
1.Acquisition,1,10____,50,High,F,A++--,CSPre,1,0.8249999999999884
1.Acquisition,1,10____,50,Low,F,B+-,CS,0.5,1.610000000000127
1.Acquisition,1,10____,50,Low,F,B+-,Post,0.25,0.1050000000000182
1.Acquisition,1,10____,50,Low,F,B+-,Pre,1,0.8650000000000947
1.Acquisition,1,10____,50,Low,F,B+-,CSPre,-0.5,0.7450000000000324
1.Acquisition,1,10____,100,High,F,C++,CS,0.5,1.4299999999999495
1.Acquisition,1,10____,100,High,F,C++,Post,0,2.5
1.Acquisition,1,10____,100,High,F,C++,Pre,0.25,0.17000000000007276
1.Acquisition,1,10____,100,High,F,C++,CSPre,0.25,1.2599999999998768
1.Acquisition,1,10____,100,Low,F,D+,CS,0.25,0.3349999999999795
1.Acquisition,1,10____,100,Low,F,D+,Post,0,0
1.Acquisition,1,10____,100,Low,F,D+,Pre,1.25,1.3100000000000023
1.Acquisition,1,10____,100,Low,F,D+,CSPre,-1,-0.9750000000000227
1.Acquisition,1,11____,50,High,F,A++--,CS,0.25,0.2900000000000205
1.Acquisition,1,11____,50,High,F,A++--,Post,1,3.4249999999999545
1.Acquisition,1,11____,50,High,F,A++--,Pre,0.25,1.1299999999999955
1.Acquisition,1,11____,50,High,F,A++--,CSPre,0,-0.839999999999975
1.Acquisition,1,11____,50,Low,F,B+-,CS,0.25,2.6499999999999773
1.Acquisition,1,11____,50,Low,F,B+-,Post,0.5,2.8400000000001455
1.Acquisition,1,11____,50,Low,F,B+-,Pre,0.25,1.7699999999999818
1.Acquisition,1,11____,50,Low,F,B+-,CSPre,0,0.8799999999999955
1.Acquisition,1,11____,100,High,F,C++,CS,0,2.044999999999959
1.Acquisition,1,11____,100,High,F,C++,Post,0,4.814999999999998
1.Acquisition,1,11____,100,High,F,C++,Pre,0.75,1.170000000000016
1.Acquisition,1,11____,100,High,F,C++,CSPre,-0.75,0.8749999999999432
1.Acquisition,1,11____,100,Low,F,D+,CS,1,2.9949999999998904
1.Acquisition,1,11____,100,Low,F,D+,Post,0.25,2.509999999999991
1.Acquisition,1,11____,100,Low,F,D+,Pre,0.25,0.2999999999999544
1.Acquisition,1,11____,100,Low,F,D+,CSPre,0.75,2.694999999999936
1.Acquisition,1,12____,50,High,F,A++--,CS,0.5,0.7549999999999955
1.Acquisition,1,12____,50,High,F,A++--,Post,0.25,0.4249999999999546
1.Acquisition,1,12____,50,High,F,A++--,Pre,0,0.43000000000000677
1.Acquisition,1,12____,50,High,F,A++--,CSPre,0.5,0.3249999999999887
1.Acquisition,1,12____,50,Low,F,B+-,CS,0,0
1.Acquisition,1,12____,50,Low,F,B+-,Post,0.5,0.3099999999999455
1.Acquisition,1,12____,50,Low,F,B+-,Pre,0.75,0.5250000000000627
1.Acquisition,1,12____,50,Low,F,B+-,CSPre,-0.75,-0.5250000000000627
1.Acquisition,1,12____,100,High,F,C++,CS,0,0
1.Acquisition,1,12____,100,High,F,C++,Post,1.75,1.41500000000002
1.Acquisition,1,12____,100,High,F,C++,Pre,0,0
1.Acquisition,1,12____,100,High,F,C++,CSPre,0,0
1.Acquisition,1,12____,100,Low,F,D+,CS,0,0
1.Acquisition,1,12____,100,Low,F,D+,Post,0,0.6949999999999933
1.Acquisition,1,12____,100,Low,F,D+,Pre,0,0
1.Acquisition,1,12____,100,Low,F,D+,CSPre,0,0
1.Acquisition,1,13____,50,High,F,A++--,CS,0,0
1.Acquisition,1,13____,50,High,F,A++--,Post,0.5,1.2949999999999733
1.Acquisition,1,13____,50,High,F,A++--,Pre,0,0
1.Acquisition,1,13____,50,High,F,A++--,CSPre,0,0
1.Acquisition,1,13____,50,Low,F,B+-,CS,0,0
1.Acquisition,1,13____,50,Low,F,B+-,Post,0,0
1.Acquisition,1,13____,50,Low,F,B+-,Pre,0.5,0.474999999999966
1.Acquisition,1,13____,50,Low,F,B+-,CSPre,-0.5,-0.474999999999966
1.Acquisition,1,13____,100,High,F,C++,CS,0,0
1.Acquisition,1,13____,100,High,F,C++,Post,0.25,1.4050000000000722
1.Acquisition,1,13____,100,High,F,C++,Pre,0,0
1.Acquisition,1,13____,100,High,F,C++,CSPre,0,0
1.Acquisition,1,13____,100,Low,F,D+,CS,0,0
1.Acquisition,1,13____,100,Low,F,D+,Post,0,0
1.Acquisition,1,13____,100,Low,F,D+,Pre,0,0
1.Acquisition,1,13____,100,Low,F,D+,CSPre,0,0
1.Acquisition,1,14____,50,High,F,A++--,CS,0.75,1.2549999999999955
1.Acquisition,1,14____,50,High,F,A++--,Post,1.5,3.2549999999999386
1.Acquisition,1,14____,50,High,F,A++--,Pre,0.25,0.2699999999999534
1.Acquisition,1,14____,50,High,F,A++--,CSPre,0.5,0.9850000000000421
1.Acquisition,1,14____,50,Low,F,B+-,CS,0.25,0.0099999999999909
1.Acquisition,1,14____,50,Low,F,B+-,Post,0.5,1.7250000000001364
1.Acquisition,1,14____,50,Low,F,B+-,Pre,0.25,0.48499999999999954
1.Acquisition,1,14____,50,Low,F,B+-,CSPre,0,-0.47500000000000864
1.Acquisition,1,14____,100,High,F,C++,CS,0.25,1.3699999999999761
1.Acquisition,1,14____,100,High,F,C++,Post,1.25,2.0299999999999443
1.Acquisition,1,14____,100,High,F,C++,Pre,0.75,1.080000000000041
1.Acquisition,1,14____,100,High,F,C++,CSPre,-0.5,0.2899999999999352
1.Acquisition,1,14____,100,Low,F,D+,CS,1.5,1.3200000000001921
1.Acquisition,1,14____,100,Low,F,D+,Post,1.5,1.4499999999999889
1.Acquisition,1,14____,100,Low,F,D+,Pre,0.5,1.9949999999999477
1.Acquisition,1,14____,100,Low,F,D+,CSPre,1,-0.6749999999997556
1.Acquisition,1,15____,50,High,F,A++--,CS,0,0
1.Acquisition,1,15____,50,High,F,A++--,Post,0.75,2.454999999999984
1.Acquisition,1,15____,50,High,F,A++--,Pre,0.5,0.8349999999998657
1.Acquisition,1,15____,50,High,F,A++--,CSPre,-0.5,-0.8349999999998657
1.Acquisition,1,15____,50,Low,F,B+-,CS,0.5,0.25
1.Acquisition,1,15____,50,Low,F,B+-,Post,0.25,1.4850000000000065
1.Acquisition,1,15____,50,Low,F,B+-,Pre,0.5,0.16499999999985
1.Acquisition,1,15____,50,Low,F,B+-,CSPre,0,0.08500000000015001
1.Acquisition,1,15____,100,High,F,C++,CS,0.75,0.4300000000000639
1.Acquisition,1,15____,100,High,F,C++,Post,1.75,1.4049999999999727
1.Acquisition,1,15____,100,High,F,C++,Pre,0,0
1.Acquisition,1,15____,100,High,F,C++,CSPre,0.75,0.4300000000000639
1.Acquisition,1,15____,100,Low,F,D+,CS,0.25,1
1.Acquisition,1,15____,100,Low,F,D+,Post,0.5,0.9099999999999682
1.Acquisition,1,15____,100,Low,F,D+,Pre,0.25,1.4350000000000591
1.Acquisition,1,15____,100,Low,F,D+,CSPre,0,-0.4350000000000591
1.Acquisition,1,16____,50,High,F,A++--,CS,0,0
1.Acquisition,1,16____,50,High,F,A++--,Post,0,0
1.Acquisition,1,16____,50,High,F,A++--,Pre,0,0
1.Acquisition,1,16____,50,High,F,A++--,CSPre,0,0
1.Acquisition,1,16____,50,Low,F,B+-,CS,0,0
1.Acquisition,1,16____,50,Low,F,B+-,Post,0,0
1.Acquisition,1,16____,50,Low,F,B+-,Pre,0.25,0.15500000000000125
1.Acquisition,1,16____,50,Low,F,B+-,CSPre,-0.25,-0.15500000000000125
1.Acquisition,1,16____,100,High,F,C++,CS,0,0
1.Acquisition,1,16____,100,High,F,C++,Post,0,0
1.Acquisition,1,16____,100,High,F,C++,Pre,0.75,0.08499999999992275
1.Acquisition,1,16____,100,High,F,C++,CSPre,-0.75,-0.08499999999992275
1.Acquisition,1,16____,100,Low,F,D+,CS,0,0
1.Acquisition,1,16____,100,Low,F,D+,Post,0,0
1.Acquisition,1,16____,100,Low,F,D+,Pre,0,1.0550000000000068
1.Acquisition,1,16____,100,Low,F,D+,CSPre,0,-1.0550000000000068
1.Acquisition,1,34____,50,High,M,A++--,CS,0.75,1.4600000000000366
1.Acquisition,1,34____,50,High,M,A++--,Post,0.5,3.3150000000000546
1.Acquisition,1,34____,50,High,M,A++--,Pre,0,0.1750000000000115
1.Acquisition,1,34____,50,High,M,A++--,CSPre,0.75,1.285000000000025
1.Acquisition,1,34____,50,Low,M,B+-,CS,1.25,2.0850000000000364
1.Acquisition,1,34____,50,Low,M,B+-,Post,0.25,2.7549999999998818
1.Acquisition,1,34____,50,Low,M,B+-,Pre,0.25,0.15499999999997274
1.Acquisition,1,34____,50,Low,M,B+-,CSPre,1,1.9300000000000637
1.Acquisition,1,34____,100,High,M,C++,CS,0,0
1.Acquisition,1,34____,100,High,M,C++,Post,5,3.1650000000000205
1.Acquisition,1,34____,100,High,M,C++,Pre,0.25,0.8049999999999501
1.Acquisition,1,34____,100,High,M,C++,CSPre,-0.25,-0.8049999999999501
1.Acquisition,1,34____,100,Low,M,D+,CS,0.25,1.5199999999999818
1.Acquisition,1,34____,100,Low,M,D+,Post,1.25,2.599999999999909
1.Acquisition,1,34____,100,Low,M,D+,Pre,0.75,0.5500000000000825
1.Acquisition,1,34____,100,Low,M,D+,CSPre,-0.5,0.9699999999998993
1.Acquisition,1,35____,50,High,M,A++--,CS,0,0
1.Acquisition,1,35____,50,High,M,A++--,Post,0,0
1.Acquisition,1,35____,50,High,M,A++--,Pre,0,0
1.Acquisition,1,35____,50,High,M,A++--,CSPre,0,0
1.Acquisition,1,35____,50,Low,M,B+-,CS,0,0
1.Acquisition,1,35____,50,Low,M,B+-,Post,0.25,0.044999999999959
1.Acquisition,1,35____,50,Low,M,B+-,Pre,1.75,0.545000000000073
1.Acquisition,1,35____,50,Low,M,B+-,CSPre,-1.75,-0.545000000000073
1.Acquisition,1,35____,100,High,M,C++,CS,0,0
1.Acquisition,1,35____,100,High,M,C++,Post,0.25,0.5149999999999864
1.Acquisition,1,35____,100,High,M,C++,Pre,0,0
1.Acquisition,1,35____,100,High,M,C++,CSPre,0,0
1.Acquisition,1,35____,100,Low,M,D+,CS,0.25,0.269999999999982
1.Acquisition,1,35____,100,Low,M,D+,Post,0.75,1.405000000000058
1.Acquisition,1,35____,100,Low,M,D+,Pre,0.25,0.134999999999991
1.Acquisition,1,35____,100,Low,M,D+,CSPre,0,0.134999999999991
1.Acquisition,1,36____,50,High,M,A++--,CS,0.25,1.2350000000000136
1.Acquisition,1,36____,50,High,M,A++--,Post,0,2.1299999999999955
1.Acquisition,1,36____,50,High,M,A++--,Pre,1,0.625
1.Acquisition,1,36____,50,High,M,A++--,CSPre,-0.75,0.6100000000000136
1.Acquisition,1,36____,50,Low,M,B+-,CS,0.5,0.8699999999999477
1.Acquisition,1,36____,50,Low,M,B+-,Post,0,1.3550000000000182
1.Acquisition,1,36____,50,Low,M,B+-,Pre,0,0
1.Acquisition,1,36____,50,Low,M,B+-,CSPre,0.5,0.8699999999999477
1.Acquisition,1,36____,100,High,M,C++,CS,0,0
1.Acquisition,1,36____,100,High,M,C++,Post,0.5,2.375
1.Acquisition,1,36____,100,High,M,C++,Pre,0.5,0.21000000000000807
1.Acquisition,1,36____,100,High,M,C++,CSPre,-0.5,-0.21000000000000807
1.Acquisition,1,36____,100,Low,M,D+,CS,0,0
1.Acquisition,1,36____,100,Low,M,D+,Post,0,0
1.Acquisition,1,36____,100,Low,M,D+,Pre,0,0
1.Acquisition,1,36____,100,Low,M,D+,CSPre,0,0
1.Acquisition,1,37____,50,High,M,A++--,CS,0,0
1.Acquisition,1,37____,50,High,M,A++--,Post,0,0
1.Acquisition,1,37____,50,High,M,A++--,Pre,0,0
1.Acquisition,1,37____,50,High,M,A++--,CSPre,0,0
1.Acquisition,1,37____,50,Low,M,B+-,CS,0.5,0.9499999999999887
1.Acquisition,1,37____,50,Low,M,B+-,Post,0.25,1.5849999999999795
1.Acquisition,1,37____,50,Low,M,B+-,Pre,0,0
1.Acquisition,1,37____,50,Low,M,B+-,CSPre,0.5,0.9499999999999887
1.Acquisition,1,37____,100,High,M,C++,CS,0,0
1.Acquisition,1,37____,100,High,M,C++,Post,0.25,1.2450000000000045
1.Acquisition,1,37____,100,High,M,C++,Pre,0,0
1.Acquisition,1,37____,100,High,M,C++,CSPre,0,0
1.Acquisition,1,37____,100,Low,M,D+,CS,0.5,1.2350000000000139
1.Acquisition,1,37____,100,Low,M,D+,Post,0,1.25
1.Acquisition,1,37____,100,Low,M,D+,Pre,0.25,0.22999999999999
1.Acquisition,1,37____,100,Low,M,D+,CSPre,0.25,1.0050000000000239
1.Acquisition,1,38____,50,High,M,A++--,CS,0.5,0.44499999999999323
1.Acquisition,1,38____,50,High,M,A++--,Post,0,1.9049999999999727
1.Acquisition,1,38____,50,High,M,A++--,Pre,0.75,0.4950000000000615
1.Acquisition,1,38____,50,High,M,A++--,CSPre,-0.25,-0.05000000000006827
1.Acquisition,1,38____,50,Low,M,B+-,CS,0.75,0.38499999999999096
1.Acquisition,1,38____,50,Low,M,B+-,Post,1.25,2.080000000000041
1.Acquisition,1,38____,50,Low,M,B+-,Pre,0.25,0.30499999999995
1.Acquisition,1,38____,50,Low,M,B+-,CSPre,0.5,0.08000000000004098
1.Acquisition,1,38____,100,High,M,C++,CS,0,1.25
1.Acquisition,1,38____,100,High,M,C++,Post,1.5,1.6000000000001366
1.Acquisition,1,38____,100,High,M,C++,Pre,1.5,0.4150000000000207
1.Acquisition,1,38____,100,High,M,C++,CSPre,-1.5,0.8349999999999793
1.Acquisition,1,38____,100,Low,M,D+,CS,0,0.26499999999998636
1.Acquisition,1,38____,100,Low,M,D+,Post,3,3.2599999999999345
1.Acquisition,1,38____,100,Low,M,D+,Pre,0,1.25
1.Acquisition,1,38____,100,Low,M,D+,CSPre,0,-0.9850000000000136
1.Acquisition,1,39____,50,High,M,A++--,CS,0,2.4700000000000273
1.Acquisition,1,39____,50,High,M,A++--,Post,0.25,2.4399999999999977
1.Acquisition,1,39____,50,High,M,A++--,Pre,0.25,0.3199999999999362
1.Acquisition,1,39____,50,High,M,A++--,CSPre,-0.25,2.150000000000091
1.Acquisition,1,39____,50,Low,M,B+-,CS,1,1.9399999999999975
1.Acquisition,1,39____,50,Low,M,B+-,Post,0.25,2.8750000000000004
1.Acquisition,1,39____,50,Low,M,B+-,Pre,0.25,0.115000000000009
1.Acquisition,1,39____,50,Low,M,B+-,CSPre,0.75,1.8249999999999884
1.Acquisition,1,39____,100,High,M,C++,CS,0,0.1299999999999955
1.Acquisition,1,39____,100,High,M,C++,Post,1.5,3.2100000000000084
1.Acquisition,1,39____,100,High,M,C++,Pre,0.5,0.7350000000000421
1.Acquisition,1,39____,100,High,M,C++,CSPre,-0.5,-0.6050000000000466
1.Acquisition,1,39____,100,Low,M,D+,CS,0,0.7749999999999773
1.Acquisition,1,39____,100,Low,M,D+,Post,0.25,2.0499999999999545
1.Acquisition,1,39____,100,Low,M,D+,Pre,0,0
1.Acquisition,1,39____,100,Low,M,D+,CSPre,0,0.7749999999999773
1.Acquisition,1,40____,50,High,M,A++--,CS,0,1.25
1.Acquisition,1,40____,50,High,M,A++--,Post,3.75,1.0899999999999181
1.Acquisition,1,40____,50,High,M,A++--,Pre,0.75,1.6949999999999645
1.Acquisition,1,40____,50,High,M,A++--,CSPre,-0.75,-0.44499999999996454
1.Acquisition,1,40____,50,Low,M,B+-,CS,0.25,0.8049999999999501
1.Acquisition,1,40____,50,Low,M,B+-,Post,2,2.9599999999999795
1.Acquisition,1,40____,50,Low,M,B+-,Pre,1.25,0.7399999999999807
1.Acquisition,1,40____,50,Low,M,B+-,CSPre,-1,0.06499999999996942
1.Acquisition,1,40____,100,High,M,C++,CS,1.25,1.5849999999999584
1.Acquisition,1,40____,100,High,M,C++,Post,0.25,3.199999999999932
1.Acquisition,1,40____,100,High,M,C++,Pre,0.25,0.5650000000000548
