Day,subject,sex,CS_name,Period,MagEntries,MagDuration
1,10____,F,A-,CS,0.16666666666666666,0.07333333333334249
1,10____,F,A-,Post,1.3333333333333333,0.7200000000000178
1,10____,F,A-,Pre,0.3333333333333333,0.14999999999993932
1,10____,F,A-,CSPre,-0.16666666666666666,-0.07666666666659683
1,10____,F,A+,CS,0.5,0.1766666666666955
1,10____,F,A+,Post,1.8333333333333333,2.783333333333446
1,10____,F,A+,Pre,0.5,0.9099999999999873
1,10____,F,A+,CSPre,0,-0.7333333333332918
1,10____,F,B-,CS,0.3333333333333333,0.07333333333327621
1,10____,F,B-,Post,0.5,0.09999999999994702
1,10____,F,B-,Pre,0.16666666666666666,1.0833333333333524
1,10____,F,B-,CSPre,0.16666666666666666,-1.0100000000000762
1,10____,F,B+,CS,0.6666666666666666,0.2799999999999917
1,10____,F,B+,Post,2.166666666666667,3.7933333333334174
1,10____,F,B+,Pre,0,0.8333333333333333
1,10____,F,B+,CSPre,0.6666666666666666,-0.5533333333333416
1,11____,F,A-,CS,0.6666666666666666,0.6733333333334033
1,11____,F,A-,Post,0.6666666666666666,0.490000000000047
1,11____,F,A-,Pre,0.3333333333333333,0.07333333333336138
1,11____,F,A-,CSPre,0.3333333333333333,0.6000000000000419
1,11____,F,A+,CS,0.3333333333333333,0.35666666666664537
1,11____,F,A+,Post,0.5,4.386666666666694
1,11____,F,A+,Pre,1.3333333333333333,1.7800000000000205
1,11____,F,A+,CSPre,-1,-1.423333333333375
1,11____,F,B-,CS,0.6666666666666666,0.623333333333259
1,11____,F,B-,Post,0.6666666666666666,0.7566666666665658
1,11____,F,B-,Pre,0.6666666666666666,1.9499999999999886
1,11____,F,B-,CSPre,0,-1.3266666666667297
1,11____,F,B+,CS,0.3333333333333333,0.28000000000012437
1,11____,F,B+,Post,0.16666666666666666,5
1,11____,F,B+,Pre,0,1.033333333333379
1,11____,F,B+,CSPre,0.3333333333333333,-0.7533333333332546
1,12____,F,A-,CS,0,0
1,12____,F,A-,Post,1.1666666666666667,0.906666666666638
1,12____,F,A-,Pre,0.5,0.4933333333333395
1,12____,F,A-,CSPre,-0.5,-0.4933333333333395
1,12____,F,A+,CS,0.16666666666666666,0.19000000000001666
1,12____,F,A+,Post,1.5,1.7066666666666492
1,12____,F,A+,Pre,0.5,0.2333333333333581
1,12____,F,A+,CSPre,-0.33333333333333337,-0.04333333333334144
1,12____,F,B-,CS,0,0
1,12____,F,B-,Post,1.6666666666666665,2.1066666666666456
1,12____,F,B-,Pre,0.6666666666666666,1.0266666666666995
1,12____,F,B-,CSPre,-0.6666666666666666,-1.0266666666666995
1,12____,F,B+,CS,0,0
1,12____,F,B+,Post,1.3333333333333333,1.30000000000003
1,12____,F,B+,Pre,0.6666666666666666,2.0700000000000216
1,12____,F,B+,CSPre,-0.6666666666666666,-2.0700000000000216
1,13____,F,A-,CS,0.5,0.34333333333332433
1,13____,F,A-,Post,0.6666666666666666,0.8433333333333054
1,13____,F,A-,Pre,0.6666666666666666,0.2533333333333492
1,13____,F,A-,CSPre,-0.16666666666666663,0.08999999999997516
1,13____,F,A+,CS,0.6666666666666666,0.37666666666662735
1,13____,F,A+,Post,0.3333333333333333,3.7733333333333308
1,13____,F,A+,Pre,1.5,0.8300000000000975
1,13____,F,A+,CSPre,-0.8333333333333334,-0.4533333333334702
1,13____,F,B-,CS,0.3333333333333333,0.2966666666666622
1,13____,F,B-,Post,0.5,1.0466666666666622
1,13____,F,B-,Pre,1,0.4066666666666375
1,13____,F,B-,CSPre,-0.6666666666666667,-0.10999999999997528
1,13____,F,B+,CS,0.16666666666666666,0.11666666666667434
1,13____,F,B+,Post,0.6666666666666666,3.9033333333333076
1,13____,F,B+,Pre,0.5,0.6066666666666833
1,13____,F,B+,CSPre,-0.33333333333333337,-0.490000000000009
1,14____,F,A-,CS,0,0
1,14____,F,A-,Post,1.3333333333333333,1.1066666666666074
1,14____,F,A-,Pre,0.6666666666666666,0.5199999999999818
1,14____,F,A-,CSPre,-0.6666666666666666,-0.5199999999999818
1,14____,F,A+,CS,0,0
1,14____,F,A+,Post,2,2.270000000000015
1,14____,F,A+,Pre,0.3333333333333333,0.18666666666666734
1,14____,F,A+,CSPre,-0.3333333333333333,-0.18666666666666734
1,14____,F,B-,CS,0.16666666666666666,0.08999999999999383
1,14____,F,B-,Post,1,0.9133333333332984
1,14____,F,B-,Pre,0.3333333333333333,0.4833333333333107
1,14____,F,B-,CSPre,-0.16666666666666666,-0.3933333333333169
1,14____,F,B+,CS,0.16666666666666666,0.08666666666666366
1,14____,F,B+,Post,1.5,1.763333333333359
1,14____,F,B+,Pre,0.3333333333333333,1.266666666666699
1,14____,F,B+,CSPre,-0.16666666666666666,-1.1800000000000355
1,15____,F,A-,CS,1.1666666666666667,1.9833333333333862
1,15____,F,A-,Post,0.3333333333333333,1.223333333333206
1,15____,F,A-,Pre,0.3333333333333333,1.0366666666666902
1,15____,F,A-,CSPre,0.8333333333333335,0.9466666666666961
1,15____,F,A+,CS,0.5,2.0799999999999654
1,15____,F,A+,Post,2.3333333333333335,4.246666666666849
1,15____,F,A+,Pre,0.16666666666666666,1.3066666666667004
1,15____,F,A+,CSPre,0.33333333333333337,0.773333333333265
1,15____,F,B-,CS,0.6666666666666666,0.9866666666667165
1,15____,F,B-,Post,1.5,2.7633333333332737
1,15____,F,B-,Pre,0.5,1.0266666666666615
1,15____,F,B-,CSPre,0.16666666666666663,-0.03999999999994497
1,15____,F,B+,CS,0.5,0.6566666666666379
1,15____,F,B+,Post,0.6666666666666666,3.606666666666669
1,15____,F,B+,Pre,0.5,1.4333333333333371
1,15____,F,B+,CSPre,0,-0.7766666666666993
1,16____,F,A-,CS,0,0
1,16____,F,A-,Post,0.8333333333333333,1.646666666666704
1,16____,F,A-,Pre,0.5,0.37666666666666504
1,16____,F,A-,CSPre,-0.5,-0.37666666666666504
1,16____,F,A+,CS,0,0
1,16____,F,A+,Post,1.3333333333333333,0.923333333333384
1,16____,F,A+,Pre,0.8333333333333333,1.0500000000000493
1,16____,F,A+,CSPre,-0.8333333333333333,-1.0500000000000493
1,16____,F,B-,CS,0.16666666666666666,0.06666666666668183
1,16____,F,B-,Post,1.5,1.293333333333294
1,16____,F,B-,Pre,0.6666666666666666,1.0133333333333592
1,16____,F,B-,CSPre,-0.5,-0.9466666666666773
1,16____,F,B+,CS,0,0
1,16____,F,B+,Post,1.1666666666666667,0.8933333333333924
1,16____,F,B+,Pre,0.3333333333333333,0.2833333333333408
