TestCondition,protocol,subject,ID_Comparison,ExcludeSubject,Value,Probability,measure,Freq
P100_HighVsLow,63,11____,Click_Noise,Keep,High,P100,CS,3
P100_HighVsLow,63,11____,Click_Noise,Keep,Low,P100,CS,5
P100_HighVsLow,63,11____,Click_Noise,Keep,High,P100,LP,6
P100_HighVsLow,63,11____,Click_Noise,Keep,Low,P100,LP,11
P100_HighVsLow,63,11____,Click_Noise,Keep,Diff,P100,CS,-2
P100_HighVsLow,63,11____,Click_Noise,Keep,Diff,P100,LP,-5
P100_HighVsLow,63,11____,Click_Noise,Keep,PercDiff,P100,LP,-29.41176470588235
P100_HighVsLow,63,36____,Click_Noise,Exclude,High,P100,CS,16
P100_HighVsLow,63,36____,Click_Noise,Exclude,Low,P100,CS,0
P100_HighVsLow,63,36____,Click_Noise,Exclude,High,P100,LP,36
P100_HighVsLow,63,36____,Click_Noise,Exclude,Low,P100,LP,1
P100_HighVsLow,63,36____,Click_Noise,Exclude,Diff,P100,CS,16
P100_HighVsLow,63,36____,Click_Noise,Exclude,Diff,P100,LP,35
P100_HighVsLow,63,36____,Click_Noise,Exclude,PercDiff,P100,LP,94.5945945945946
P100_HighVsLow,64,15____,Click_Noise,Keep,High,P100,CS,2
P100_HighVsLow,64,15____,Click_Noise,Keep,Low,P100,CS,3
P100_HighVsLow,64,15____,Click_Noise,Keep,High,P100,LP,6
P100_HighVsLow,64,15____,Click_Noise,Keep,Low,P100,LP,9
P100_HighVsLow,64,15____,Click_Noise,Keep,Diff,P100,CS,-1
P100_HighVsLow,64,15____,Click_Noise,Keep,Diff,P100,LP,-3
P100_HighVsLow,64,15____,Click_Noise,Keep,PercDiff,P100,LP,-20
P100_HighVsLow,64,40____,Click_Noise,Keep,High,P100,CS,21
P100_HighVsLow,64,40____,Click_Noise,Keep,Low,P100,CS,28
P100_HighVsLow,64,40____,Click_Noise,Keep,High,P100,LP,63
P100_HighVsLow,64,40____,Click_Noise,Keep,Low,P100,LP,110
P100_HighVsLow,64,40____,Click_Noise,Keep,Diff,P100,CS,-7
P100_HighVsLow,64,40____,Click_Noise,Keep,Diff,P100,LP,-47
P100_HighVsLow,64,40____,Click_Noise,Keep,PercDiff,P100,LP,-27.167630057803468
P100_HighVsLow,67,12____,Siren_Click,Exclude,High,P100,CS,3
P100_HighVsLow,67,12____,Siren_Click,Exclude,Low,P100,CS,0
P100_HighVsLow,67,12____,Siren_Click,Exclude,High,P100,LP,6
P100_HighVsLow,67,12____,Siren_Click,Exclude,Low,P100,LP,0
P100_HighVsLow,67,12____,Siren_Click,Exclude,Diff,P100,CS,3
P100_HighVsLow,67,12____,Siren_Click,Exclude,Diff,P100,LP,6
P100_HighVsLow,67,12____,Siren_Click,Exclude,PercDiff,P100,LP,100
P100_HighVsLow,68,16____,Siren_Click,Exclude,High,P100,CS,0
P100_HighVsLow,68,16____,Siren_Click,Exclude,Low,P100,CS,0
P100_HighVsLow,68,16____,Siren_Click,Exclude,High,P100,LP,0
P100_HighVsLow,68,16____,Siren_Click,Exclude,Low,P100,LP,0
P100_HighVsLow,68,16____,Siren_Click,Exclude,Diff,P100,CS,0
P100_HighVsLow,68,16____,Siren_Click,Exclude,Diff,P100,LP,0
P100_HighVsLow,68,16____,Siren_Click,Exclude,PercDiff,P100,LP,NA
P100_HighVsLow,68,41____,Siren_Click,Keep,High,P100,CS,47
P100_HighVsLow,68,41____,Siren_Click,Keep,Low,P100,CS,7
P100_HighVsLow,68,41____,Siren_Click,Keep,High,P100,LP,119
P100_HighVsLow,68,41____,Siren_Click,Keep,Low,P100,LP,23
P100_HighVsLow,68,41____,Siren_Click,Keep,Diff,P100,CS,40
P100_HighVsLow,68,41____,Siren_Click,Keep,Diff,P100,LP,96
P100_HighVsLow,68,41____,Siren_Click,Keep,PercDiff,P100,LP,67.6056338028169
P100_HighVsLow,69,14____,Noise_Tone,Keep,High,P100,CS,3
P100_HighVsLow,69,14____,Noise_Tone,Keep,Low,P100,CS,3
P100_HighVsLow,69,14____,Noise_Tone,Keep,High,P100,LP,8
P100_HighVsLow,69,14____,Noise_Tone,Keep,Low,P100,LP,8
P100_HighVsLow,69,14____,Noise_Tone,Keep,Diff,P100,CS,0
P100_HighVsLow,69,14____,Noise_Tone,Keep,Diff,P100,LP,0
P100_HighVsLow,69,14____,Noise_Tone,Keep,PercDiff,P100,LP,0
P100_HighVsLow,69,39____,Noise_Tone,Keep,High,P100,CS,1
P100_HighVsLow,69,39____,Noise_Tone,Keep,Low,P100,CS,3
P100_HighVsLow,69,39____,Noise_Tone,Keep,High,P100,LP,3
P100_HighVsLow,69,39____,Noise_Tone,Keep,Low,P100,LP,7
P100_HighVsLow,69,39____,Noise_Tone,Keep,Diff,P100,CS,-2
P100_HighVsLow,69,39____,Noise_Tone,Keep,Diff,P100,LP,-4
P100_HighVsLow,69,39____,Noise_Tone,Keep,PercDiff,P100,LP,-40
P100_HighVsLow,70,10____,Noise_Tone,Keep,High,P100,CS,10
P100_HighVsLow,70,10____,Noise_Tone,Keep,Low,P100,CS,5
P100_HighVsLow,70,10____,Noise_Tone,Keep,High,P100,LP,24
P100_HighVsLow,70,10____,Noise_Tone,Keep,Low,P100,LP,18
P100_HighVsLow,70,10____,Noise_Tone,Keep,Diff,P100,CS,5
P100_HighVsLow,70,10____,Noise_Tone,Keep,Diff,P100,LP,6
P100_HighVsLow,70,10____,Noise_Tone,Keep,PercDiff,P100,LP,14.285714285714286
P100_HighVsLow,70,35____,Noise_Tone,Keep,High,P100,CS,2
P100_HighVsLow,70,35____,Noise_Tone,Keep,Low,P100,CS,2
P100_HighVsLow,70,35____,Noise_Tone,Keep,High,P100,LP,6
P100_HighVsLow,70,35____,Noise_Tone,Keep,Low,P100,LP,8
P100_HighVsLow,70,35____,Noise_Tone,Keep,Diff,P100,CS,0
P100_HighVsLow,70,35____,Noise_Tone,Keep,Diff,P100,LP,-2
P100_HighVsLow,70,35____,Noise_Tone,Keep,PercDiff,P100,LP,-14.285714285714286
P100_HighVsLow,73,34____,Tone_Siren,Keep,High,P100,CS,1
P100_HighVsLow,73,34____,Tone_Siren,Keep,Low,P100,CS,1
P100_HighVsLow,73,34____,Tone_Siren,Keep,High,P100,LP,3
P100_HighVsLow,73,34____,Tone_Siren,Keep,Low,P100,LP,3
P100_HighVsLow,73,34____,Tone_Siren,Keep,Diff,P100,CS,0
P100_HighVsLow,73,34____,Tone_Siren,Keep,Diff,P100,LP,0
P100_HighVsLow,73,34____,Tone_Siren,Keep,PercDiff,P100,LP,0
P100_HighVsLow,73,9_____,Tone_Siren,Keep,High,P100,CS,4
P100_HighVsLow,73,9_____,Tone_Siren,Keep,Low,P100,CS,3
