folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur,counterbalancing,sex,Left_LeverCueID,Right_LeverCueID,CS_LeftLeverName,CS_RightLeverName,TestCondition,Test,Day,timebins_10,measure,Probability,Value,Freq
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,1,LP,P100,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,1,LP,P50,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,1,CS,P100,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,1,CS,P50,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,2,60,120,1,0.0600000000000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,1,LP,P100,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,2,60,120,1,0.0600000000000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,1,LP,P50,Low,1
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,2,60,120,1,0.0600000000000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,1,CS,P100,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,2,60,120,1,0.0600000000000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,1,CS,P50,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,3,120,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,1,LP,P100,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,3,120,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,1,LP,P50,Low,0
