Day,subject,counterbalancing,Pavlovian_cbx,DevaluedOutcome1,DevaluedStimulus,DevaluedLever,Stimulus,LPFreq,LPDur,Reinforcer
1,17____,A,X,Banana,Steady,Right,Devalued,4,6.77999999999988,0
1,17____,A,X,Banana,Steady,Right,NonDevalued,78,35.85999999999996,18
1,18____,B,X,Chocolate,Flash,Right,Devalued,2,0.579999999999984,2
1,18____,B,X,Chocolate,Flash,Right,NonDevalued,2,0.579999999999984,0
1,19____,A,Y,Chocolate,Steady,Left,Devalued,15,6.619999999999964,13
1,19____,A,Y,Chocolate,Steady,Left,NonDevalued,15,6.619999999999964,3
1,20____,B,Y,Banana,Flash,Right,Devalued,1,0.759999999999991,1
1,20____,B,Y,Banana,Flash,Right,NonDevalued,20,15.940000000000481,8
1,21____,A,X,Chocolate,Flash,Left,Devalued,1,0.200000000000045,0
1,21____,A,X,Chocolate,Flash,Left,NonDevalued,4,1.760000000000046,2
1,22____,B,X,Banana,Steady,Right,Devalued,27,18.60000000000004,0
1,22____,B,X,Banana,Steady,Right,NonDevalued,27,18.60000000000004,10
1,23____,A,X,Chocolate,Flash,Left,Devalued,87,29.540000000000383,19
1,23____,A,X,Chocolate,Flash,Left,NonDevalued,39,98.34000000000029,14
1,24____,B,Y,Chocolate,Steady,Left,Devalued,11,4.900000000000202,4
1,24____,B,Y,Chocolate,Steady,Left,NonDevalued,38,30.780000000000342,16
1,25____,B,Y,Chocolate,Steady,Left,Devalued,23,14.01999999999975,8
1,25____,B,Y,Chocolate,Steady,Left,NonDevalued,25,25.21999999999985,7
1,42____,A,Y,Banana,Flash,Left,Devalued,22,20.51999999999998,8
1,42____,A,Y,Banana,Flash,Left,NonDevalued,22,20.51999999999998,8
1,43____,B,Y,Chocolate,Steady,Left,Devalued,59,45.359999999999445,12
1,43____,B,Y,Chocolate,Steady,Left,NonDevalued,118,28.4200000000002,27
1,44____,A,X,Chocolate,Flash,Left,Devalued,16,4.440000000000137,5
1,44____,A,X,Chocolate,Flash,Left,NonDevalued,26,5.9199999999999005,8
2,17____,A,X,Banana,Steady,Right,Devalued,7,17.09999999999997,0
2,17____,A,X,Banana,Steady,Right,NonDevalued,53,22.99999999999916,17
2,18____,B,X,Chocolate,Flash,Right,Devalued,2,4.7600000000000495,0
2,18____,B,X,Chocolate,Flash,Right,NonDevalued,2,4.7600000000000495,2
2,19____,A,Y,Chocolate,Steady,Left,Devalued,41,35.13999999999973,18
2,19____,A,Y,Chocolate,Steady,Left,NonDevalued,41,35.13999999999973,12
2,20____,B,Y,Banana,Flash,Right,Devalued,0,0,0
2,20____,B,Y,Banana,Flash,Right,NonDevalued,7,8.76000000000004,4
2,21____,A,X,Chocolate,Flash,Left,Devalued,1,0.399999999999999,1
2,21____,A,X,Chocolate,Flash,Left,NonDevalued,2,3.080000000000173,1
2,22____,B,X,Banana,Steady,Right,Devalued,27,12.34000000000059,6
2,22____,B,X,Banana,Steady,Right,NonDevalued,27,12.34000000000059,14
