Devalued_Trial,Period,subject,Stimulus,LPFreq,LPDur
Devalued,cue,18____,Devalued,1.6,0.7400000000000092
Devalued,cue,18____,Magazine,0,0
Devalued,cue,18____,NonDevalued,0,0
Devalued,cue,19____,Devalued,1.5704545454545453,1.1142272727272888
Devalued,cue,19____,Magazine,0.07500000000000001,0.07350000000000136
Devalued,cue,19____,NonDevalued,0.05,0.03000000000000115
Devalued,cue,20____,Devalued,1,0.280000000000086
Devalued,cue,20____,Magazine,0,0
Devalued,cue,20____,NonDevalued,0,0
Devalued,cue,22____,Devalued,1.4285714285714286,0.8800000000000606
Devalued,cue,22____,Magazine,0,0
Devalued,cue,22____,NonDevalued,0,0
Devalued,cue,23____,Devalued,1.0555555555555556,1.118888888888895
Devalued,cue,23____,Magazine,0,0
Devalued,cue,23____,NonDevalued,0,0
Devalued,cue,24____,Devalued,1.3333333333333335,0.6733333333333084
Devalued,cue,24____,Magazine,0,0
Devalued,cue,24____,NonDevalued,0,0
Devalued,cue,25____,Devalued,1.4230769230769231,1.7738461538461587
Devalued,cue,25____,Magazine,0,0
Devalued,cue,25____,NonDevalued,0.038461538461538464,0.014615384615388806
Devalued,cue,42____,Devalued,1.1666666666666667,0.2966666666666243
Devalued,cue,42____,Magazine,0.5,0.29333333333333184
Devalued,cue,42____,NonDevalued,0,0
Devalued,cue,43____,Devalued,2.68,0.642400000000007
Devalued,cue,43____,Magazine,0.04,0.013599999999996719
Devalued,cue,43____,NonDevalued,0,0
Devalued,cue,44____,Devalued,1.1666666666666667,0.23333333333336734
Devalued,cue,44____,Magazine,0.5,0.429999999999988
Devalued,cue,44____,NonDevalued,0,0
Devalued,post,18____,Devalued,0,0
Devalued,post,18____,Magazine,0.30000000000000004,0.3620000000000118
Devalued,post,18____,NonDevalued,0,0
Devalued,post,19____,Devalued,0.4477272727272727,0.24845454545454584
Devalued,post,19____,Magazine,0.5704545454545455,0.6614090909090826
Devalued,post,19____,NonDevalued,0.15000000000000002,0.14749999999999944
Devalued,post,20____,Devalued,0,0
Devalued,post,20____,Magazine,1,1.0000000000000004
Devalued,post,20____,NonDevalued,0,0
Devalued,post,22____,Devalued,0.2857142857142857,0.0685714285714313
Devalued,post,22____,Magazine,0.14285714285714285,0.49428571428571944
Devalued,post,22____,NonDevalued,0.14285714285714285,0.17999999999999872
Devalued,post,23____,Devalued,0.11538461538461539,0.15094017094016382
Devalued,post,23____,Magazine,0,0
Devalued,post,23____,NonDevalued,0.13247863247863248,0.10017094017093364
Devalued,post,24____,Devalued,0.25,0.3166666666666819
Devalued,post,24____,Magazine,0.16666666666666666,0.026666666666661384
Devalued,post,24____,NonDevalued,0.25,0.26999999999998175
Devalued,post,25____,Devalued,0.42307692307692313,0.4799999999999963
Devalued,post,25____,Magazine,0.11538461538461539,0.19769230769230717
Devalued,post,25____,NonDevalued,0,0.01999999999999931
Devalued,post,42____,Devalued,0,0
Devalued,post,42____,Magazine,1.1666666666666667,1.0466666666666622
Devalued,post,42____,NonDevalued,0,0
Devalued,post,43____,Devalued,1.04,0.3912000000000171
Devalued,post,43____,Magazine,0.16,0.17519999999999528
Devalued,post,43____,NonDevalued,0,0
Devalued,post,44____,Devalued,0.3333333333333333,0.04000000000000148
Devalued,post,44____,Magazine,0.6666666666666666,0.38666666666667504
Devalued,post,44____,NonDevalued,0,0
Devalued,pre,18____,Devalued,0,0
Devalued,pre,18____,Magazine,0,0
Devalued,pre,18____,NonDevalued,0,0
Devalued,pre,19____,Devalued,0.06818181818181818,0.15181818181818324
Devalued,pre,19____,Magazine,0.48409090909090907,0.4769090909090848
Devalued,pre,19____,NonDevalued,0,0
Devalued,pre,20____,Devalued,0,0
Devalued,pre,20____,Magazine,1,0.199999999999932
Devalued,pre,20____,NonDevalued,0,0
Devalued,pre,22____,Devalued,0,0
Devalued,pre,22____,Magazine,0.5714285714285714,0.18285714285715526
Devalued,pre,22____,NonDevalued,0,0
Devalued,pre,23____,Devalued,0,0
Devalued,pre,23____,Magazine,0.14957264957264957,0.13153846153846824
Devalued,pre,23____,NonDevalued,0,0
Devalued,pre,24____,Devalued,0,0
Devalued,pre,24____,Magazine,0.25,0.0749999999999981
Devalued,pre,24____,NonDevalued,0,0
Devalued,pre,25____,Devalued,0.038461538461538464,0.5253846153846055
Devalued,pre,25____,Magazine,0.11538461538461539,0.1969230769230771
Devalued,pre,25____,NonDevalued,0,0
Devalued,pre,42____,Devalued,0,0
Devalued,pre,42____,Magazine,0.8333333333333333,0.4833333333333485
Devalued,pre,42____,NonDevalued,0,0
Devalued,pre,43____,Devalued,0.64,0.1880000000000109
Devalued,pre,43____,Magazine,0.12,0.09920000000000076
Devalued,pre,43____,NonDevalued,0,0
Devalued,pre,44____,Devalued,0,0
Devalued,pre,44____,Magazine,0.3333333333333333,0.2766666666666803
Devalued,pre,44____,NonDevalued,0,0
NonDevalued,cue,18____,Devalued,0,0
NonDevalued,cue,18____,Magazine,0.2222222222222222,0.031111111111133315
NonDevalued,cue,18____,NonDevalued,2.3333333333333335,1.0066666666666986
NonDevalued,cue,19____,Devalued,0,0
NonDevalued,cue,19____,Magazine,0.25,0.465000000000032
NonDevalued,cue,19____,NonDevalued,1.5769230769230769,1.0634615384615969
NonDevalued,cue,20____,Devalued,0,0
NonDevalued,cue,20____,Magazine,1,0.0199999999999818
NonDevalued,cue,20____,NonDevalued,1,0.220000000000027
NonDevalued,cue,22____,Devalued,0,0
NonDevalued,cue,22____,Magazine,0.25,0.1051388888889046
NonDevalued,cue,22____,NonDevalued,1.5416666666666665,0.8237500000000127
NonDevalued,cue,23____,Devalued,0,0
NonDevalued,cue,23____,Magazine,0.08333333333333333,0.003333333333339775
NonDevalued,cue,23____,NonDevalued,1.1666666666666667,0.7588888888888714
NonDevalued,cue,24____,Devalued,0,0
NonDevalued,cue,24____,Magazine,0.027777777777777776,0.008888888888890278
NonDevalued,cue,24____,NonDevalued,1.3888888888888888,1.3233333333333046
NonDevalued,cue,25____,Devalued,0,0
NonDevalued,cue,25____,Magazine,0.2,0.026000000000021797
NonDevalued,cue,25____,NonDevalued,1.6,1.5239999999999783
NonDevalued,cue,42____,Devalued,0,0
NonDevalued,cue,42____,Magazine,0,0
NonDevalued,cue,42____,NonDevalued,1,0.0199999999999818
NonDevalued,cue,43____,Devalued,0,0
NonDevalued,cue,43____,Magazine,0.08695652173913043,0.0373913043478267
NonDevalued,cue,43____,NonDevalued,2.826086956521739,0.40000000000003155
NonDevalued,cue,44____,Devalued,0,0
NonDevalued,cue,44____,Magazine,0.42857142857142855,0.2257142857142753
NonDevalued,cue,44____,NonDevalued,1.2857142857142856,0.09428571428567731
NonDevalued,post,18____,Devalued,0,0
NonDevalued,post,18____,Magazine,0.6666666666666666,0.3999999999999898
NonDevalued,post,18____,NonDevalued,0.2222222222222222,0.3733333333333222
NonDevalued,post,19____,Devalued,0.038461538461538464,0.007692307692309423
NonDevalued,post,19____,Magazine,0.9038461538461539,0.6819230769230993
NonDevalued,post,19____,NonDevalued,0.19230769230769232,0.3330769230769262
NonDevalued,post,20____,Devalued,0,0
NonDevalued,post,20____,Magazine,0,5
NonDevalued,post,20____,NonDevalued,0,0
NonDevalued,post,22____,Devalued,0.08333333333333333,0.01791666666666458
NonDevalued,post,22____,Magazine,0.3333333333333333,0.4156944444444532
NonDevalued,post,22____,NonDevalued,0.5069444444444444,0.3273611111111032
NonDevalued,post,23____,Devalued,0.16666666666666666,0.09000000000001294
NonDevalued,post,23____,Magazine,0.4444444444444444,0.17000000000000018
NonDevalued,post,23____,NonDevalued,0.3611111111111111,0.32444444444444304
NonDevalued,post,24____,Devalued,0.027777777777777776,0.03111111111110808
NonDevalued,post,24____,Magazine,0.16666666666666666,0.14611111111111408
NonDevalued,post,24____,NonDevalued,0.3888888888888889,0.29166666666666663
NonDevalued,post,25____,Devalued,0.1,0.22799999999999732
