Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	7	60	1	1	1_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	7	60	1	1	1_____	80	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	112	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	514	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	559	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	632	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	656	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	1223	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	1232	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	1246	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	1271	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	2010	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	2031	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	2081	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	2084	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	2092	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	2122	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	2549	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	2710	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	3847	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	3894	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	4031	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	4075	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	4081	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	4083	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	4169	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	4170	1	0	0	0	0	0	0	0	0	1	0
C	Marios	7	60	1	1	1_____	4171	1	0	0	0	0	1	0	0	0	0	0
C	Marios	7	60	1	1	1_____	4174	1	0	0	0	0	0	0	0	0	1	0
