Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	9	70	2	1	3_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	9	70	2	1	3_____	3236	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	3248	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	4500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	9	70	2	1	3_____	5000	2	9	0	0	0	0	0	0	0	0	0
C	Marios	9	70	2	1	3_____	5434	9	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	5495	9	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	5500	9	11	0	0	0	0	0	0	0	0	0
C	Marios	9	70	2	1	3_____	5527	11	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	5738	11	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	6000	11	1	0	0	0	0	0	0	0	0	0
C	Marios	9	70	2	1	3_____	7029	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	7101	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	7175	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	7187	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	7194	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	7196	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	7210	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	7213	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	8753	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	8772	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	9018	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	9170	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	9172	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	9281	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	10679	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	10691	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	11099	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	11129	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	11418	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	11463	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	12397	1	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	12450	1	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	13500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	9	70	2	1	3_____	13773	2	0	0	0	0	1	0	0	0	0	0
C	Marios	9	70	2	1	3_____	13779	2	0	0	0	0	0	0	0	0	1	0
C	Marios	9	70	2	1	3_____	14000	2	6	0	0	0	0	0	0	0	0	0
