Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	10	70	10	1	4_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	10	70	10	1	4_____	119	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	130	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	821	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	845	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	970	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	976	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	977	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	980	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	982	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	1021	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	1353	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	1504	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	2091	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	2093	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	2095	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	2157	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	4500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	10	70	10	1	4_____	5000	2	8	0	0	0	0	0	0	0	0	0
C	Marios	10	70	10	1	4_____	5087	8	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	5094	8	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	5114	8	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	5379	8	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	5500	8	11	0	0	0	0	0	0	0	0	0
C	Marios	10	70	10	1	4_____	5531	11	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	5750	11	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	5766	11	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	5884	11	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	6000	11	1	0	0	0	0	0	0	0	0	0
C	Marios	10	70	10	1	4_____	7037	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	7156	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	7638	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	7642	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	7660	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	7694	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	9068	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	9113	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	9145	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	9148	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	9532	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	9549	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	10500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	10	70	10	1	4_____	10601	2	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	10718	2	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	11000	2	9	0	0	0	0	0	0	0	0	0
C	Marios	10	70	10	1	4_____	11057	9	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	11238	9	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	11281	9	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	11490	9	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	11500	9	10	0	0	0	0	0	0	0	0	0
C	Marios	10	70	10	1	4_____	11512	10	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	11798	10	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	11849	10	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	11910	10	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	12000	10	1	0	0	0	0	0	0	0	0	0
C	Marios	10	70	10	1	4_____	13086	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	13088	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	13099	1	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	13180	1	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	13500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	10	70	10	1	4_____	13564	2	0	0	0	0	1	0	0	0	0	0
C	Marios	10	70	10	1	4_____	13566	2	0	0	0	0	0	0	0	0	1	0
C	Marios	10	70	10	1	4_____	14000	2	7	0	0	0	0	0	0	0	0	0
C	Marios	10	70	10	1	4_____	14180	7	0	0	0	0	1	0	0	0	0	0
