Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	8	94	9	1	2_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	453	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	460	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	799	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	806	1	0	0	0	0	1	0	0	0	1	0
C	Marios	8	94	9	1	2_____	820	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	824	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	864	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	901	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	908	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	920	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	925	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	969	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	982	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	987	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	1028	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	2431	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	2442	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	3000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	3500	2	7	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	3656	7	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	3688	7	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	3868	7	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	3927	7	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	4000	7	11	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	4003	11	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	4143	11	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	4500	11	1	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	4642	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	4663	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	5265	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	5287	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	6189	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	6215	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	6281	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	6290	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	6316	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	6370	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	7700	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	7714	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	8103	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	8109	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	8146	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	8154	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	8187	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	8193	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	9750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10250	2	6	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10306	6	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10308	6	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	10310	6	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10315	6	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	10325	6	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10360	6	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	10438	6	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10445	6	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	10480	6	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10553	6	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	10559	6	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10561	6	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	10639	6	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10647	6	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	10676	6	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10711	6	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	10724	6	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10726	6	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	10750	6	10	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10796	10	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10892	10	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	10898	10	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	10900	10	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	11250	10	1	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	11906	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	11956	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	11990	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	11992	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	11994	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	12011	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	13607	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	13662	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	13974	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	14096	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	14100	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	14188	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	14731	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	14852	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	14853	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	14880	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	14982	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	14991	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	15003	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	15050	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	15051	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	15053	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	15071	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	15134	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	15246	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	15287	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	15303	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	15339	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	15342	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	15345	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	16405	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	16418	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	16423	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	16425	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	16801	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	16884	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	16895	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	16903	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	18000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	18190	2	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	18230	2	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	18500	2	9	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	18628	9	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	18650	9	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	18753	9	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	18778	9	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	18876	9	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	18903	9	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	19000	9	10	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	19010	10	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	19200	10	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	19500	10	1	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	19649	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	19659	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	19767	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	19779	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	20905	1	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	20957	1	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	21000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	21500	2	8	0	0	0	0	0	0	0	0	0
C	Marios	8	94	9	1	2_____	21573	8	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	21650	8	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	21872	8	0	0	0	0	1	0	0	0	0	0
C	Marios	8	94	9	1	2_____	21909	8	0	0	0	0	0	0	0	0	1	0
C	Marios	8	94	9	1	2_____	21989	8	0	0	0	0	1	0	0	0	0	0
