folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,counterbalancing,Period,state_ID,CS_name,Stage,Day
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,2,110,1,0,0,0,0,0,0,0,0,AX,Pre,PreCS,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,2,111,2,0,0,0,0,0,0,0,0,AX,Pre,PreCS,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,2,112,3,0,0,0,0,0,0,0,0,AX,Pre,PreCS,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,2,113,4,0,0,0,0,0,0,0,0,AX,Pre,PreCS,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,2,114,5,0,0,0,0,0,0,0,0,AX,Pre,PreCS,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,2,115,6,0,0,0,0,0,0,0,0,AX,Pre,PreCS,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,2,116,7,0,0,0,0,0,0,0,0,AX,Pre,PreCS,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,2,117,8,0,0,0,0,0,0,0,0,AX,Pre,PreCS,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,2,118,9,0,0,0,0,0,0,0,0,AX,Pre,PreCS,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,2,119,10,0,0,0,0,1,0.0799999999999983,0,0,AX,Pre,PreCS,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,8,120,1,0,0,0,0,0,0,0,0,AX,CS,Tone,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,8,121,2,0,0,0,0,0,0,0,0,AX,CS,Tone,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,8,122,3,0,0,0,0,1,0.340000000000003,0,0,AX,CS,Tone,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,8,123,4,0,0,0,0,0,0,0,0,AX,CS,Tone,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,8,124,5,0,0,0,0,1,0.739999999999995,0,0,AX,CS,Tone,C_O1,Stage4,Day15
SummationTest_Stage4_Day15,CISummationtestStage4Day15ACorder1,CISummationtestStage4Day15ACorder1_Rat1.csv,1_____,48,1,1,C,Marios,210,1,8,125,6,0,0,0,0,0,0.0600000000000023,0,0,AX,CS,Tone,C_O1,Stage4,Day15
