Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	20	150	9	1	2_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	4500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	4718	2	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	4724	2	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	5000	2	12	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	5500	12	15	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	6000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	8250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	8750	2	7	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	8810	7	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	8859	7	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	8884	7	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	8900	7	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	8935	7	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	8993	7	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	9036	7	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	9151	7	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	9176	7	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	9220	7	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	9250	7	11	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	9267	11	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	9385	11	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	9750	11	1	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	10895	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	10920	1	0	0	0	0	1	0	0	0	1	0
C	Marios	20	150	9	1	2_____	10922	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	10954	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	10980	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	11250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	11750	2	12	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	12250	12	15	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	12750	15	1	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	13203	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	13210	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	14617	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	14624	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	15221	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	15227	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	15750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	16250	2	6	0	0	0	0	0	0	0	0	0
C	Marios	20	150	9	1	2_____	16305	6	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	16340	6	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	16353	6	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	16370	6	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	16411	6	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	16421	6	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	16428	6	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	16476	6	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	16526	6	0	0	0	0	1	0	0	0	0	0
C	Marios	20	150	9	1	2_____	16572	6	0	0	0	0	0	0	0	0	1	0
C	Marios	20	150	9	1	2_____	16627	6	0	0	0	0	1	0	0	0	0	0
