Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	22	150	2	1	3_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	22	150	2	1	3_____	30	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	150	2	1	3_____	34	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	150	2	1	3_____	37	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	150	2	1	3_____	107	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	150	2	1	3_____	109	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	150	2	1	3_____	136	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	150	2	1	3_____	490	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	150	2	1	3_____	599	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	150	2	1	3_____	1721	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	150	2	1	3_____	1729	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	150	2	1	3_____	1734	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	150	2	1	3_____	1753	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	150	2	1	3_____	2711	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	150	2	1	3_____	2740	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	150	2	1	3_____	4500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	22	150	2	1	3_____	4624	2	0	0	0	0	1	0	0	0	0	0
C	Marios	22	150	2	1	3_____	4671	2	0	0	0	0	0	0	0	0	1	0
C	Marios	22	150	2	1	3_____	4731	2	0	0	0	0	1	0	0	0	0	0
C	Marios	22	150	2	1	3_____	4753	2	0	0	0	0	0	0	0	0	1	0
C	Marios	22	150	2	1	3_____	5000	2	13	0	0	0	0	0	0	0	0	0
C	Marios	22	150	2	1	3_____	5500	13	15	0	0	0	0	0	0	0	0	0
C	Marios	22	150	2	1	3_____	5663	15	0	0	0	0	1	0	0	0	0	0
C	Marios	22	150	2	1	3_____	5675	15	0	0	0	0	0	0	0	0	1	0
C	Marios	22	150	2	1	3_____	6000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	22	150	2	1	3_____	6009	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	150	2	1	3_____	6011	1	0	0	0	0	0	0	0	0	1	0
