Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	21	161	12	1	6_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	1085	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	1157	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	3000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	3500	2	16	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	4000	16	15	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	4500	15	1	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	5082	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	5096	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	8000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	8500	2	6	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	8558	6	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	8584	6	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	8652	6	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	8659	6	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	8712	6	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	8727	6	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	8754	6	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	8805	6	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	8835	6	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	8862	6	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	8920	6	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	8923	6	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	8932	6	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	8948	6	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	8996	6	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	9000	6	10	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	9007	10	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	9111	10	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	9500	10	1	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	11380	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	11433	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	12646	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	12659	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	13073	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	13119	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	13250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	13750	2	7	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	13890	7	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	13911	7	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	13964	7	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	13992	7	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	14057	7	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	14100	7	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	14122	7	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	14158	7	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	14181	7	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	14184	7	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	14193	7	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	14202	7	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	14212	7	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	14237	7	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	14250	7	11	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	14305	11	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	14443	11	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	14750	11	1	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	16950	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	16957	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	16969	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	17024	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	18838	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	18891	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	21500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	22000	2	17	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	22500	17	15	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	23000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	24085	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	24141	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	25272	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	25403	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	26654	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	26732	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	161	12	1	6_____	27500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	28000	2	16	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	28500	16	15	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	29000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	21	161	12	1	6_____	29777	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	161	12	1	6_____	29876	1	0	0	0	0	0	0	0	0	1	0
