Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	25	162	9	1	8_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	25	162	9	1	8_____	694	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	162	9	1	8_____	722	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	162	9	1	8_____	1602	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	162	9	1	8_____	1657	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	162	9	1	8_____	2207	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	162	9	1	8_____	2308	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	162	9	1	8_____	2447	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	162	9	1	8_____	2449	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	162	9	1	8_____	2450	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	162	9	1	8_____	2452	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	162	9	1	8_____	3637	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	162	9	1	8_____	3643	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	162	9	1	8_____	3665	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	162	9	1	8_____	3674	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	162	9	1	8_____	3681	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	162	9	1	8_____	3686	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	162	9	1	8_____	3689	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	162	9	1	8_____	3692	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	162	9	1	8_____	3708	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	162	9	1	8_____	3713	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	162	9	1	8_____	3721	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	162	9	1	8_____	3734	1	0	0	0	0	0	0	0	0	1	0
