folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,2,60,1,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,2,61,2,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,2,62,3,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,2,63,4,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,2,64,5,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,2,65,6,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,2,66,7,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,2,67,8,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,2,68,9,0,0,0,0,2,0.140000000000001,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,2,69,10,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,16,70,1,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,16,71,2,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,16,72,3,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,16,73,4,0,0,0,0,1,0.319999999999993,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,16,74,5,0,0,0,0,1,0.639999999999986,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,16,75,6,0,0,0,0,1,1,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,16,76,7,0,0,0,0,0,0.659999999999997,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,16,77,8,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,16,78,9,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,16,79,10,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,15,80,1,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,15,81,2,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,15,82,3,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,15,83,4,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,15,84,5,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,15,85,6,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,15,86,7,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,15,87,8,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,15,88,9,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,1,15,89,10,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,2,240,1,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,2,241,2,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,2,242,3,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,2,243,4,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,2,244,5,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,2,245,6,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,2,246,7,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,2,247,8,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,2,248,9,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,2,249,10,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,17,250,1,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,17,251,2,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day11,CIFeatureNegativeSatge2Day11AY,CIFeatureNegativeSatge2Day11AY_Rat5.csv,5_____,19,4,1,C,Marios,161,2,17,252,3,0,0,0,0,0,0,0,0
