Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	23	171	1	1	7_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	23	171	1	1	7_____	4352	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	171	1	1	7_____	4364	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	171	1	1	7_____	4500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	23	171	1	1	7_____	5000	2	17	0	0	0	0	0	0	0	0	0
C	Marios	23	171	1	1	7_____	5500	17	15	0	0	0	0	0	0	0	0	0
C	Marios	23	171	1	1	7_____	6000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	23	171	1	1	7_____	10004	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	171	1	1	7_____	10038	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	171	1	1	7_____	10130	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	171	1	1	7_____	10225	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	171	1	1	7_____	10255	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	171	1	1	7_____	10264	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	171	1	1	7_____	10279	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	171	1	1	7_____	10281	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	171	1	1	7_____	11889	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	171	1	1	7_____	11918	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	171	1	1	7_____	11922	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	171	1	1	7_____	11930	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	171	1	1	7_____	11933	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	171	1	1	7_____	12015	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	171	1	1	7_____	13500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	23	171	1	1	7_____	13883	2	0	0	0	0	1	0	0	0	0	0
C	Marios	23	171	1	1	7_____	13895	2	0	0	0	0	0	0	0	0	1	0
