Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	19	107	4	1	5_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	1328	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	1356	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	2004	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	2025	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	3167	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	3218	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	3451	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	3466	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	7016	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	7018	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	7033	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	7037	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	7052	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	7058	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	7204	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	7207	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	7229	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	7257	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	7294	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	7417	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	7441	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	7452	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	7500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	8000	2	16	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	8500	16	15	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	8700	15	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	8727	15	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	9000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	9192	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	9248	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	9393	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	9437	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	9541	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	9641	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	9973	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	9997	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	10420	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	10460	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	14250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	14576	2	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	14601	2	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	14750	2	16	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	15250	16	15	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	15750	15	1	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	16565	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	16576	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	17908	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	17916	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	20748	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	20778	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	21915	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	22126	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	22397	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	22487	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	22500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	22750	2	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	22796	2	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	23000	2	17	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	23500	17	15	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	24000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	25306	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	25308	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	27000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	27500	2	7	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	27572	7	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	27667	7	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	27776	7	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	27863	7	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	27931	7	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	28000	7	11	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	28254	11	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	28255	11	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	28296	11	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	28345	11	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	28349	11	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	28500	11	1	0	0	0	0	0	0	0	0	0
C	Marios	19	107	4	1	5_____	28985	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	29002	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	30305	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	30447	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	30780	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	30816	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	107	4	1	5_____	30818	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	107	4	1	5_____	30859	1	0	0	0	0	0	0	0	0	1	0
