Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	20	107	9	1	2_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	2249	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	2258	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	2262	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	2270	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	2271	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	2340	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	5324	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	5328	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	6182	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	6198	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	6982	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	6992	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	7071	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	7074	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	7075	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	7078	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	7084	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	7096	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	7098	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	7101	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	7105	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	7157	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	7160	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	7164	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	7500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	8000	2	12	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	8500	12	15	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	9000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	9407	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	9419	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	10125	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	10167	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	11250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	11750	2	13	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	12250	13	15	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	12270	15	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	12302	15	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	12750	15	1	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	12992	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	13014	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	13297	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	13419	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	14195	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	14250	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	14753	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	14820	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	14921	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	14961	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	15016	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	15120	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	15141	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	15164	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	16428	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	16464	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	16512	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	16572	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	16610	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	16612	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	16770	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	16775	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	18250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	18750	2	13	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	19250	13	15	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	19503	15	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	19549	15	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	19750	15	1	0	0	0	0	0	0	0	0	0
C	Marios	20	107	9	1	2_____	21117	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	21134	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	21407	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	21472	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	21666	1	0	0	0	0	1	0	0	0	0	0
C	Marios	20	107	9	1	2_____	21713	1	0	0	0	0	0	0	0	0	1	0
C	Marios	20	107	9	1	2_____	22618	1	0	0	0	0	1	0	0	0	0	0
