Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	22	107	2	1	3_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	639	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	645	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	737	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	744	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	1175	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	1401	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	1402	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	1432	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	2568	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	2572	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	2573	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	2577	1	0	0	0	0	1	0	0	0	1	0
C	Marios	22	107	2	1	3_____	2587	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	3247	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	3260	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	5393	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	5451	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	7500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	8000	2	13	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	8500	13	15	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	9000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	9298	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	9381	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	9515	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	9572	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	9669	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	9764	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	10095	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	10125	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	10185	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	10201	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	10414	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	10464	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	10537	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	10564	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	10658	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	10702	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	10862	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	10888	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	10966	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	11065	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	11701	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	11731	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	12750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	13197	2	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	13206	2	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	13250	2	12	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	13501	12	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	13541	12	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	13638	12	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	13718	12	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	13750	12	15	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	13817	15	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	13836	15	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	13919	15	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	13952	15	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	14095	15	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	14115	15	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	14250	15	1	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	14386	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	14447	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	14588	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	14606	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	14831	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	15158	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	15414	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	15426	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	15717	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	15779	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	17691	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	17693	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	17750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	18250	2	7	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	18408	7	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	18560	7	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	18739	7	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	18750	7	10	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	19042	10	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	19234	10	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	19250	10	1	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	19348	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	20011	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	20016	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	20199	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	20297	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	21237	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	21265	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	21386	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	21398	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	21449	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	21648	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	22849	1	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	22909	1	0	0	0	0	0	0	0	0	1	0
C	Marios	22	107	2	1	3_____	23750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	24250	2	12	0	0	0	0	0	0	0	0	0
C	Marios	22	107	2	1	3_____	24376	12	0	0	0	0	1	0	0	0	0	0
C	Marios	22	107	2	1	3_____	24432	12	0	0	0	0	0	0	0	0	1	0
