Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	23	108	1	1	7_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	23	108	1	1	7_____	1812	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	1815	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	108	1	1	7_____	1819	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	1858	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	108	1	1	7_____	3161	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	3173	1	0	0	0	0	1	0	0	0	1	0
C	Marios	23	108	1	1	7_____	3181	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	108	1	1	7_____	4186	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	4247	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	108	1	1	7_____	6088	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	6162	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	108	1	1	7_____	6750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	23	108	1	1	7_____	7250	2	17	0	0	0	0	0	0	0	0	0
C	Marios	23	108	1	1	7_____	7750	17	15	0	0	0	0	0	0	0	0	0
C	Marios	23	108	1	1	7_____	7962	15	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	7987	15	0	0	0	0	0	0	0	0	1	0
C	Marios	23	108	1	1	7_____	8250	15	1	0	0	0	0	0	0	0	0	0
C	Marios	23	108	1	1	7_____	8330	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	8356	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	108	1	1	7_____	8538	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	8570	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	108	1	1	7_____	8591	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	8687	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	108	1	1	7_____	8919	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	8929	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	108	1	1	7_____	9824	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	9849	1	0	0	0	0	0	0	0	0	1	0
C	Marios	23	108	1	1	7_____	10786	1	0	0	0	0	1	0	0	0	0	0
C	Marios	23	108	1	1	7_____	10854	1	0	0	0	0	0	0	0	0	1	0
