Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	24	107	10	1	4_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	24	107	10	1	4_____	99	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	107	10	1	4_____	133	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	107	10	1	4_____	1012	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	107	10	1	4_____	1014	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	107	10	1	4_____	1016	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	107	10	1	4_____	1018	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	107	10	1	4_____	2594	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	107	10	1	4_____	2599	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	107	10	1	4_____	2697	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	107	10	1	4_____	2720	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	107	10	1	4_____	5268	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	107	10	1	4_____	5325	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	107	10	1	4_____	5684	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	107	10	1	4_____	5696	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	107	10	1	4_____	6839	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	107	10	1	4_____	6843	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	107	10	1	4_____	6887	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	107	10	1	4_____	6889	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	107	10	1	4_____	7500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	24	107	10	1	4_____	8000	2	13	0	0	0	0	0	0	0	0	0
C	Marios	24	107	10	1	4_____	8500	13	15	0	0	0	0	0	0	0	0	0
C	Marios	24	107	10	1	4_____	9000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	24	107	10	1	4_____	9685	1	0	0	0	0	1	0	0	0	0	0
