Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	25	108	9	1	8_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	25	108	9	1	8_____	20	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	1419	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	1434	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	1442	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	1447	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	1477	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	1575	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	1687	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	1697	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	1700	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	1751	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	1755	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	1758	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	2250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	25	108	9	1	8_____	2750	2	7	0	0	0	0	0	0	0	0	0
C	Marios	25	108	9	1	8_____	2864	7	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	2874	7	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	3250	7	10	0	0	0	0	0	0	0	0	0
C	Marios	25	108	9	1	8_____	3295	10	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	3403	10	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	3750	10	1	0	0	0	0	0	0	0	0	0
C	Marios	25	108	9	1	8_____	4006	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	4322	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	4432	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	4505	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	5550	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	5918	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	5963	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	6062	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	6064	1	0	0	0	0	1	0	0	0	0	0
C	Marios	25	108	9	1	8_____	6125	1	0	0	0	0	0	0	0	0	1	0
C	Marios	25	108	9	1	8_____	6146	1	0	0	0	0	1	0	0	0	0	0
