Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	18	118	1	1	1_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	18	118	1	1	1_____	779	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	795	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	1749	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	1834	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	2646	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	2656	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	2661	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	2688	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	2700	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	2734	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	2943	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	2954	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	3000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	18	118	1	1	1_____	3500	2	7	0	0	0	0	0	0	0	0	0
C	Marios	18	118	1	1	1_____	3541	7	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	3543	7	0	0	0	0	1	0	0	0	1	0
C	Marios	18	118	1	1	1_____	3571	7	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	3611	7	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	3706	7	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	3758	7	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	3773	7	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	3817	7	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	3836	7	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	3846	7	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	3917	7	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	3982	7	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	4000	7	11	0	0	0	0	0	0	0	0	0
C	Marios	18	118	1	1	1_____	4028	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	4033	11	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	4043	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	4046	11	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	4143	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	4265	11	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	4312	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	4337	11	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	4377	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	4500	11	1	0	0	0	0	0	0	0	0	0
C	Marios	18	118	1	1	1_____	4644	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	4657	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	5743	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	5754	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	5855	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	5945	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	7392	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	7425	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	7856	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	7858	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	8033	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	8055	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	8810	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	8835	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	9000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	18	118	1	1	1_____	9317	2	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	9337	2	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	9500	2	6	0	0	0	0	0	0	0	0	0
C	Marios	18	118	1	1	1_____	9576	6	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	9598	6	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	9632	6	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	9684	6	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	9746	6	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	9775	6	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	9780	6	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	9844	6	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	9847	6	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	9883	6	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	9911	6	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	9929	6	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	9933	6	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	9944	6	0	0	0	0	1	0	0	0	1	0
C	Marios	18	118	1	1	1_____	9946	6	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	9951	6	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	9977	6	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	9982	6	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	10000	6	10	0	0	0	0	0	0	0	0	0
C	Marios	18	118	1	1	1_____	10006	10	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	10007	10	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	10011	10	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	10025	10	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	10309	10	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	10310	10	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	10312	10	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	10317	10	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	10321	10	0	0	0	0	1	0	0	0	1	0
C	Marios	18	118	1	1	1_____	10330	10	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	10372	10	0	0	0	0	1	0	0	0	0	0
C	Marios	18	118	1	1	1_____	10374	10	0	0	0	0	0	0	0	0	1	0
C	Marios	18	118	1	1	1_____	10433	10	0	0	0	0	1	0	0	0	0	0
