Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	21	118	12	1	6_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	3554	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	3591	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	4500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	5000	2	16	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	5500	16	15	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	6000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	8236	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	8238	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	8242	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	8249	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	9545	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	9587	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	10834	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	10839	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	10852	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	10855	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	10856	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	10913	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	12000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	12500	2	17	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	13000	17	15	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	13500	15	1	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	13562	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	13571	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	14327	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	14339	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	15750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	15828	2	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	15869	2	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	16250	2	17	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	16750	17	15	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	17250	15	1	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	18963	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	18981	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	20069	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	20075	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	24117	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	24134	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	24750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	25250	2	16	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	25750	16	15	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	26250	15	1	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	26300	1	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	26370	1	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	33000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	33201	2	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	33218	2	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	33221	2	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	33353	2	0	0	0	0	0	0	0	0	1	0
C	Marios	21	118	12	1	6_____	33500	2	7	0	0	0	0	0	0	0	0	0
C	Marios	21	118	12	1	6_____	33916	7	0	0	0	0	1	0	0	0	0	0
C	Marios	21	118	12	1	6_____	33965	7	0	0	0	0	0	0	0	0	1	0
