Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	24	125	10	1	4_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	24	125	10	1	4_____	676	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	696	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	700	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	706	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	912	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	925	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	2250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	24	125	10	1	4_____	2565	2	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	2573	2	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	2750	2	13	0	0	0	0	0	0	0	0	0
C	Marios	24	125	10	1	4_____	2805	13	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	2819	13	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	3250	13	15	0	0	0	0	0	0	0	0	0
C	Marios	24	125	10	1	4_____	3695	15	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	3725	15	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	3750	15	1	0	0	0	0	0	0	0	0	0
C	Marios	24	125	10	1	4_____	3940	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	3997	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	4203	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	4336	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	4515	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	4558	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	4621	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	4660	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	5659	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	5667	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	6585	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	6592	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	6649	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	6676	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	7306	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	7434	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	7544	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	7581	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	7609	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	7719	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	7723	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	7791	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	8827	1	0	0	0	0	1	0	0	0	0	0
C	Marios	24	125	10	1	4_____	8903	1	0	0	0	0	0	0	0	0	1	0
C	Marios	24	125	10	1	4_____	10500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	24	125	10	1	4_____	10759	2	0	0	0	0	1	0	0	0	0	0
