Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	18	131	1	1	1_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	625	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	664	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	1500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	2000	2	12	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	2500	12	15	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	3000	15	1	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	5715	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	5717	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	5958	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	5964	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	6000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	6500	2	13	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	7000	13	15	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	7133	15	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	7138	15	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	7170	15	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	7223	15	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	7500	15	1	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	7906	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	7924	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	9251	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	9269	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	9696	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	9713	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	9719	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	9821	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	9830	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	9851	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	9960	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	9963	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	9964	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	10024	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	14134	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	14250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	14279	2	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	14280	2	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	14331	2	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	14750	2	13	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	15116	13	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	15124	13	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	15250	13	15	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	15750	15	1	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	15907	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	15919	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	17161	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	17176	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	17221	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	17257	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	21250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	21750	2	7	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	21823	7	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	21846	7	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	21867	7	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	22072	7	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	22150	7	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	22231	7	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	22239	7	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	22250	7	11	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	22381	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	22549	11	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	22551	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	22584	11	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	22586	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	22590	11	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	22594	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	22707	11	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	22714	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	22718	11	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	22720	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	22721	11	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	22726	11	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	22750	11	1	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	25858	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	25860	1	0	0	0	0	1	0	0	0	1	0
C	Marios	18	131	1	1	1_____	25907	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	26250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	26750	2	12	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	27250	12	15	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	27750	15	1	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	29587	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	29737	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	30170	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	30235	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	30246	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	30250	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	30297	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	30307	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	31388	1	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	31464	1	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	31500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	32000	2	6	0	0	0	0	0	0	0	0	0
C	Marios	18	131	1	1	1_____	32205	6	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	32280	6	0	0	0	0	0	0	0	0	1	0
C	Marios	18	131	1	1	1_____	32319	6	0	0	0	0	1	0	0	0	0	0
C	Marios	18	131	1	1	1_____	32476	6	0	0	0	0	0	0	0	0	1	0
