Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	19	141	4	1	5_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	19	141	4	1	5_____	1954	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	1970	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	1974	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	2020	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	2045	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	2050	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	2077	1	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	2091	1	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3500	2	6	0	0	0	0	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3534	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3539	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3540	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3668	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3679	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3686	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3700	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3704	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3727	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3777	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3790	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3792	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3820	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3853	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3861	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3862	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3863	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3916	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3918	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3920	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3935	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3937	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3946	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3966	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	3976	6	0	0	0	0	1	0	0	0	0	0
C	Marios	19	141	4	1	5_____	3978	6	0	0	0	0	0	0	0	0	1	0
C	Marios	19	141	4	1	5_____	4000	6	10	0	0	0	0	0	0	0	0	0
