folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,2,60,1,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,2,61,2,0,0,0,0,2,0.32,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,2,62,3,0,0,0,0,0,0.359999999999999,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,2,63,4,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,2,64,5,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,2,65,6,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,2,66,7,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,2,67,8,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,2,68,9,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,2,69,10,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,7,70,1,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,7,71,2,0,0,0,0,1,0.840000000000003,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,7,72,3,0,0,0,0,1,0.799999999999997,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,7,73,4,0,0,0,0,1,0.88000000000001,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,7,74,5,0,0,0,0,1,0.799999999999997,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,7,75,6,0,0,0,0,1,0.760000000000005,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,7,76,7,0,0,0,0,0,0.939999999999998,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,7,77,8,0,0,0,0,1,0.519999999999996,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,7,78,9,0,0,0,0,1,0.960000000000008,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,7,79,10,0,0,0,0,1,0.440000000000012,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,11,80,1,0,0,0,0,0,1,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,11,81,2,0,0,0,0,0,1,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,11,82,3,0,0,0,0,0,0.920000000000002,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,11,83,4,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,11,84,5,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,11,85,6,0,0,0,0,1,0.780000000000001,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,11,86,7,0,0,0,0,0,1,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,11,87,8,0,0,0,0,0,0.540000000000006,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,11,88,9,0,0,0,0,1,0.299999999999997,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,1,11,89,10,0,0,0,0,1,0.319999999999993,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,2,2,165,1,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,2,2,166,2,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,2,2,167,3,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,2,2,168,4,0,0,0,0,0,0,0,0
FeatureNegative_Stage2_Day9,CIFeatureNegativeSatge2Day9BY,CIFeatureNegativeSatge2Day9BY_Rat31.csv,31____,21,15,1,C,Marios,141,2,2,169,5,0,0,0,0,0,0,0,0
