Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	marios	5	30	9	1	2_____	0	0	1	0	0	0	0	0	0	0	0	0
C	marios	5	30	9	1	2_____	992	1	0	0	0	0	1	0	0	0	0	0
C	marios	5	30	9	1	2_____	1120	1	0	0	0	0	0	0	0	0	1	0
C	marios	5	30	9	1	2_____	3000	1	2	0	0	0	0	0	0	0	0	0
C	marios	5	30	9	1	2_____	3163	2	0	0	0	0	1	0	0	0	0	0
C	marios	5	30	9	1	2_____	3189	2	0	0	0	0	0	0	0	0	1	0
C	marios	5	30	9	1	2_____	3500	2	3	0	0	0	0	0	0	0	0	0
C	marios	5	30	9	1	2_____	4000	3	1	0	0	0	0	0	0	0	0	0
C	marios	5	30	9	1	2_____	9391	1	0	0	0	0	1	0	0	0	0	0
C	marios	5	30	9	1	2_____	9397	1	0	0	0	0	0	0	0	0	1	0
C	marios	5	30	9	1	2_____	10250	1	2	0	0	0	0	0	0	0	0	0
C	marios	5	30	9	1	2_____	10750	2	3	0	0	0	0	0	0	0	0	0
C	marios	5	30	9	1	2_____	11250	3	1	0	0	0	0	0	0	0	0	0
C	marios	5	30	9	1	2_____	15250	1	2	0	0	0	0	0	0	0	0	0
C	marios	5	30	9	1	2_____	15750	2	3	0	0	0	0	0	0	0	0	0
C	marios	5	30	9	1	2_____	16250	3	1	0	0	0	0	0	0	0	0	0
C	marios	5	30	9	1	2_____	20321	1	0	0	0	0	1	0	0	0	0	0
C	marios	5	30	9	1	2_____	20323	1	0	0	0	0	0	0	0	0	1	0
C	marios	5	30	9	1	2_____	20332	1	0	0	0	0	1	0	0	0	0	0
C	marios	5	30	9	1	2_____	20432	1	0	0	0	0	0	0	0	0	1	0
C	marios	5	30	9	1	2_____	20534	1	0	0	0	0	1	0	0	0	0	0
C	marios	5	30	9	1	2_____	20537	1	0	0	0	0	1	0	0	0	1	0
C	marios	5	30	9	1	2_____	20540	1	0	0	0	0	0	0	0	0	1	0
