Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	4	37	9	1	2_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	263	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	270	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	3012	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	3055	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	5352	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	5481	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	5750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	6250	2	3	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	6319	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	6326	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	6327	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	6329	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	6364	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	6366	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	6385	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	6391	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	6400	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	6562	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	6750	3	1	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	6992	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	6999	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	7007	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	7080	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	8180	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	8231	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	10358	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	10406	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	11076	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	11113	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	11179	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	11190	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	11750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	12250	2	3	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	12304	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	12322	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	12374	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	12453	3	0	0	0	0	1	0	0	0	1	0
C	Marios	4	37	9	1	2_____	12455	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	12598	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	12611	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	12655	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	12721	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	12722	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	12725	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	12726	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	12728	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	12750	3	1	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	14149	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	14161	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	14163	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	14187	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	14209	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	14230	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	15636	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	15658	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	16074	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	16081	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	16684	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	16782	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	17250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	17750	2	3	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	17825	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	17826	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	17850	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	17856	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	17863	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	17958	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	18117	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	18209	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	18210	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	18216	3	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	18250	3	1	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	18269	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	18285	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	19267	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	19281	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	19283	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	19337	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	20402	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	20437	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	22250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	22750	2	3	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	23250	3	1	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	23334	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	23438	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	23477	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	23527	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	23548	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	23568	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	23711	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	23770	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	23797	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	23809	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	24654	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	24675	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	26901	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	26937	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	27732	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	27792	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	27987	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	28014	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	28464	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	28491	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	28750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	29250	2	3	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	29750	3	1	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	30346	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	30349	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	30352	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	30430	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	30463	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	30593	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	30624	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	30642	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	31490	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	31520	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	32254	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	32266	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	33206	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	33248	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	33550	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	33566	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	33575	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	33589	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	34000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	34500	2	3	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	34867	3	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	35000	3	1	0	0	0	0	0	0	0	0	0
C	Marios	4	37	9	1	2_____	35013	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	35088	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	35204	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	35351	1	0	0	0	0	1	0	0	0	0	0
C	Marios	4	37	9	1	2_____	35379	1	0	0	0	0	0	0	0	0	1	0
C	Marios	4	37	9	1	2_____	35409	1	0	0	0	0	1	0	0	0	0	0
