Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	15	48	1	1	1_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	15	48	1	1	1_____	849	1	0	0	0	0	1	0	0	0	0	0
C	Marios	15	48	1	1	1_____	902	1	0	0	0	0	0	0	0	0	1	0
C	Marios	15	48	1	1	1_____	3647	1	0	0	0	0	1	0	0	0	0	0
C	Marios	15	48	1	1	1_____	3655	1	0	0	0	0	0	0	0	0	1	0
C	Marios	15	48	1	1	1_____	3663	1	0	0	0	0	1	0	0	0	0	0
C	Marios	15	48	1	1	1_____	3757	1	0	0	0	0	0	0	0	0	1	0
C	Marios	15	48	1	1	1_____	3918	1	0	0	0	0	1	0	0	0	0	0
C	Marios	15	48	1	1	1_____	4063	1	0	0	0	0	0	0	0	0	1	0
C	Marios	15	48	1	1	1_____	4101	1	0	0	0	0	1	0	0	0	0	0
C	Marios	15	48	1	1	1_____	4112	1	0	0	0	0	0	0	0	0	1	0
C	Marios	15	48	1	1	1_____	4132	1	0	0	0	0	1	0	0	0	0	0
C	Marios	15	48	1	1	1_____	4141	1	0	0	0	0	0	0	0	0	1	0
C	Marios	15	48	1	1	1_____	6000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	15	48	1	1	1_____	6500	2	3	0	0	0	0	0	0	0	0	0
C	Marios	15	48	1	1	1_____	6603	3	0	0	0	0	1	0	0	0	0	0
C	Marios	15	48	1	1	1_____	6667	3	0	0	0	0	0	0	0	0	1	0
C	Marios	15	48	1	1	1_____	7000	3	1	0	0	0	0	0	0	0	0	0
C	Marios	15	48	1	1	1_____	7024	1	0	0	0	0	1	0	0	0	0	0
C	Marios	15	48	1	1	1_____	7086	1	0	0	0	0	0	0	0	0	1	0
C	Marios	15	48	1	1	1_____	7175	1	0	0	0	0	1	0	0	0	0	0
C	Marios	15	48	1	1	1_____	7220	1	0	0	0	0	0	0	0	0	1	0
C	Marios	15	48	1	1	1_____	7546	1	0	0	0	0	1	0	0	0	0	0
C	Marios	15	48	1	1	1_____	7561	1	0	0	0	0	0	0	0	0	1	0
C	Marios	15	48	1	1	1_____	7637	1	0	0	0	0	1	0	0	0	0	0
