Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1_On,A2_On,A3_On,A4_On,A1_Off,A2_Off,A3_Off,A4_Off,folder,file
C,Marios,34,187,1,1,1_____,0,0,1,0,0,0,0,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,716,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,733,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,3750,1,2,0,0,0,0,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4250,2,9,0,0,0,0,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4306,9,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4355,9,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4429,9,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4478,9,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4498,9,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4517,9,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4557,9,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4582,9,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4588,9,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4606,9,0,0,0,0,1,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4608,9,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4616,9,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4640,9,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4648,9,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4656,9,0,0,0,0,1,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4664,9,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4666,9,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4698,9,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4702,9,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4706,9,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4707,9,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
C,Marios,34,187,1,1,1_____,4715,9,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Stage3_Day13,CIReAcquisitionStage3Day13AC
