Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	34	198	1	1	1_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	34	198	1	1	1_____	15	1	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	2921	1	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	2936	1	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	4299	1	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	4362	1	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	5500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6000	2	8	0	0	0	0	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6071	8	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6088	8	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6116	8	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6145	8	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6212	8	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6235	8	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6268	8	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6291	8	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6296	8	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6334	8	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6335	8	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6339	8	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6343	8	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6381	8	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6386	8	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6413	8	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6481	8	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6500	8	10	0	0	0	0	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6502	10	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6512	10	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6514	10	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6519	10	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6647	10	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6714	10	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6782	10	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	6824	10	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	6861	10	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	7000	10	1	0	0	0	0	0	0	0	0	0
C	Marios	34	198	1	1	1_____	7434	1	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	7438	1	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	7585	1	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	7592	1	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	8234	1	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	8241	1	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	10220	1	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	10284	1	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	10691	1	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	10699	1	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	10750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	34	198	1	1	1_____	10916	2	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	10966	2	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	11002	2	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	11014	2	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	11024	2	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	11051	2	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	11250	2	9	0	0	0	0	0	0	0	0	0
C	Marios	34	198	1	1	1_____	11362	9	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	11380	9	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	11395	9	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	11532	9	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	11558	9	0	0	0	0	1	0	0	0	0	0
C	Marios	34	198	1	1	1_____	11584	9	0	0	0	0	0	0	0	0	1	0
C	Marios	34	198	1	1	1_____	11747	9	0	0	0	0	1	0	0	0	0	0
